time,ax,ay,az,atotal
0.000,-0.02,-0.13,-0.05,0.14
0.010,0.11,-0.03,-0.00,0.11
0.020,0.13,0.03,0.27,0.31
0.030,0.08,0.25,-0.14,0.29
0.041,0.07,0.23,-0.23,0.33
0.051,0.14,0.19,0.03,0.24
0.061,0.06,0.07,0.24,0.26
0.071,0.16,-0.20,0.43,0.50
0.081,-0.14,-0.07,-0.27,0.31
0.091,-0.02,-0.29,-0.09,0.31
0.101,-0.03,-0.40,0.07,0.41
0.111,-0.02,-0.40,-0.10,0.42
0.121,0.06,-0.39,-0.10,0.41
0.131,-0.05,-0.21,-0.02,0.22
0.142,-0.00,0.00,0.03,0.03
0.151,0.17,0.21,0.25,0.37
0.162,0.10,0.26,-0.09,0.29
0.172,-0.04,0.20,-0.30,0.36
0.182,0.06,0.09,0.03,0.12
0.192,-0.14,0.11,0.30,0.35
0.202,-0.23,0.20,0.41,0.51
0.212,-0.07,0.00,-0.25,0.26
0.222,0.01,-0.10,-0.18,0.20
0.232,-0.16,-0.14,0.13,0.25
0.242,-0.12,-0.12,-0.20,0.27
0.252,0.04,-0.13,-0.11,0.18
0.262,0.14,-0.09,-0.01,0.16
0.273,0.25,0.02,0.05,0.26
0.282,0.21,0.06,0.35,0.41
0.293,0.03,0.07,-0.34,0.35
0.303,0.12,-0.01,-0.18,0.22
0.313,0.06,0.01,0.24,0.25
0.323,-0.24,0.08,0.22,0.33
0.333,-0.34,0.25,0.28,0.50
0.343,-0.04,0.06,-0.11,0.13
0.353,-0.04,0.04,-0.25,0.26
0.363,-0.08,0.13,0.06,0.17
0.373,0.10,0.12,-0.08,0.18
0.383,0.06,0.18,-0.16,0.25
0.394,0.22,0.24,-0.02,0.33
0.404,0.44,0.34,0.11,0.56
0.414,0.40,0.58,0.30,0.77
0.424,0.22,0.73,-0.36,0.84
0.434,0.31,0.60,-0.16,0.70
0.444,0.28,0.44,0.21,0.56
0.454,-0.04,0.52,0.25,0.58
