time,ax,ay,az,atotal
0.000,0.03,-0.25,-0.03,0.26
0.010,0.24,-0.04,-0.06,0.25
0.020,0.46,0.41,-0.34,0.70
0.030,0.44,0.35,0.08,0.57
0.040,0.22,0.04,-0.10,0.24
0.050,-0.00,-0.18,-0.03,0.18
0.060,-0.24,-0.11,-0.15,0.30
0.071,-0.50,0.16,0.53,0.75
0.081,-0.32,0.34,-0.14,0.49
0.091,-0.23,0.29,-0.15,0.40
0.101,0.04,0.04,0.04,0.07
0.111,0.03,-0.22,-0.29,0.37
0.121,0.13,-0.45,-0.16,0.50
0.131,0.25,-0.48,0.06,0.54
0.141,0.05,-0.14,-0.06,0.16
0.151,0.54,0.36,-0.30,0.71
0.161,0.54,0.50,0.11,0.74
0.172,0.10,0.07,-0.19,0.23
0.182,-0.22,-0.29,-0.05,0.37
0.192,-0.38,-0.23,-0.07,0.45
0.202,-0.36,0.22,0.30,0.52
0.212,-0.14,0.46,0.13,0.50
0.222,-0.02,0.16,-0.08,0.18
0.232,0.03,-0.11,-0.25,0.27
0.242,0.05,-0.32,-0.01,0.32
0.252,0.04,-0.20,-0.23,0.31
0.262,0.04,-0.25,0.16,0.30
0.272,0.16,-0.19,-0.05,0.25
0.282,0.46,0.28,-0.38,0.66
0.293,0.61,0.48,-0.03,0.78
0.303,0.19,0.17,0.22,0.34
0.313,-0.06,-0.33,-0.18,0.38
0.323,-0.46,-0.38,-0.18,0.63
0.333,-0.38,-0.07,0.55,0.67
0.343,-0.25,0.65,-0.15,0.71
0.353,-0.14,0.37,0.10,0.41
0.363,0.03,-0.17,-0.20,0.26
0.373,0.05,-0.34,-0.25,0.43
0.383,0.18,-0.20,-0.04,0.27
0.393,0.13,-0.11,-0.06,0.18
0.403,0.19,-0.30,0.06,0.36
0.414,0.29,0.12,-0.36,0.48
0.424,0.52,0.34,-0.13,0.64
0.434,0.25,0.19,0.39,0.50
0.444,-0.21,0.08,-0.34,0.41
0.454,-0.39,-0.27,-0.05,0.48
0.464,-0.32,-0.12,0.58,0.67
0.474,-0.26,0.43,-0.25,0.56
0.484,-0.19,0.45,-0.01,0.49
0.494,0.29,-0.24,0.13,0.39
0.504,-0.09,-0.36,-0.51,0.63
0.514,0.19,-0.41,0.08,0.46
0.524,0.02,-0.02,-0.12,0.13
0.535,0.11,-0.14,0.09,0.20
0.545,0.47,0.10,-0.41,0.63
0.555,0.54,0.30,-0.04,0.61
0.565,0.27,0.21,0.12,0.36
0.575,-0.02,0.09,-0.09,0.13
0.585,-0.41,-0.26,-0.19,0.53
0.595,-0.43,-0.15,0.44,0.63
0.605,-0.38,0.28,-0.00,0.48
0.615,-0.16,0.53,-0.23,0.60
0.625,0.08,0.04,0.15,0.17
0.635,0.07,-0.39,-0.38,0.55
0.645,0.11,-0.44,-0.14,0.48
0.655,0.19,-0.07,0.01,0.21
0.666,0.09,-0.01,0.01,0.09
0.676,0.44,-0.04,-0.26,0.51
0.686,0.52,0.21,0.13,0.57
0.696,0.29,0.25,-0.18,0.42
0.706,-0.06,0.04,-0.00,0.07
0.716,-0.29,-0.19,-0.17,0.39
0.726,-0.49,-0.17,0.54,0.75
0.736,-0.38,0.35,-0.18,0.55
0.746,-0.18,0.45,-0.10,0.50
0.756,0.10,0.05,-0.01,0.11
0.766,0.12,-0.43,-0.29,0.54
0.777,0.10,-0.52,0.03,0.53
0.787,0.17,-0.12,-0.17,0.27
0.797,0.02,0.08,0.03,0.09
0.807,0.41,0.12,-0.20,0.47
0.817,0.47,0.07,0.45,0.66
0.827,0.32,0.13,-0.54,0.64
0.837,0.00,-0.01,-0.06,0.06
0.847,-0.26,-0.05,0.27,0.38
0.857,-0.44,-0.01,0.15,0.47
0.867,-0.57,0.31,-0.01,0.65
0.877,-0.19,0.33,-0.05,0.38
0.888,0.09,0.00,-0.26,0.28
0.898,0.20,-0.40,-0.03,0.45
0.908,0.20,-0.49,-0.14,0.55
0.918,0.15,-0.23,-0.15,0.31
0.928,0.24,0.09,-0.05,0.26
0.938,0.45,0.24,0.13,0.53
0.948,0.43,0.10,0.07,0.45
0.958,0.18,0.10,-0.36,0.41
0.968,-0.18,0.02,0.03,0.18
0.978,-0.39,0.06,0.23,0.46
0.988,-0.41,0.10,0.17,0.45
0.998,-0.23,0.16,-0.02,0.28
1.009,-0.08,0.14,-0.06,0.17
