time,ax,ay,az,atotal
0.000,-0.00,-0.46,0.20,0.50
0.010,-0.65,0.41,0.15,0.78
0.020,-0.12,0.71,-0.73,1.03
0.030,-0.03,0.03,1.38,1.38
0.040,0.07,-0.29,-1.49,1.52
0.050,-0.11,-0.67,0.77,1.03
0.061,0.56,-0.38,-0.16,0.69
0.071,-0.20,0.14,-0.60,0.65
0.081,0.45,0.19,0.55,0.74
0.091,0.50,0.37,-0.13,0.63
0.101,-0.03,0.41,-0.32,0.52
0.111,-0.09,-0.04,0.28,0.30
0.121,-0.21,-0.22,0.02,0.31
0.131,-0.38,-0.19,0.49,0.65
0.141,-0.38,0.41,-0.26,0.61
0.151,-0.22,0.38,0.27,0.51
0.161,-0.02,-0.14,-0.59,0.60
0.171,-0.03,-0.39,-0.19,0.43
0.182,0.21,-0.49,0.80,0.96
0.192,0.22,-0.14,-0.92,0.95
0.202,0.32,-0.02,0.56,0.65
0.212,0.14,0.34,0.14,0.40
0.222,0.15,0.22,-0.19,0.33
0.232,-0.01,0.24,-0.44,0.50
0.242,-0.09,-0.12,0.14,0.20
0.252,0.00,-0.09,0.12,0.15
0.262,-0.29,0.28,0.73,0.83
0.272,-0.60,0.32,-0.52,0.86
0.282,-0.27,-0.02,-0.36,0.45
0.292,0.21,-0.09,-0.03,0.23
0.302,-0.02,-0.11,0.59,0.60
0.313,0.35,-0.50,-0.91,1.09
0.323,-0.24,-0.41,0.04,0.48
0.333,0.30,0.36,0.15,0.49
0.343,0.56,0.30,0.40,0.75
0.353,0.24,0.25,-0.74,0.82
0.363,0.21,-0.08,0.23,0.32
0.373,-0.19,-0.33,-0.15,0.41
0.383,-0.43,0.02,-0.13,0.45
0.393,-0.31,0.90,1.06,1.42
0.403,-0.52,0.16,-0.74,0.92
0.413,-0.37,-0.22,-0.89,0.99
0.424,0.17,0.02,1.41,1.42
0.434,0.36,-0.33,-0.69,0.85
0.444,0.19,-0.52,-0.31,0.63
0.454,-0.14,0.06,0.39,0.41
0.464,0.61,0.12,0.10,0.63
0.474,0.41,0.25,-0.09,0.49
0.484,-0.28,0.19,-0.04,0.33
0.494,0.13,0.15,0.09,0.21
0.504,-0.02,-0.14,0.44,0.46
0.514,-0.10,-0.21,-0.41,0.47
0.524,-0.98,0.49,0.34,1.14
0.534,-0.22,0.63,0.11,0.67
0.545,-0.06,-0.36,-0.07,0.37
0.555,0.04,-0.47,-0.49,0.68
0.565,0.53,-0.50,0.10,0.73
0.575,0.19,-0.17,-0.01,0.25
0.585,-0.38,0.13,-0.19,0.44
0.595,0.49,0.24,0.01,0.55
0.605,0.13,0.14,0.59,0.62
0.615,0.69,0.08,-0.79,1.06
0.625,-0.23,-0.06,0.28,0.37
0.635,0.02,-0.19,0.08,0.20
0.645,-1.06,0.20,0.35,1.14
0.655,-0.31,0.61,-0.18,0.71
0.666,-0.12,0.45,0.23,0.52
0.676,-0.18,-0.26,-0.35,0.47
0.686,0.23,-0.26,-0.34,0.48
0.696,0.62,-0.76,0.94,1.36
0.706,-0.48,0.03,-1.10,1.20
0.716,0.42,-0.40,0.50,0.77
0.726,0.11,0.28,0.21,0.36
0.736,0.63,0.31,-0.41,0.81
0.746,-0.01,0.54,0.05,0.55
0.756,-0.09,0.05,0.09,0.13
0.767,-0.45,-0.08,-0.16,0.49
0.777,-0.78,0.02,1.06,1.31
0.787,-0.36,0.55,-1.03,1.22
