time,ax,ay,az,atotal
0.000,0.50,0.46,0.10,0.69
0.010,0.29,0.27,-0.28,0.49
0.020,-0.03,-0.18,-0.16,0.24
0.030,-0.24,-0.22,-0.07,0.33
0.041,-0.25,0.01,0.25,0.35
0.050,-0.22,0.33,0.04,0.39
0.061,-0.09,0.29,-0.07,0.32
0.071,-0.02,0.04,-0.16,0.17
0.081,0.02,-0.25,-0.13,0.29
0.091,0.03,-0.25,-0.22,0.33
0.101,0.07,-0.25,-0.16,0.31
0.111,0.19,-0.28,-0.01,0.34
0.121,0.22,0.00,-0.06,0.23
0.131,0.56,0.37,-0.19,0.69
0.141,0.43,0.37,0.07,0.57
0.151,0.22,-0.17,-0.21,0.34
0.162,-0.31,-0.34,-0.15,0.48
0.172,-0.36,-0.19,0.22,0.47
0.182,-0.27,0.43,0.15,0.54
0.192,-0.24,0.57,-0.09,0.63
0.202,0.03,-0.01,-0.06,0.07
0.212,-0.06,-0.39,-0.28,0.48
0.222,0.15,-0.31,-0.10,0.36
0.232,0.14,-0.07,-0.02,0.16
0.242,0.17,-0.22,-0.14,0.31
0.252,0.32,-0.08,0.05,0.33
0.262,0.51,0.25,-0.28,0.63
0.272,0.45,0.31,0.12,0.56
0.283,0.16,0.15,-0.17,0.28
0.293,-0.30,-0.25,-0.18,0.43
0.303,-0.44,-0.18,0.23,0.53
0.313,-0.23,0.22,0.18,0.37
0.323,-0.23,0.53,-0.18,0.60
0.333,0.09,-0.09,0.03,0.13
0.343,0.04,-0.47,-0.38,0.61
0.353,0.03,-0.36,-0.08,0.37
0.363,0.07,-0.10,-0.02,0.13
0.373,0.09,-0.04,-0.24,0.26
0.383,0.24,-0.11,0.11,0.28
0.393,0.65,0.20,-0.28,0.74
0.403,0.45,0.27,0.17,0.55
0.414,0.28,0.17,-0.22,0.40
0.424,-0.28,-0.12,-0.09,0.32
0.434,-0.45,-0.11,0.20,0.51
0.444,-0.37,0.20,0.21,0.47
0.454,-0.25,0.40,-0.15,0.50
0.464,0.04,0.15,-0.21,0.26
0.474,0.17,-0.49,-0.03,0.51
0.484,0.01,-0.46,-0.32,0.56
0.494,0.11,-0.15,-0.13,0.23
0.504,0.21,0.00,-0.04,0.22
0.514,0.27,0.02,-0.17,0.32
0.525,0.42,0.03,0.18,0.46
0.535,0.53,0.20,-0.29,0.64
0.545,0.07,0.12,-0.05,0.14
0.555,-0.20,-0.04,-0.11,0.23
0.565,-0.36,-0.17,0.24,0.47
0.575,-0.30,0.08,0.16,0.35
0.585,-0.18,0.45,-0.17,0.51
0.595,-0.00,0.17,-0.07,0.18
0.605,0.16,-0.42,-0.14,0.47
0.615,0.04,-0.44,-0.23,0.50
0.625,0.12,-0.25,-0.08,0.28
0.635,0.09,0.02,-0.16,0.19
0.646,0.33,0.17,-0.04,0.37
0.656,0.53,0.03,0.23,0.58
0.666,0.46,0.20,-0.42,0.65
0.676,0.06,0.05,0.06,0.10
0.686,-0.20,-0.05,-0.04,0.21
0.696,-0.27,-0.19,0.17,0.37
0.706,-0.41,0.17,0.18,0.48
0.716,-0.27,0.35,-0.21,0.49
0.726,0.04,0.00,-0.01,0.04
0.736,0.05,-0.20,-0.29,0.36
0.746,0.20,-0.46,-0.07,0.50
0.757,0.11,-0.25,-0.17,0.32
0.767,0.29,-0.07,-0.11,0.32
0.777,0.26,0.24,0.06,0.36
0.787,0.58,0.17,0.06,0.61
0.797,0.30,0.11,-0.36,0.48
0.807,-0.00,-0.01,-0.02,0.02
0.817,-0.30,-0.01,-0.05,0.30
0.827,-0.37,0.05,0.25,0.45
0.837,-0.26,0.15,0.15,0.34
0.847,-0.21,0.32,-0.27,0.47
0.857,0.10,-0.02,-0.07,0.13
0.867,0.13,-0.35,-0.15,0.40
0.878,0.20,-0.46,-0.20,0.54
0.888,-0.03,-0.23,-0.12,0.26
0.898,0.17,0.02,-0.15,0.23
0.908,0.46,0.37,0.12,0.60
0.918,0.56,0.24,0.01,0.61
0.928,0.29,-0.05,-0.31,0.43
0.938,-0.10,-0.15,-0.07,0.19
0.948,-0.37,-0.04,0.06,0.38
0.958,-0.35,0.18,0.32,0.51
0.968,-0.27,0.28,0.02,0.39
0.978,-0.14,0.12,-0.28,0.33
0.989,0.16,-0.22,-0.03,0.27
