time,ax,ay,az,atotal
0.000,1.03,1.15,1.96,2.49
0.010,1.60,-0.94,3.55,4.00
0.020,0.32,-0.15,0.91,0.97
0.030,-1.20,-1.06,0.51,1.68
0.040,-0.44,-0.71,-2.36,2.51
0.050,0.07,0.56,-1.19,1.32
0.060,1.38,1.44,1.04,2.25
0.071,1.00,1.10,0.42,1.55
0.081,0.07,0.53,0.53,0.75
0.091,-1.12,0.55,-0.18,1.26
0.101,-2.85,-0.64,-1.12,3.13
0.111,-1.19,-0.32,-1.23,1.74
0.121,0.01,-0.45,0.73,0.86
0.131,0.46,-0.27,0.62,0.82
0.141,1.13,0.18,0.53,1.26
0.151,0.26,0.07,-0.62,0.67
0.161,-0.87,-0.13,-0.61,1.08
0.172,-0.26,0.18,0.18,0.36
0.182,1.54,0.73,0.82,1.89
0.192,1.22,0.37,-0.13,1.28
0.202,-0.06,0.25,-0.37,0.45
0.212,-0.55,1.01,0.08,1.15
0.222,-1.88,0.07,-0.19,1.89
0.232,-2.33,-0.23,-0.72,2.45
0.242,-0.40,0.40,-0.21,0.60
0.252,0.52,-0.25,-0.16,0.59
0.262,0.94,-0.48,0.36,1.11
0.272,0.49,-0.29,0.61,0.84
0.282,-0.44,-0.00,-0.46,0.64
0.293,-0.62,0.00,-0.21,0.65
0.303,-0.29,-0.16,-0.13,0.36
0.313,1.05,0.57,0.65,1.36
0.323,1.48,0.91,-0.08,1.74
0.333,0.39,0.36,-0.40,0.66
0.343,-0.89,0.65,0.36,1.15
0.353,-2.86,0.09,-0.27,2.88
0.363,-1.66,0.40,-1.13,2.05
0.373,0.03,0.27,0.16,0.31
0.383,0.65,-0.25,-0.03,0.70
0.393,0.88,-0.45,0.21,1.01
0.403,0.35,-0.40,0.46,0.70
0.413,-0.56,-0.69,-0.45,0.99
0.424,-1.03,-0.67,-0.38,1.28
0.433,0.38,0.30,0.26,0.55
0.444,1.47,1.00,0.95,2.02
0.454,1.17,1.22,-0.36,1.72
