time,ax,ay,az,atotal
0.000,-0.87,-0.03,0.35,0.94
0.010,0.23,-0.63,3.34,3.41
0.020,2.43,1.15,2.43,3.62
0.030,1.49,0.62,-1.20,2.02
0.040,0.36,0.78,-2.54,2.68
0.050,-0.89,1.19,-0.75,1.67
0.060,-3.26,-0.12,0.65,3.33
0.070,-1.87,0.03,0.57,1.95
0.081,0.06,-0.99,0.32,1.04
0.091,1.31,-0.32,-0.33,1.39
0.101,1.01,-0.77,-0.65,1.43
0.111,0.13,-0.73,-0.15,0.76
0.121,-0.24,-0.27,0.59,0.70
0.131,-0.64,-0.41,0.41,0.86
0.141,0.43,0.82,0.51,1.06
0.151,1.66,1.58,-0.32,2.31
0.161,1.14,1.26,-1.35,2.17
0.171,-0.19,0.51,0.40,0.68
0.181,-1.37,-0.20,0.45,1.46
0.191,-2.25,-0.20,-0.12,2.26
0.202,-1.00,-0.81,-0.22,1.30
0.212,0.03,-0.56,-0.69,0.89
0.222,0.43,-0.31,0.11,0.54
0.232,1.23,0.28,0.48,1.35
0.242,-0.01,-0.65,-0.16,0.67
0.252,-0.79,-0.39,-0.23,0.92
0.262,0.15,-0.08,0.11,0.20
0.272,1.03,0.49,0.63,1.31
0.282,1.14,1.38,-0.44,1.84
0.292,0.75,0.24,-0.10,0.80
0.302,0.24,1.22,0.30,1.28
0.312,-2.22,-0.60,-0.38,2.33
0.322,-2.57,-1.37,-0.17,2.92
0.333,-0.42,0.44,-0.40,0.73
0.343,0.64,-0.37,0.11,0.75
0.353,0.67,0.13,0.04,0.68
0.363,0.50,-0.17,0.12,0.54
0.373,0.01,0.06,-0.22,0.23
0.383,-0.69,-0.40,-0.21,0.83
0.393,-0.38,-1.00,0.09,1.07
0.403,1.22,0.17,0.87,1.51
0.413,1.91,1.15,0.21,2.24
0.423,0.57,0.55,-0.96,1.24
0.433,-0.34,1.02,0.20,1.09
0.443,-1.94,0.33,-0.22,1.98
0.453,-2.19,-0.31,-0.22,2.22
0.464,-0.69,-0.29,-0.35,0.82
0.474,0.41,-0.64,0.14,0.77
0.484,1.07,-0.10,0.06,1.08
0.494,0.31,-0.77,0.10,0.84
0.504,-0.38,-0.26,-0.02,0.46
0.514,-0.35,-0.26,-0.39,0.59
0.524,0.09,-0.17,0.30,0.35
0.534,1.34,0.84,0.92,1.83
0.544,1.40,0.69,-0.38,1.61
0.554,0.66,1.04,-0.75,1.45
0.564,-0.85,0.22,0.22,0.90
0.574,-2.50,-0.02,0.05,2.50
0.584,-2.05,-0.35,-0.20,2.09
0.595,0.08,-0.07,-0.36,0.38
0.605,0.59,-0.38,-0.11,0.71
0.615,0.84,-0.73,0.02,1.11
0.625,0.57,-0.45,0.22,0.76
0.635,-0.57,-0.29,0.07,0.64
0.645,-0.89,-0.29,-0.31,0.98
0.655,0.01,0.02,0.25,0.25
0.665,1.62,1.13,0.40,2.01
0.675,1.75,0.98,-0.12,2.01
0.685,0.64,0.50,-0.67,1.05
0.695,-0.63,0.21,0.48,0.82
0.705,-2.43,-0.27,0.04,2.45
0.716,-2.56,-0.42,-0.56,2.65
0.726,-0.19,-0.19,-0.43,0.51
0.736,0.77,0.11,0.19,0.80
0.746,0.94,-0.44,0.02,1.04
0.756,0.68,-0.34,0.17,0.78
0.766,-0.25,-0.16,0.07,0.30
0.776,-0.71,-0.91,-0.40,1.22
0.786,-0.39,0.20,0.34,0.55
0.796,1.45,1.06,0.79,1.96
0.806,1.70,1.03,-0.65,2.09
0.816,0.38,0.84,-0.44,1.03
0.826,-0.68,-0.10,0.16,0.70
0.836,-1.97,-0.26,-0.06,1.99
0.847,-1.78,-0.64,0.15,1.90
0.857,-0.72,-0.76,-0.73,1.28
0.867,0.48,0.29,0.23,0.61
0.877,1.15,0.47,0.13,1.25
0.887,0.32,-0.38,-0.42,0.65
0.897,-0.40,-0.10,0.13,0.43
0.907,0.05,-0.34,0.06,0.35
0.917,0.38,-0.55,0.26,0.72
0.927,0.67,0.20,0.73,1.01
0.937,1.08,0.83,-0.34,1.40
0.947,0.33,1.17,-0.74,1.42
0.958,-0.65,0.59,0.16,0.89
0.967,-1.83,-0.50,-0.13,1.91
0.978,-1.74,-0.18,-0.02,1.75
0.988,-0.16,-0.17,-0.40,0.46
0.998,0.23,-1.17,-0.12,1.20
1.008,0.92,-0.00,0.65,1.13
1.018,0.32,0.24,-0.23,0.46
1.028,-0.60,-0.38,-0.25,0.75
1.038,-0.15,0.09,-0.26,0.32
1.048,0.60,-0.42,0.50,0.89
1.058,1.45,0.87,0.62,1.80
1.068,0.67,0.05,-0.50,0.84
1.078,0.09,0.29,-0.45,0.54
1.089,-0.52,0.78,0.40,1.02
1.099,-1.81,-0.04,0.09,1.81
1.109,-1.48,0.47,-0.48,1.63
1.119,-0.23,0.12,-0.64,0.69
1.129,0.67,-0.07,-0.19,0.70
1.139,0.36,-0.98,0.57,1.19
1.149,0.29,-0.72,0.19,0.80
1.159,-0.23,-0.42,0.03,0.48
1.169,-0.38,-0.15,-0.34,0.53
1.179,0.36,-0.06,0.16,0.40
1.189,1.28,0.99,0.43,1.67
1.199,1.10,0.79,-0.11,1.36
1.210,0.04,0.44,-0.67,0.80
1.220,-1.30,0.41,0.58,1.49
1.230,-2.48,-0.19,-0.46,2.53
1.240,-0.83,0.05,-0.46,0.95
1.250,0.35,0.05,0.17,0.40
1.260,0.75,-0.58,-0.09,0.96
1.270,0.75,-0.09,0.12,0.77
1.280,-0.22,-0.80,0.03,0.83
1.290,-1.09,-0.77,-0.25,1.36
1.300,-0.68,-0.74,-0.08,1.01
1.310,0.84,0.40,0.37,1.00
1.320,1.83,1.00,0.80,2.23
1.330,1.44,0.64,-0.67,1.71
1.340,0.38,0.99,-0.68,1.26
1.350,-1.21,0.31,0.41,1.32
1.361,-3.12,0.16,0.01,3.13
1.371,-1.89,-0.67,-0.56,2.08
1.381,0.74,0.01,-0.09,0.75
1.391,1.16,0.14,0.24,1.19
1.401,0.96,-0.92,-0.21,1.34
1.411,0.41,-0.16,0.25,0.50
1.421,-0.79,-1.01,-0.24,1.30
1.431,-1.19,-0.50,-0.16,1.30
1.441,-0.11,0.34,0.32,0.48
1.451,2.05,1.21,0.84,2.52
1.461,1.85,1.51,-0.81,2.52
1.472,0.10,0.08,-0.46,0.48
1.482,-1.15,0.42,0.65,1.38
1.492,-2.79,-0.21,-0.32,2.82
1.502,-1.33,-1.19,-0.30,1.81
1.512,-0.06,0.10,-0.23,0.26
1.522,1.06,-0.26,0.16,1.10
1.532,1.25,-0.28,-0.18,1.29
1.542,-0.48,-0.43,0.53,0.84
1.552,-0.00,-0.09,-0.39,0.40
1.562,-0.46,-0.84,-0.13,0.97
1.572,0.28,0.49,0.73,0.92
1.582,1.54,0.89,0.22,1.79
1.593,0.92,0.37,-0.92,1.35
1.603,0.16,1.34,0.25,1.37
1.613,-2.18,0.20,0.18,2.20
1.623,-1.87,0.38,-0.51,1.98
1.633,-0.48,-0.16,-0.33,0.60
1.643,0.01,-0.65,-0.13,0.66
1.653,0.84,-0.35,0.32,0.96
1.663,0.84,-0.71,0.05,1.10
1.673,-0.37,-0.63,-0.06,0.73
1.683,-0.60,-0.38,-0.05,0.72
1.693,-0.34,-0.51,-0.27,0.67
1.703,0.99,0.65,0.72,1.39
1.713,1.65,1.00,0.24,1.94
1.724,0.60,0.30,-1.06,1.25
1.734,0.28,1.35,0.58,1.49
1.744,-2.06,0.59,0.22,2.15
1.754,-2.44,0.01,-1.06,2.66
1.764,-0.49,-0.11,-0.05,0.51
1.774,0.55,-0.22,-0.12,0.61
1.784,0.91,-0.90,0.39,1.34
1.794,0.58,-0.51,0.33,0.84
1.804,-0.55,-0.85,-0.39,1.09
1.814,-0.48,-0.51,-0.23,0.74
1.824,-0.07,0.01,0.20,0.21
1.834,0.98,0.51,0.55,1.24
1.844,1.65,1.17,0.26,2.04
1.855,0.50,0.57,-0.87,1.16
1.865,-0.69,0.65,0.12,0.96
1.875,-2.05,0.36,-0.03,2.08
1.885,-1.75,0.13,-0.26,1.78
1.895,-0.20,-0.07,0.07,0.23
1.905,0.53,-0.59,-0.56,0.97
1.915,0.82,-0.46,0.20,0.96
1.925,0.24,-0.67,0.33,0.78
1.935,-0.68,-0.85,-0.17,1.10
1.945,-0.87,-0.83,-0.17,1.22
1.955,0.18,-0.09,-0.01,0.20
1.965,1.43,0.74,0.77,1.78
1.976,2.05,1.27,0.26,2.43
1.986,0.59,0.59,-1.07,1.36
1.996,-0.35,0.76,0.25,0.87
2.006,-2.31,0.51,0.23,2.38
2.016,-2.71,-0.55,-0.91,2.91
2.026,-0.08,-0.59,0.58,0.84
2.036,0.83,0.50,-0.33,1.03
2.046,0.34,-1.50,-0.46,1.61
2.056,0.80,-0.24,0.71,1.09
2.066,0.02,-0.59,-0.16,0.61
2.076,-1.07,-1.02,-0.26,1.50
2.086,-0.21,0.65,0.25,0.73
2.097,1.73,0.56,0.93,2.04
2.107,1.64,1.38,-0.99,2.36
2.117,0.37,0.82,-0.20,0.92
2.127,-0.62,0.44,0.12,0.77
2.137,-1.99,0.31,0.30,2.04
2.147,-2.01,-0.22,-0.32,2.04
2.157,-0.65,-0.71,-0.93,1.34
2.167,0.80,0.16,0.42,0.92
2.177,0.74,-0.99,-0.02,1.23
2.187,0.42,-0.54,0.28,0.74
2.197,0.08,-0.39,0.27,0.48
2.207,-0.41,-0.72,-0.46,0.95
2.217,0.04,0.60,0.26,0.66
2.227,1.25,1.00,0.80,1.79
2.237,1.37,1.70,-0.87,2.35
2.248,-0.10,0.70,-0.08,0.71
2.258,-0.86,-0.10,-0.15,0.88
2.268,-2.15,0.01,0.05,2.15
2.278,-1.71,-0.77,-0.03,1.88
2.288,0.18,-0.73,-0.52,0.92
2.298,0.36,-0.00,0.39,0.53
2.308,0.85,-0.39,-0.27,0.97
2.318,0.52,0.00,0.07,0.53
2.328,-0.84,-0.47,0.14,0.97
2.338,-0.30,-0.77,-0.46,0.94
2.348,0.65,0.61,0.76,1.17
2.359,1.53,0.84,0.74,1.89
2.369,0.94,0.70,-1.40,1.83
2.379,0.43,1.16,0.51,1.34
2.389,-0.94,0.12,-0.17,0.97
2.399,-2.44,-0.47,-0.26,2.50
2.409,-1.50,-0.17,0.15,1.52
2.419,0.16,-0.51,-0.77,0.94
2.429,0.58,-0.18,0.41,0.74
2.439,0.56,-0.32,0.15,0.66
2.449,0.32,-0.24,-0.25,0.47
2.460,-0.44,-0.20,0.03,0.48
2.469,-0.19,-0.51,-0.08,0.54
2.480,0.28,-0.03,0.23,0.36
2.490,1.47,0.82,0.82,1.88
2.500,1.03,0.61,-0.67,1.37
2.510,-0.08,0.59,-0.23,0.64
2.520,-1.03,0.60,0.10,1.20
2.530,-2.20,-0.07,-0.18,2.21
2.540,-1.38,0.09,-0.16,1.39
2.550,-0.01,-0.84,-0.50,0.98
2.560,0.62,-0.43,0.03,0.75
2.570,0.73,-0.45,0.41,0.95
2.580,0.03,-0.69,0.11,0.70
2.590,-0.53,0.03,-0.11,0.54
2.600,-0.05,-0.28,-0.60,0.67
2.611,0.80,0.43,0.86,1.25
2.621,1.61,0.97,0.40,1.92
2.631,0.84,0.40,-0.73,1.18
2.641,-0.02,0.82,0.04,0.82
2.651,-1.68,0.12,0.19,1.69
2.661,-2.64,-0.23,-0.42,2.68
2.671,-0.78,0.02,-0.27,0.83
2.681,0.31,-0.46,-0.22,0.59
2.691,0.74,-0.43,-0.04,0.85
2.701,1.01,-0.42,0.49,1.19
2.711,-0.06,-0.55,0.09,0.56
2.721,-0.90,-0.13,-0.43,1.01
2.732,-0.41,-0.42,0.24,0.63
2.742,1.06,0.91,0.35,1.44
2.752,1.58,1.08,-0.04,1.92
2.762,1.11,0.44,-0.42,1.27
2.772,0.14,0.93,-0.19,0.96
2.782,-1.75,-0.43,0.85,1.99
2.792,-3.02,-0.71,-0.82,3.21
2.802,-0.88,-0.11,-0.45,1.00
2.812,0.65,0.58,0.19,0.89
2.822,0.73,-0.80,-0.38,1.15
2.832,1.04,-0.25,0.61,1.23
2.842,0.06,-0.24,0.07,0.26
2.852,-0.84,-0.59,-0.55,1.17
2.863,-0.38,0.07,0.41,0.56
2.873,1.13,0.55,0.58,1.38
2.883,1.63,1.28,-0.38,2.11
2.893,0.61,0.98,-0.26,1.18
2.903,-0.66,-0.03,-0.30,0.73
2.913,-1.76,-0.32,0.30,1.81
2.923,-1.83,-0.24,0.06,1.85
2.933,-0.63,-0.64,-0.65,1.11
2.943,0.16,0.16,0.07,0.24
2.953,0.95,0.27,0.05,0.99
2.963,0.56,-0.27,0.03,0.62
2.973,-0.26,-0.20,-0.12,0.35
2.984,-0.40,-0.83,-0.12,0.93
2.994,-0.17,-0.30,0.11,0.37
3.004,0.88,0.02,0.89,1.26
3.014,1.42,0.99,-0.15,1.74
3.024,0.68,1.12,-0.64,1.46
3.034,0.06,0.75,-0.16,0.77
3.044,-1.52,-0.33,0.08,1.56
3.054,-2.29,-0.38,0.15,2.32
3.064,-0.44,-0.16,-0.64,0.79
3.074,-0.17,-0.50,-0.03,0.53
3.084,0.64,-0.14,0.36,0.75
3.095,0.82,-0.13,-0.16,0.84
3.104,-0.03,0.37,0.11,0.39
3.115,-0.40,-0.54,-0.27,0.73
3.125,-0.28,-0.51,-0.14,0.59
3.135,1.12,0.38,0.85,1.46
3.145,1.20,0.01,0.09,1.21
3.155,0.09,0.54,-0.49,0.74
3.165,-0.33,0.67,-0.02,0.75
3.175,-1.13,0.65,-0.19,1.32
3.185,-2.02,0.15,0.09,2.03
3.195,-0.62,-0.23,-0.54,0.85
3.205,0.42,-0.05,-0.36,0.55
3.215,0.66,-0.68,0.48,1.06
3.225,0.33,-0.83,0.05,0.90
3.235,-0.46,-0.63,0.24,0.81
3.246,-0.13,0.18,-0.25,0.34
3.256,0.00,0.05,-0.30,0.30
3.266,0.83,0.25,0.66,1.08
3.276,1.69,0.88,0.07,1.90
3.286,0.58,0.31,-0.51,0.83
3.296,-0.70,0.28,0.31,0.82
3.306,-2.15,-0.01,-0.09,2.15
3.316,-1.85,0.44,-0.39,1.94
3.326,-0.11,0.34,-0.36,0.51
3.336,0.56,-0.42,-0.11,0.71
3.346,0.95,0.02,0.23,0.97
3.356,0.42,-0.85,0.17,0.96
3.367,-0.74,-0.77,-0.11,1.07
3.377,-1.11,-0.83,0.01,1.39
3.387,0.46,0.23,-0.09,0.53
3.397,1.15,0.90,0.85,1.69
3.407,1.66,0.90,-0.23,1.90
3.417,0.75,0.55,-0.89,1.29
3.427,-0.20,0.42,0.32,0.57
3.437,-2.39,-0.15,0.45,2.43
3.447,-2.76,-0.42,-0.48,2.83
3.457,-0.07,0.52,-0.38,0.65
3.467,0.82,0.12,-0.35,0.90
3.477,0.94,-0.65,0.23,1.16
3.487,0.62,-0.39,0.40,0.83
3.498,-0.23,-1.02,-0.15,1.05
3.508,-1.05,-0.81,-0.22,1.34
3.518,-0.17,-0.32,0.19,0.41
3.528,1.38,0.57,0.64,1.62
3.538,1.89,1.62,-0.07,2.49
3.548,0.45,0.55,-0.70,1.00
3.558,-0.85,1.11,-0.07,1.40
3.568,-2.49,0.59,0.41,2.59
3.578,-1.92,-0.38,-0.82,2.13
3.588,-0.23,-0.59,-0.13,0.65
3.598,0.78,-0.33,0.30,0.90
3.609,1.32,-0.62,-0.09,1.46
3.618,0.17,-0.63,0.39,0.76
3.629,-0.62,-0.62,-0.33,0.93
3.639,-0.49,-0.53,-0.18,0.74
3.649,-0.10,0.27,0.13,0.32
3.659,1.30,0.55,0.83,1.63
3.669,1.75,1.06,-0.44,2.09
3.679,0.81,1.16,-0.29,1.44
3.689,-1.26,0.75,0.16,1.48
3.699,-2.56,0.12,-0.34,2.58
3.709,-1.44,-0.31,-0.54,1.57
3.719,-0.20,-0.52,0.22,0.59
3.729,0.50,-0.72,0.21,0.90
3.739,1.02,-0.56,-0.29,1.20
3.750,0.43,-0.32,0.46,0.70
3.760,-0.28,-0.35,-0.34,0.57
3.770,-0.63,-0.44,-0.04,0.77
3.780,0.21,0.36,0.25,0.48
3.790,1.31,0.50,0.42,1.46
3.800,0.90,1.13,-0.02,1.45
3.810,0.25,0.45,-0.66,0.84
3.820,-0.77,1.13,0.19,1.38
3.830,-2.42,0.50,0.06,2.47
3.840,-1.21,-0.50,-0.68,1.47
3.850,0.22,-0.24,-0.10,0.34
3.860,0.55,-0.81,0.26,1.02
3.870,0.67,-0.76,0.11,1.02
3.881,-0.28,-0.74,0.18,0.81
3.891,-0.61,-0.35,-0.29,0.76
3.901,-0.22,-0.40,-0.31,0.56
3.911,0.64,0.11,0.52,0.83
3.921,1.79,1.03,0.70,2.18
3.931,1.04,0.63,-0.59,1.35
3.941,-0.06,0.62,-0.40,0.74
3.951,-1.09,0.96,0.37,1.50
3.961,-2.55,0.26,-0.26,2.57
3.971,-1.15,0.08,-0.28,1.19
3.981,-0.03,-0.63,-0.42,0.76
3.991,0.62,-0.47,0.10,0.78
4.001,0.84,-0.76,0.05,1.13
4.012,0.05,-0.76,0.69,1.02
4.022,-0.59,-0.26,-1.02,1.21
4.032,-0.44,-1.03,0.94,1.46
