time,ax,ay,az,atotal
0.000,1.13,-1.41,3.61,4.03
0.010,-0.86,-1.85,3.55,4.09
0.021,0.92,1.20,-1.79,2.34
0.031,-0.14,-1.05,-3.31,3.48
0.041,1.31,0.42,-1.53,2.06
0.051,-0.02,1.46,0.20,1.47
0.061,0.65,-0.94,3.60,3.78
0.071,1.19,1.18,-0.07,1.67
0.081,-0.10,0.55,-0.72,0.91
0.091,-0.80,-0.53,-1.09,1.45
0.101,-1.13,0.31,-0.98,1.53
0.111,-2.25,-1.21,0.57,2.62
0.121,-0.52,0.08,0.70,0.88
0.131,0.23,0.35,-0.91,1.01
0.141,0.35,-1.73,1.26,2.16
0.151,1.87,2.83,-1.58,3.74
0.162,-0.42,-2.39,0.55,2.49
0.172,-0.41,0.86,-1.15,1.50
0.182,0.50,-0.82,3.18,3.32
0.192,1.11,1.81,-1.33,2.50
0.202,0.49,-0.41,-0.87,1.08
0.212,0.05,0.23,-0.26,0.35
0.222,-0.06,0.76,0.07,0.77
0.232,-2.15,-0.36,0.43,2.22
0.242,-0.95,-0.15,-0.29,1.00
0.252,-1.32,-0.87,1.36,2.08
0.262,0.97,1.10,-2.49,2.89
0.272,0.08,-2.07,-0.10,2.07
0.283,0.07,0.62,0.98,1.16
0.293,0.17,0.58,-1.01,1.18
0.303,-0.07,-0.63,1.52,1.65
0.313,1.89,1.35,0.53,2.38
0.323,1.16,0.29,-1.34,1.79
0.333,0.15,-0.18,-0.48,0.54
0.343,-0.04,0.16,0.61,0.63
0.353,-1.78,-0.26,0.25,1.81
0.363,-0.84,0.17,0.30,0.91
0.373,-0.82,-0.43,-0.75,1.19
0.383,-0.92,0.46,-1.60,1.90
0.394,-0.61,-1.29,0.81,1.64
0.404,0.76,0.33,0.74,1.11
0.414,0.74,-0.14,-0.59,0.95
0.424,-0.11,-0.84,0.15,0.86
0.434,1.18,1.80,-0.82,2.30
0.444,0.17,-0.32,1.53,1.57
0.454,0.96,1.37,-0.94,1.92
0.464,0.40,-0.98,0.59,1.21
0.474,-0.25,0.80,-0.81,1.17
0.484,-1.76,-1.10,-0.09,2.08
0.494,-2.27,-0.52,0.96,2.52
0.504,0.03,1.77,-2.11,2.75
0.514,-0.40,-1.71,1.92,2.60
0.525,1.11,1.14,-1.34,2.08
0.535,0.26,-0.31,-0.29,0.50
0.545,0.53,-0.44,0.24,0.73
0.555,-1.13,0.42,-0.38,1.26
0.565,0.46,0.22,0.57,0.76
0.575,1.43,0.88,0.81,1.86
0.585,1.45,0.18,-0.12,1.47
0.595,0.11,-0.86,-0.43,0.96
0.605,-0.64,-0.15,0.18,0.68
0.615,-1.83,-0.82,-0.48,2.06
0.626,-1.07,1.00,-1.04,1.79
0.635,-1.58,0.51,1.17,2.03
0.646,0.72,1.38,-1.67,2.28
0.656,1.60,-0.02,1.15,1.97
0.666,-0.00,-0.92,-0.31,0.97
