time,ax,ay,az,atotal
0.000,-1.61,0.50,-0.14,1.69
0.010,-1.57,-0.09,-0.40,1.62
0.020,-0.41,-0.66,0.76,1.09
0.030,0.62,0.23,-0.29,0.72
0.040,-0.39,-1.95,0.10,1.99
0.050,0.33,0.97,-0.78,1.29
0.061,-0.06,-1.42,0.46,1.49
0.071,0.41,0.68,0.08,0.79
0.081,0.12,0.10,0.24,0.29
0.091,1.41,0.62,0.23,1.56
0.101,0.99,1.56,-0.85,2.03
0.111,-0.37,-0.53,0.16,0.66
0.121,-0.31,0.04,0.21,0.38
0.131,-0.73,-0.15,0.38,0.84
0.141,-2.41,-0.31,-0.30,2.45
0.151,-0.77,0.35,-1.91,2.09
0.161,-0.32,-0.37,0.83,0.96
0.172,1.04,0.39,-0.42,1.18
0.182,0.90,-0.86,1.25,1.76
0.192,0.66,0.38,-0.34,0.83
0.202,-0.74,-0.90,0.30,1.20
0.212,0.37,1.02,-0.57,1.23
0.222,0.69,-0.02,0.20,0.72
0.232,1.09,1.00,-0.56,1.58
0.242,0.38,0.56,0.69,0.96
0.252,-0.62,-0.49,-0.17,0.81
0.262,-2.35,-0.54,0.03,2.41
0.272,-2.01,0.90,-1.12,2.47
0.283,-0.13,-0.35,-0.79,0.87
0.292,0.91,0.42,1.19,1.56
0.302,0.80,-0.17,0.06,0.82
0.313,0.04,-1.33,0.42,1.40
0.323,0.07,0.38,-1.17,1.23
0.333,-0.78,-2.24,0.24,2.39
0.343,0.55,1.79,1.09,2.16
0.353,2.20,1.03,-0.26,2.45
0.363,0.71,-0.08,-0.38,0.81
0.373,0.60,2.17,-0.23,2.27
0.383,-2.45,-1.20,-0.10,2.73
0.393,-2.10,0.54,-0.43,2.21
0.403,-1.04,-0.35,0.06,1.09
0.414,-0.51,-1.03,-0.59,1.30
0.424,1.36,0.89,0.19,1.64
0.434,0.86,-1.23,0.88,1.74
0.444,0.10,0.37,-1.02,1.09
0.454,-0.49,-0.59,0.47,0.91
0.464,-0.20,-0.15,-1.20,1.22
0.474,-0.50,-0.41,2.75,2.82
0.484,1.80,2.37,-1.47,3.32
0.494,0.95,-0.37,-0.68,1.23
0.504,1.16,1.64,0.89,2.19
0.514,-1.58,-0.57,-1.09,2.00
0.524,-2.83,-0.50,0.88,3.01
0.535,-0.86,0.58,-0.83,1.33
0.545,-1.09,-1.49,-0.76,2.00
0.555,0.42,0.10,0.59,0.73
0.565,1.65,-0.06,-0.01,1.65
0.575,0.91,-0.43,0.34,1.06
0.585,-0.57,-0.19,0.12,0.61
0.595,-0.28,-0.39,-0.27,0.56
0.605,0.03,0.11,0.64,0.65
0.615,1.27,1.27,-0.97,2.04
0.625,0.31,-0.19,0.39,0.53
0.635,0.97,1.70,-0.20,1.97
0.646,-1.34,-0.45,0.31,1.45
0.656,-1.40,-0.04,-0.38,1.45
0.666,-1.79,-0.17,0.21,1.81
0.676,-0.16,-0.34,-1.47,1.52
0.686,-0.62,-1.15,0.34,1.35
0.696,1.34,0.43,0.34,1.45
0.706,0.35,-0.47,0.70,0.92
0.716,-0.12,0.36,-0.70,0.80
0.727,-0.30,0.00,-0.08,0.31
0.736,1.59,0.66,0.13,1.73
0.746,1.31,0.89,0.05,1.58
0.757,0.26,-0.21,0.66,0.74
0.767,-0.73,0.32,-0.56,0.97
0.777,-1.30,-0.24,-0.27,1.35
0.787,-2.30,-0.67,0.11,2.40
0.797,-0.99,0.85,-1.63,2.09
0.807,0.36,-1.28,1.10,1.72
0.817,0.68,1.09,-0.14,1.30
0.827,0.36,-0.97,0.39,1.10
0.837,0.19,-0.17,-0.06,0.26
0.847,0.54,0.46,-0.66,0.96
0.857,-1.26,-0.68,0.39,1.48
0.867,2.07,1.65,0.15,2.65
0.878,0.67,-0.14,0.24,0.72
0.888,1.19,1.41,-0.37,1.89
0.898,-1.22,-0.84,0.32,1.51
0.908,-1.66,-0.27,-0.97,1.94
0.918,-2.13,-0.44,0.62,2.26
0.928,-0.23,0.71,-1.53,1.70
0.938,-0.09,-0.70,1.30,1.48
0.948,0.88,1.31,-0.88,1.81
0.958,0.59,-2.11,0.59,2.27
0.968,0.33,0.94,-0.42,1.08
0.978,-1.18,-1.61,0.61,2.09
0.989,0.01,0.39,0.06,0.40
0.999,2.17,1.66,-0.00,2.73
1.009,0.83,0.38,-0.48,1.03
1.019,0.71,1.37,-0.27,1.57
1.029,-0.83,-0.49,0.96,1.37
1.039,-2.02,-0.00,-1.27,2.38
1.049,-2.15,-1.36,1.08,2.77
1.059,-0.44,0.51,-2.09,2.20
1.069,0.17,-0.25,0.79,0.85
1.079,1.15,0.55,0.51,1.37
1.089,0.48,-0.68,-0.69,1.08
1.099,-0.43,0.61,0.40,0.84
1.110,0.03,-0.95,-0.61,1.13
1.120,-1.10,-1.24,0.84,1.86
1.130,1.67,1.29,0.23,2.13
1.140,1.63,-0.13,0.15,1.64
1.150,0.54,2.17,-1.10,2.49
1.160,-0.48,-0.39,0.53,0.82
1.170,-1.84,0.68,-1.15,2.28
1.180,-2.07,-0.47,0.73,2.24
1.190,-1.01,-0.69,-0.50,1.32
1.200,0.03,-0.21,-0.39,0.44
1.210,0.85,-0.35,0.70,1.15
1.220,0.95,0.28,-0.64,1.18
1.230,0.06,-0.93,0.35,1.00
1.241,0.14,0.30,-0.13,0.36
1.251,-0.10,-0.02,0.21,0.24
1.261,0.49,0.30,0.42,0.71
1.271,1.46,1.45,-0.53,2.12
1.281,-0.08,0.30,0.19,0.36
1.291,-0.50,0.12,-1.00,1.12
1.301,-1.26,-1.12,0.79,1.86
1.311,-1.84,-0.14,-0.10,1.85
1.321,-0.46,-0.07,-0.53,0.70
1.331,0.18,-0.46,-0.64,0.81
1.341,0.13,0.45,0.31,0.56
1.351,0.17,0.39,0.20,0.47
1.362,0.43,-0.31,0.27,0.59
1.372,0.00,0.28,-0.71,0.77
