time,ax,ay,az,atotal
0.000,-1.97,-1.22,-0.20,2.32
0.010,-0.17,0.27,-1.13,1.18
0.020,0.29,-0.95,0.57,1.15
0.030,-0.01,0.06,-0.37,0.38
0.040,0.20,0.37,0.68,0.80
0.050,0.78,0.66,-0.05,1.02
0.060,-0.49,-0.69,-0.50,0.98
0.071,1.33,0.40,0.41,1.45
0.081,1.91,0.83,0.07,2.09
0.091,0.27,0.07,0.25,0.38
0.101,-0.78,-0.06,-0.47,0.91
0.111,-1.00,-0.41,-0.07,1.08
0.121,-1.31,0.06,-0.35,1.36
0.131,-1.33,0.02,0.32,1.37
0.141,0.17,0.10,-0.58,0.61
0.151,0.02,0.18,-0.24,0.30
0.161,1.13,0.03,0.19,1.15
0.171,0.13,-0.34,-0.03,0.37
0.181,-0.04,-0.32,-0.01,0.32
0.192,-0.30,-0.84,0.02,0.89
0.202,0.66,0.43,0.63,1.01
0.212,1.24,0.35,0.08,1.29
0.222,1.69,1.44,-1.11,2.49
0.232,-0.29,0.13,0.93,0.98
0.242,-1.58,-0.18,-1.20,1.99
0.252,-1.85,-0.22,1.19,2.21
0.262,-0.77,0.78,-1.35,1.74
0.272,-0.35,-0.74,-0.35,0.89
0.282,1.03,0.12,0.91,1.38
0.292,0.52,-0.42,-0.37,0.76
0.302,0.01,-0.55,0.20,0.59
0.312,-0.40,-0.48,-0.18,0.65
0.323,0.09,0.12,-0.03,0.16
0.333,1.10,0.96,0.75,1.65
0.343,1.43,1.22,-0.44,1.93
0.353,0.77,0.48,-0.50,1.03
0.363,-0.27,0.70,0.63,0.98
0.373,-0.98,-0.81,-0.75,1.48
0.383,-2.37,-1.61,0.41,2.89
0.393,-0.98,0.35,-0.12,1.05
0.403,0.33,0.54,-1.09,1.26
0.413,-0.27,0.26,0.35,0.51
0.424,1.22,0.49,-0.25,1.34
0.434,0.88,-0.32,0.65,1.14
0.444,-0.46,-0.38,-0.44,0.74
0.454,-0.85,-2.01,0.61,2.26
0.464,1.20,0.52,0.14,1.32
0.474,1.16,0.87,0.51,1.53
0.484,1.07,1.96,-1.63,2.77
0.494,-0.16,0.40,0.88,0.98
0.504,-0.23,0.87,-1.32,1.60
0.514,-1.90,-1.94,1.38,3.05
0.524,-1.21,-0.14,-0.82,1.46
0.534,-1.07,-0.77,-0.12,1.32
0.545,0.69,-0.14,0.26,0.75
0.555,0.33,0.13,-0.81,0.88
0.565,0.65,0.18,0.75,1.01
0.575,0.22,-0.08,-0.54,0.59
0.585,0.24,0.52,-0.30,0.65
0.595,1.26,-0.48,1.71,2.17
0.605,0.78,1.44,-1.54,2.25
0.615,-0.10,-0.61,1.49,1.61
0.625,0.72,2.05,-0.78,2.31
0.635,-1.20,-1.86,-0.62,2.30
0.645,-1.45,-1.07,-0.06,1.81
0.656,-0.99,1.04,-0.15,1.45
0.666,-0.88,-0.91,0.49,1.35
0.676,0.76,1.30,-1.61,2.21
0.686,0.39,-0.09,1.39,1.44
0.696,0.78,0.92,-0.42,1.27
0.706,-0.21,-0.99,-0.36,1.07
0.716,-0.04,-1.37,0.84,1.61
0.726,1.84,0.24,0.87,2.05
0.736,1.04,0.51,-1.21,1.68
0.746,-0.31,0.72,-0.07,0.78
0.756,0.15,1.14,0.21,1.17
0.766,-0.92,-0.15,0.32,0.99
0.777,-1.57,-0.14,-0.58,1.68
0.787,-1.07,-0.78,-0.92,1.61
0.797,-0.55,0.12,-0.25,0.62
0.807,0.84,-0.20,1.45,1.68
0.817,0.94,-0.40,-1.05,1.46
0.827,-0.29,0.03,0.88,0.93
0.837,0.23,0.48,-0.73,0.90
0.847,-0.12,-0.16,-0.19,0.28
0.857,1.03,0.10,1.52,1.84
0.867,1.95,1.27,-1.50,2.77
0.877,-0.22,-0.36,0.70,0.82
0.887,-0.40,0.37,-0.47,0.72
0.897,-1.46,-0.99,0.26,1.78
0.908,-1.69,1.10,0.06,2.02
0.918,-0.39,0.05,-1.66,1.70
0.928,-0.22,0.14,0.85,0.89
0.938,1.24,0.84,-0.29,1.53
0.948,0.19,-1.52,0.74,1.70
0.958,-0.23,-0.50,-0.56,0.78
0.968,-0.38,-1.00,0.24,1.10
0.978,0.52,0.20,-0.41,0.69
0.988,0.97,0.54,1.61,1.96
0.998,1.69,1.67,-1.17,2.65
1.009,0.46,0.22,0.19,0.54
1.019,0.22,1.05,-0.32,1.12
1.029,-2.51,-1.71,-0.47,3.07
1.039,-2.68,-0.07,0.37,2.71
1.049,0.52,0.82,-0.18,0.99
1.059,0.49,-0.09,-0.69,0.85
1.069,0.28,-0.03,0.35,0.45
1.079,1.44,-0.28,0.30,1.49
1.089,-0.80,-0.59,-0.56,1.14
1.099,-1.12,-1.99,0.93,2.47
1.109,-0.10,0.87,-1.33,1.59
1.119,1.57,-0.02,2.31,2.80
1.130,1.94,2.23,-1.12,3.16
1.140,0.94,0.69,-1.23,1.70
1.150,-0.11,-0.16,1.64,1.65
1.160,-1.24,1.20,-0.84,1.92
1.170,-3.37,-2.34,-0.51,4.13
1.180,-0.94,0.77,-0.63,1.37
1.190,1.05,-0.40,0.82,1.39
1.200,1.40,0.11,-0.45,1.47
1.210,0.46,-1.01,0.45,1.19
1.220,-0.47,-0.88,-0.11,1.01
1.230,-0.25,0.18,-0.06,0.31
1.240,0.15,-0.52,0.16,0.56
1.251,1.12,0.70,0.45,1.40
1.261,1.18,1.12,-0.12,1.63
1.271,1.01,1.86,-0.89,2.29
1.281,-0.87,-0.34,0.54,1.08
1.291,-1.18,0.59,-0.39,1.38
1.301,-1.70,-0.63,-0.25,1.83
1.311,-1.10,-0.85,-0.57,1.50
1.321,0.18,-0.98,0.42,1.09
1.331,-0.28,0.87,0.92,1.30
1.341,-2.33,4.03,0.39,4.68
1.352,1.02,4.05,-2.18,4.71
1.361,3.02,3.13,-0.85,4.43
1.372,1.63,0.37,1.50,2.25
1.382,0.53,-2.77,0.91,2.96
1.392,0.72,-0.73,-0.22,1.05
1.402,-1.12,-0.42,1.12,1.64
1.412,-1.19,0.21,-1.34,1.81
1.422,-0.39,0.25,-1.24,1.32
1.432,-0.16,-0.49,0.71,0.87
1.442,0.49,-0.18,0.21,0.56
1.452,-0.15,-1.11,-0.15,1.13
1.462,0.06,-0.59,0.05,0.60
