time,ax,ay,az,atotal
0.000,-0.90,-1.38,3.28,3.67
0.010,1.60,1.17,1.55,2.52
0.020,0.93,-0.32,-2.03,2.26
0.030,0.72,1.60,-4.79,5.10
0.040,-0.15,0.03,1.61,1.61
0.050,-1.43,0.20,1.59,2.15
0.060,-2.28,-0.62,1.10,2.60
0.071,-1.38,-0.30,-0.99,1.73
0.081,1.05,1.30,-1.65,2.34
0.091,1.29,-1.04,-1.07,1.98
0.101,-1.07,-0.99,1.91,2.40
0.111,1.22,0.47,-0.17,1.32
0.121,-0.71,-1.99,1.00,2.34
0.131,0.90,1.98,-1.13,2.45
0.141,0.63,-0.48,0.40,0.89
0.151,1.50,1.50,-0.79,2.27
0.161,-0.34,0.51,1.13,1.29
0.172,-0.49,0.17,0.05,0.53
0.182,-0.99,-0.08,-0.93,1.36
0.192,-1.60,-0.27,-0.05,1.62
0.202,-0.48,0.13,-2.17,2.23
0.212,-1.17,-1.71,2.87,3.54
0.222,1.43,1.77,-0.65,2.37
0.232,0.36,-1.84,-0.24,1.89
0.242,0.13,0.69,-0.49,0.86
0.252,0.02,-0.46,-0.29,0.54
0.262,0.58,0.43,1.21,1.41
0.272,1.73,1.17,0.23,2.10
0.282,0.12,-0.18,-0.61,0.65
0.292,0.48,1.11,-0.08,1.21
0.303,-1.05,0.28,-0.35,1.15
0.313,-1.29,-1.58,-0.19,2.05
0.323,-1.80,-0.17,0.80,1.98
0.333,0.10,0.51,-2.11,2.17
0.343,-0.65,-1.52,1.54,2.26
0.353,1.29,2.17,-0.42,2.56
0.363,0.08,-1.53,-0.40,1.59
0.373,-0.15,1.12,-0.11,1.14
0.383,-0.10,-0.50,0.92,1.05
0.393,0.69,-0.28,-0.10,0.75
0.404,1.62,0.50,0.19,1.71
0.414,1.10,0.46,-0.95,1.52
0.424,-0.92,0.42,0.64,1.20
0.434,-0.69,0.14,0.27,0.76
0.444,-1.69,-0.15,-0.75,1.86
0.454,-1.33,-0.20,-0.47,1.42
0.464,-0.25,-0.26,-0.49,0.61
0.474,0.68,0.53,-0.23,0.90
0.484,-0.14,-0.81,1.95,2.11
0.494,1.07,0.78,-2.13,2.51
0.504,-0.67,-1.84,2.08,2.86
0.514,0.55,1.53,-2.10,2.65
0.524,0.39,-1.69,1.73,2.45
0.535,1.84,1.86,-0.44,2.65
0.545,0.51,0.74,-0.42,0.99
0.555,0.24,0.45,-0.02,0.51
0.565,-1.45,-0.51,0.12,1.54
0.575,-1.82,-0.22,0.26,1.85
0.585,-1.26,-0.42,-0.97,1.65
0.595,-0.11,-0.12,0.15,0.22
0.605,1.06,0.66,-0.81,1.49
0.615,0.05,-1.01,0.96,1.40
0.625,0.10,1.07,0.05,1.08
0.635,-0.81,-1.66,-0.59,1.94
0.645,-0.37,-0.29,-0.00,0.47
0.656,1.80,1.08,0.44,2.15
0.666,1.33,-0.02,0.28,1.36
0.676,0.65,1.45,-0.56,1.68
0.686,-0.51,0.17,-0.06,0.54
0.696,-0.83,0.47,-0.19,0.97
0.706,-2.14,-1.33,0.64,2.60
0.716,-1.21,0.02,-1.38,1.84
0.726,0.83,-0.15,0.51,0.98
0.736,0.26,0.33,-0.21,0.47
0.746,-0.02,-0.70,-0.33,0.77
0.757,0.60,0.25,1.01,1.20
0.767,-0.34,-0.40,-0.77,0.93
0.777,-0.95,-0.85,-0.81,1.51
0.787,1.66,0.75,1.88,2.62
0.797,1.88,1.15,0.38,2.23
0.807,0.14,0.40,-1.76,1.81
0.817,-0.13,0.36,0.36,0.52
0.827,-1.13,0.02,0.20,1.15
0.837,-1.63,-0.53,-0.34,1.75
0.847,-0.73,-0.64,-0.21,0.99
0.857,-0.58,0.44,-0.16,0.75
0.867,0.69,0.57,-0.22,0.92
0.877,0.24,-0.38,0.32,0.55
0.888,0.42,0.49,-0.72,0.96
0.897,-0.27,-1.60,0.45,1.68
0.908,0.23,0.00,0.14,0.27
0.918,0.89,-0.24,1.15,1.47
0.928,1.26,0.49,-1.06,1.72
0.938,0.33,1.35,0.23,1.41
0.948,-0.18,1.04,-0.30,1.10
0.958,-1.07,-0.13,-0.51,1.19
0.968,-1.42,-0.73,0.60,1.70
0.978,-0.58,-0.11,-1.12,1.27
0.988,-0.02,-0.76,0.43,0.88
0.998,-0.76,-0.32,0.39,0.91
1.009,1.15,0.16,-0.16,1.17
1.019,-0.14,0.21,-0.29,0.38
1.029,-0.31,0.41,-0.88,1.02
1.039,0.25,-0.48,1.07,1.20
1.049,1.76,1.09,0.52,2.13
1.059,1.62,-0.59,0.05,1.72
1.069,-0.23,0.48,-0.79,0.95
1.079,-1.17,0.09,-0.01,1.17
1.089,-1.03,-0.00,0.63,1.21
1.099,-1.37,0.89,-1.10,1.97
1.109,-1.14,-0.77,-0.02,1.38
1.120,0.86,0.82,-0.87,1.47
1.130,0.42,-0.90,1.10,1.48
1.140,0.76,-0.11,-0.45,0.89
1.150,-0.93,-0.69,0.74,1.38
1.160,0.60,0.31,-1.10,1.29
1.170,-0.23,-0.19,0.69,0.75
1.180,1.21,0.62,0.50,1.44
1.190,1.39,0.79,-0.39,1.65
1.200,0.76,0.93,-0.30,1.24
1.210,-1.24,-1.26,0.26,1.79
1.220,-1.34,0.49,-0.07,1.42
1.230,-1.76,-0.27,-0.31,1.80
1.240,-0.66,0.52,-0.79,1.15
1.251,0.91,0.47,-0.34,1.08
1.261,0.34,-0.42,0.90,1.05
1.271,0.97,0.39,-0.33,1.09
1.281,-1.29,-2.43,0.51,2.80
1.291,-0.70,-0.17,-1.49,1.65
1.301,1.34,-0.07,1.36,1.91
1.311,1.55,1.43,0.60,2.19
1.321,0.80,0.87,-0.58,1.31
1.331,0.48,0.97,-0.49,1.19
1.341,-0.97,0.18,-0.13,1.00
1.351,-2.26,-1.11,-0.10,2.52
1.362,-1.46,-0.29,0.45,1.56
1.372,0.09,0.23,-1.07,1.10
1.382,0.30,0.05,0.99,1.04
1.392,0.65,-0.03,-1.32,1.47
1.402,0.18,-0.71,0.62,0.96
1.412,0.06,0.54,-0.06,0.55
1.422,-0.53,-1.44,-0.28,1.56
1.432,-0.57,-0.66,1.09,1.39
1.442,2.57,1.35,-0.10,2.91
1.452,1.13,0.62,-0.38,1.35
1.462,0.23,0.94,-0.83,1.27
1.473,-1.29,-0.10,0.99,1.63
1.483,-1.01,1.49,-0.47,1.86
1.493,-2.21,-1.92,-0.16,2.93
1.503,-0.54,0.40,-1.55,1.69
1.513,0.90,-0.50,1.37,1.72
1.523,0.44,0.01,-0.03,0.44
1.533,0.68,-0.44,-0.21,0.84
1.543,-0.11,-1.29,0.38,1.35
1.553,0.24,1.10,-1.04,1.53
1.563,-0.27,-0.70,1.27,1.47
1.573,1.76,1.02,0.30,2.05
1.583,0.32,1.10,-0.69,1.34
1.594,0.23,-0.08,0.09,0.26
1.604,-0.29,0.62,-0.53,0.86
1.614,-1.84,-0.25,0.15,1.86
1.624,-1.31,-0.21,-0.24,1.34
1.634,-0.36,0.30,-1.25,1.34
1.644,-0.11,-0.55,1.52,1.62
1.654,1.10,-0.03,-1.13,1.57
1.664,0.14,-0.55,1.36,1.47
1.674,0.23,-0.14,-0.77,0.82
1.684,-0.50,-0.86,0.14,1.01
1.694,1.04,1.16,0.65,1.69
1.705,1.18,0.16,-0.18,1.21
1.715,0.41,0.59,-1.28,1.47
1.725,-0.07,0.40,1.22,1.29
1.735,-0.81,0.93,-0.57,1.36
1.745,-2.51,-0.58,0.55,2.63
1.755,-0.73,1.08,-1.65,2.10
1.765,0.34,-1.65,-0.13,1.69
1.775,1.23,0.82,0.69,1.63
1.785,-0.31,-2.14,0.17,2.17
1.795,-0.39,-0.14,0.60,0.73
1.805,0.11,0.90,-1.28,1.57
1.815,-0.63,-1.43,0.02,1.56
1.826,2.42,2.65,1.36,3.84
1.836,1.69,0.39,-0.05,1.74
1.846,-0.02,0.44,-0.74,0.86
1.856,-1.16,-0.23,-0.33,1.22
1.866,-1.05,-1.12,-0.28,1.57
1.876,-0.60,0.88,0.52,1.19
1.886,-1.45,-1.13,0.80,2.00
1.896,0.17,1.41,-2.20,2.62
1.906,0.31,-0.79,0.30,0.90
1.916,0.30,0.71,0.19,0.80
1.926,0.17,-0.65,0.15,0.69
1.936,-1.13,-1.76,0.76,2.23
1.947,1.26,1.51,-0.73,2.10
1.957,0.53,-1.54,1.05,1.94
1.967,1.91,2.23,-0.95,3.09
1.977,0.56,0.24,0.06,0.61
1.987,-0.80,0.25,0.49,0.97
1.997,-0.96,0.23,-0.48,1.09
2.007,-1.74,-1.60,-0.28,2.38
2.017,-0.76,0.14,-0.39,0.86
2.027,-0.52,-0.31,0.54,0.81
2.037,0.89,0.75,-1.32,1.76
2.047,0.08,-0.61,1.22,1.37
