time,ax,ay,az,atotal
0.000,0.49,-0.86,1.08,1.47
0.010,1.26,-0.24,-1.08,1.68
0.020,0.96,-0.83,-0.76,1.47
0.030,-1.27,-0.95,-1.39,2.11
0.040,-0.24,-1.12,1.53,1.91
0.050,1.13,1.40,2.41,3.01
0.060,1.81,1.77,-1.57,2.97
0.071,0.36,-0.15,-0.68,0.79
0.080,0.06,2.67,-1.40,3.01
0.091,-2.56,-1.50,1.12,3.17
0.101,-1.77,-0.48,-0.07,1.83
0.111,-0.41,-0.39,-0.53,0.77
0.121,0.14,-1.08,0.62,1.25
0.131,1.33,0.41,-1.61,2.13
0.141,-0.05,-0.86,1.96,2.14
0.151,0.70,0.52,-1.71,1.92
0.161,-1.10,-1.30,1.09,2.02
0.171,0.52,1.13,-0.76,1.46
0.182,0.80,-0.60,1.12,1.50
0.192,1.74,2.08,-1.16,2.95
0.202,0.51,-0.33,0.69,0.92
0.212,-0.15,0.98,-0.80,1.28
0.222,-2.17,-0.51,0.72,2.34
0.232,-1.76,0.27,-0.88,1.98
0.242,-1.25,-0.88,-1.29,2.00
0.252,0.76,0.02,1.68,1.84
0.262,1.04,-0.32,-0.71,1.30
0.272,0.30,-0.54,0.32,0.69
0.282,0.64,0.61,0.08,0.89
0.292,-1.40,-1.29,-0.90,2.11
0.303,0.36,0.43,0.88,1.05
0.313,2.00,0.84,0.60,2.25
0.323,0.06,-0.26,-0.85,0.90
0.333,0.58,1.10,0.12,1.25
0.343,-0.05,0.31,-0.16,0.36
0.353,-2.23,0.11,-0.01,2.24
0.363,-1.79,0.39,-0.39,1.88
0.373,-0.28,-0.66,-1.33,1.51
0.383,0.67,0.22,0.92,1.16
0.393,0.83,-0.57,-0.27,1.04
0.404,-0.47,-1.54,1.04,1.92
0.413,0.74,0.66,-0.06,1.00
0.424,-0.46,-0.55,-1.23,1.42
0.434,-0.78,-0.45,0.09,0.91
0.444,2.28,1.90,1.48,3.32
0.454,1.28,0.77,-1.37,2.03
0.464,-0.15,-0.29,0.47,0.57
0.474,0.06,0.87,-0.18,0.89
0.484,-1.88,-1.07,0.21,2.18
0.494,-1.97,0.80,-0.36,2.16
0.504,-0.74,-0.87,-1.44,1.84
0.514,0.35,-0.64,0.30,0.79
0.524,0.80,1.01,0.68,1.46
0.535,0.75,-1.91,-0.10,2.05
0.545,0.02,0.53,0.47,0.71
0.555,-0.30,0.27,-0.60,0.72
0.565,0.08,-0.39,0.14,0.42
0.575,1.87,2.40,0.08,3.04
0.585,0.58,-0.69,-0.07,0.90
0.595,1.06,0.81,-0.05,1.34
0.605,-1.03,-0.76,0.41,1.34
0.615,-2.74,-1.37,-1.18,3.28
0.625,-1.04,0.67,0.47,1.33
0.636,-0.42,0.61,-1.29,1.49
0.645,-0.07,-0.95,0.76,1.21
0.656,1.04,1.28,-0.21,1.66
0.666,0.78,-1.21,0.51,1.53
0.676,0.42,0.08,-0.46,0.63
0.686,-0.21,-1.12,0.52,1.25
0.696,0.07,0.41,0.56,0.69
0.706,1.31,1.09,-0.77,1.87
0.716,0.52,-0.14,-0.05,0.54
0.726,1.07,1.82,-0.65,2.21
0.736,-2.12,-1.61,1.66,3.14
0.746,-1.25,1.16,-1.43,2.22
0.756,-2.16,-1.55,-1.02,2.85
0.766,0.01,0.98,0.49,1.09
0.777,0.93,0.34,-0.20,1.01
0.787,0.46,-1.45,0.87,1.75
0.797,0.68,0.80,-0.73,1.28
0.807,-0.34,-1.87,0.09,1.91
0.817,0.09,1.43,-0.77,1.63
0.827,0.68,-0.96,2.22,2.51
0.837,1.67,2.00,-1.31,2.92
0.847,0.69,0.76,-0.07,1.03
0.857,-0.81,-0.29,0.23,0.89
0.867,-0.61,0.32,-0.54,0.88
0.877,-2.07,-0.85,0.68,2.34
0.888,-1.04,-0.89,-1.61,2.11
0.898,-0.62,0.41,0.68,1.01
0.908,0.92,0.45,-0.44,1.12
0.918,0.38,-0.97,0.56,1.18
0.928,1.59,1.51,-0.35,2.22
0.938,-0.50,-1.58,-0.07,1.66
0.948,-0.57,0.36,0.45,0.81
0.958,0.57,0.09,-0.27,0.63
0.968,0.70,-0.42,0.34,0.88
0.978,0.90,1.25,-0.67,1.69
0.988,0.45,-0.10,0.27,0.53
0.998,-0.80,-0.18,-0.21,0.84
1.009,-1.74,-0.15,0.84,1.94
1.019,-1.43,-0.22,-1.51,2.09
1.029,-0.95,-0.30,-0.81,1.29
1.039,0.20,0.37,0.68,0.80
1.049,1.28,0.06,0.45,1.36
1.059,0.85,0.12,0.00,0.86
1.069,-0.25,-0.80,0.09,0.84
1.079,0.00,-0.35,-0.66,0.75
1.089,0.84,0.26,0.89,1.25
1.099,0.89,0.19,-0.34,0.97
1.109,0.54,0.88,-0.21,1.05
1.119,-0.04,0.65,0.09,0.66
1.129,-1.26,-0.14,-0.24,1.29
1.140,-1.35,0.68,-0.42,1.57
1.150,-1.39,-1.00,-0.62,1.82
1.160,-0.32,-0.60,-0.15,0.69
1.170,0.46,0.10,0.70,0.85
1.180,0.92,-0.70,0.59,1.30
1.190,-0.05,-0.24,-0.42,0.49
1.200,-0.11,0.12,-0.76,0.78
1.210,0.14,0.16,-0.40,0.45
1.220,0.96,0.74,1.69,2.08
1.230,1.21,0.77,-0.88,1.68
1.241,1.05,0.39,0.02,1.11
1.251,-0.00,-0.07,0.59,0.59
1.261,-2.79,-1.80,-1.52,3.65
1.271,-1.60,0.44,1.12,2.00
1.281,-0.62,1.09,-0.93,1.56
1.291,-0.57,-0.42,-1.38,1.56
1.301,1.47,0.60,2.38,2.86
1.311,1.14,0.45,-2.15,2.48
1.321,-0.74,-2.03,1.27,2.51
1.331,0.11,0.42,-0.29,0.53
1.341,0.10,-0.81,0.95,1.26
1.352,0.99,1.56,-0.66,1.96
1.362,1.41,0.67,-0.05,1.56
1.372,0.49,1.27,-1.08,1.74
1.382,-0.99,-0.82,0.76,1.49
1.392,-1.86,-1.40,0.76,2.45
1.402,-1.07,0.57,-1.31,1.79
1.412,-0.26,-1.40,0.53,1.52
1.422,-0.76,1.73,-1.50,2.41
1.432,0.75,0.16,0.39,0.86
1.442,0.50,0.06,1.00,1.12
1.452,0.45,-0.46,-1.07,1.25
1.462,-0.40,-1.62,0.43,1.73
1.472,0.91,-0.19,0.81,1.23
1.482,1.22,1.55,-0.36,2.01
1.493,0.83,1.06,0.04,1.35
1.503,-0.45,0.91,-1.01,1.43
1.513,-0.90,-0.47,0.16,1.03
1.523,-0.34,-0.12,-0.07,0.37
1.533,-1.31,-1.49,0.89,2.18
1.543,-1.20,-0.42,-1.31,1.83
1.553,0.09,-0.00,0.45,0.46
1.563,0.17,0.99,-0.55,1.15
1.573,0.82,0.38,-0.09,0.90
1.583,0.56,-0.15,0.22,0.62
1.594,-0.32,-0.57,-0.38,0.75
1.604,0.06,-1.06,0.66,1.25
1.614,0.90,0.25,0.03,0.93
1.624,0.08,-0.27,1.81,1.83
1.634,1.22,2.03,-3.11,3.91
1.644,-0.64,-0.65,1.62,1.86
1.654,-0.86,1.36,-1.92,2.51
1.664,-1.66,-1.57,1.12,2.55
1.674,-0.64,1.13,-0.47,1.38
1.684,1.11,0.23,0.80,1.39
1.694,3.04,3.04,0.85,4.38
1.704,3.04,3.20,-0.31,4.42
1.714,0.58,-0.53,-1.26,1.49
1.725,-1.28,-0.60,-1.22,1.87
1.735,-1.69,-0.78,1.10,2.16
1.745,-0.66,-2.06,0.31,2.19
1.755,-1.95,-1.85,0.95,2.85
1.765,0.68,1.24,-0.62,1.55
1.775,0.66,-1.37,0.50,1.61
1.785,1.83,1.10,-2.48,3.27
1.795,0.21,0.73,0.32,0.82
1.805,-1.95,0.72,0.31,2.10
1.815,-2.13,-0.34,1.24,2.49
1.825,-0.93,-0.46,0.01,1.04
1.836,-0.02,-1.53,-1.75,2.33
1.846,1.41,-0.30,-1.03,1.77
1.856,0.64,-0.94,1.12,1.60
1.866,-1.45,-0.03,1.41,2.03
1.876,-1.06,-0.13,-0.65,1.25
1.886,-2.84,1.40,-0.54,3.21
1.896,-1.12,3.80,-1.30,4.17
1.906,-0.81,1.06,-1.49,2.00
1.916,-0.07,-0.41,-0.36,0.55
1.926,0.71,-1.68,2.02,2.72
1.936,0.28,-2.92,0.54,2.98
1.946,0.62,-1.54,-0.52,1.74
1.957,0.45,-0.69,1.23,1.48
1.967,-0.34,1.89,-0.66,2.03
1.977,-1.05,1.06,-2.61,3.00
1.987,-1.27,-1.07,-1.15,2.02
1.997,-0.75,-1.40,0.92,1.84
2.007,-0.53,-2.22,1.85,2.94
2.017,1.51,0.04,-0.32,1.55
2.027,0.29,-0.92,-0.31,1.01
2.037,0.53,0.26,-1.51,1.62
2.047,-0.04,-1.16,0.08,1.16
2.057,4.16,3.36,5.59,7.74
2.067,2.05,2.98,-4.85,6.05
2.078,-0.23,0.87,0.11,0.90
2.088,-0.16,2.60,0.80,2.73
2.098,-2.55,-2.71,-1.56,4.03
2.108,-0.36,-1.41,0.84,1.68
2.118,1.08,-1.27,1.54,2.27
2.128,0.79,-1.85,-0.90,2.21
2.138,2.21,-0.00,0.73,2.33
2.148,2.03,0.08,-0.29,2.05
2.158,-0.16,0.87,-1.10,1.41
2.168,0.97,-0.36,1.93,2.19
2.179,-0.85,0.13,-1.62,1.83
2.189,-2.09,-2.35,0.48,3.18
2.199,-0.49,0.13,0.19,0.54
2.209,1.11,-0.60,-0.77,1.48
2.219,0.99,-0.07,0.30,1.04
2.229,-2.59,1.54,1.47,3.35
2.239,-3.93,2.07,-2.44,5.07
2.249,0.08,0.44,-2.65,2.69
2.259,-0.46,1.59,3.18,3.58
2.269,2.96,0.39,-0.11,2.98
2.279,2.78,-0.24,-0.35,2.81
2.289,0.91,1.24,0.64,1.67
2.299,-3.00,-2.62,-0.94,4.09
2.310,-2.72,-0.10,0.00,2.72
2.320,-1.47,0.79,-0.50,1.75
2.330,-0.69,-1.03,-0.05,1.25
2.340,1.41,0.97,0.50,1.78
2.350,1.68,-0.41,-1.18,2.09
2.360,0.56,-0.78,1.22,1.55
2.370,-0.21,0.63,-0.41,0.78
2.380,-1.27,-1.77,0.37,2.21
2.390,0.59,0.90,-0.01,1.07
2.400,0.53,0.21,-0.56,0.80
2.410,1.11,0.67,-0.29,1.33
2.421,1.17,0.57,0.81,1.53
2.431,-0.76,0.35,0.02,0.84
2.441,-1.59,0.83,-1.21,2.16
2.451,-2.20,-1.50,1.48,3.05
2.461,0.68,2.10,-2.01,2.98
2.471,-0.84,-2.89,0.23,3.02
2.481,0.80,-0.24,0.36,0.91
2.491,0.50,0.29,-0.23,0.62
2.501,-0.32,-0.74,0.13,0.82
2.511,0.38,1.17,0.62,1.38
2.521,0.84,0.49,-0.01,0.97
2.531,1.40,1.08,-1.16,2.12
2.542,0.91,0.43,0.62,1.18
2.552,-0.39,-0.35,0.23,0.58
2.562,-1.47,-0.28,0.16,1.51
2.572,-2.37,-0.37,-0.20,2.41
2.582,-1.07,-0.23,-1.64,1.97
2.592,-0.21,-0.01,0.07,0.22
2.602,0.95,-0.19,-0.18,0.98
2.612,0.81,-1.38,2.14,2.67
2.622,0.98,1.92,-1.31,2.52
2.632,-1.02,-2.46,0.12,2.67
2.642,-0.08,1.73,-0.44,1.78
2.653,0.72,0.22,-0.01,0.76
2.663,1.21,0.35,0.87,1.53
2.673,1.74,1.54,-0.69,2.43
2.683,-0.82,-1.40,0.57,1.72
2.693,-1.25,0.70,-1.17,1.85
2.703,-2.59,-0.98,0.91,2.91
2.713,-0.69,1.04,-1.15,1.70
2.723,0.02,-1.49,0.47,1.56
2.733,-0.54,-1.84,4.33,4.74
2.743,0.51,0.60,-2.05,2.20
2.753,0.39,-0.02,1.99,2.03
2.763,0.88,0.39,-2.51,2.69
2.773,0.82,0.07,-1.42,1.65
2.784,0.37,-1.15,1.42,1.87
2.794,-0.17,1.11,1.55,1.92
2.804,-0.16,-0.22,0.19,0.33
2.814,-0.51,0.70,-0.97,1.30
2.824,-1.30,0.83,-1.94,2.48
2.834,-0.58,0.07,-1.94,2.02
2.844,0.03,-0.33,1.44,1.48
2.854,-0.41,-0.91,-0.08,1.00
2.864,0.42,0.16,-0.82,0.93
2.874,0.83,-0.07,-1.33,1.57
2.884,0.69,-1.34,1.83,2.37
2.895,0.67,1.63,-0.57,1.85
2.905,0.79,0.60,-0.76,1.25
2.915,1.23,4.03,-2.25,4.78
2.925,0.19,4.11,-1.18,4.28
2.935,-1.09,3.95,-0.76,4.17
2.945,-0.86,3.77,-2.24,4.46
2.955,-1.23,3.94,-2.55,4.85
2.965,-0.08,-2.58,0.63,2.65
2.975,-2.14,-7.79,9.35,12.35
2.985,0.86,0.11,-9.02,9.06
2.995,1.30,-1.87,8.57,8.87
3.006,-0.47,-4.71,2.26,5.24
3.016,0.19,0.23,-0.40,0.50
3.026,-0.29,-1.15,0.27,1.21
3.036,-0.16,-0.38,-5.31,5.33
3.046,1.65,0.03,-1.09,1.98
3.056,-0.24,-1.87,0.81,2.05
3.066,1.28,0.92,1.60,2.24
3.076,0.41,-0.60,1.97,2.10
3.086,-1.43,-0.76,-0.15,1.63
3.096,-1.14,1.59,-2.85,3.46
3.106,-1.11,-0.51,-1.09,1.64
3.116,-0.44,0.67,-0.34,0.86
3.127,0.05,-0.36,2.49,2.51
3.137,1.27,0.62,-0.13,1.42
3.146,0.60,-1.46,-0.15,1.58
3.157,-0.28,-0.46,-0.79,0.95
3.167,0.38,-0.34,-0.56,0.76
3.177,1.13,0.36,2.06,2.38
3.187,1.14,1.62,-1.51,2.49
3.197,-0.36,-0.59,1.19,1.38
3.207,-0.06,2.36,-1.66,2.88
3.217,-1.88,-1.97,1.02,2.91
3.227,-2.08,0.88,-1.72,2.84
3.237,-0.39,-1.49,0.46,1.60
3.247,0.71,-0.22,1.31,1.50
3.258,0.58,-0.32,-1.58,1.71
3.268,0.25,-0.92,0.90,1.31
3.278,0.64,1.58,-0.82,1.89
3.288,-0.73,-0.57,0.57,1.08
3.298,0.78,0.97,0.37,1.30
3.308,1.37,0.30,-0.42,1.46
3.318,0.40,0.78,-0.51,1.02
3.328,0.32,-0.40,0.51,0.72
3.338,-1.05,-1.02,-0.00,1.46
3.348,-1.96,-0.03,0.11,1.97
3.358,-1.35,0.82,-1.00,1.86
3.368,-0.26,0.40,-1.44,1.52
3.379,-0.28,-0.28,1.47,1.52
3.389,1.83,0.84,-0.81,2.17
3.399,0.52,-1.87,1.42,2.40
3.409,-0.70,-0.76,-0.79,1.30
3.419,-0.30,-1.13,0.42,1.25
3.429,1.66,1.63,0.46,2.37
3.439,0.98,0.65,-0.68,1.36
3.449,0.61,1.11,-0.37,1.32
3.459,-0.17,1.49,0.07,1.50
3.469,-1.87,-1.45,0.27,2.38
3.480,-1.30,0.04,-0.58,1.43
3.490,-0.95,-0.97,-0.21,1.37
3.500,-0.61,-0.70,-0.09,0.94
3.510,1.53,1.02,0.18,1.85
3.520,0.43,-0.94,0.08,1.04
3.530,-0.01,0.76,-0.36,0.84
3.540,-0.02,-0.46,0.18,0.49
3.550,-0.51,0.22,-1.33,1.44
3.560,0.05,-0.91,2.19,2.37
3.570,2.19,1.99,0.59,3.01
3.580,0.76,-0.06,-2.34,2.46
3.590,-0.84,-0.95,0.96,1.59
3.601,0.17,0.93,-0.84,1.27
3.611,-2.55,-1.61,0.84,3.13
3.620,-1.17,1.36,-0.19,1.81
3.631,-0.87,-0.70,-1.22,1.65
3.641,0.69,1.86,-0.54,2.05
3.651,1.18,-0.66,1.18,1.79
3.661,0.73,-0.03,-0.73,1.03
3.671,-0.70,-1.97,1.21,2.42
3.681,-0.51,-0.75,0.24,0.94
3.691,1.98,0.65,-0.79,2.22
3.701,1.21,0.10,0.99,1.57
3.711,0.33,2.07,-1.71,2.71
3.721,-1.16,-0.38,1.15,1.68
3.732,-0.20,1.09,-1.44,1.82
3.742,-2.05,-1.86,0.97,2.93
3.752,-0.67,1.09,-1.44,1.92
3.762,0.00,-1.41,1.49,2.05
3.772,0.47,-0.02,-1.95,2.01
3.782,-0.55,-1.07,2.40,2.68
3.792,1.11,1.96,-1.72,2.83
3.802,-0.66,-1.33,0.26,1.51
3.812,0.68,0.85,0.44,1.17
3.822,1.61,0.40,-0.31,1.69
3.832,0.67,-0.13,0.38,0.78
3.843,0.33,0.93,-1.00,1.40
3.853,-1.50,-1.29,1.93,2.77
3.863,0.05,1.35,-2.12,2.51
3.873,-1.95,-1.91,1.21,2.99
3.883,-0.80,1.73,-1.61,2.50
3.893,0.22,-0.66,0.47,0.84
3.903,0.56,1.21,-0.72,1.51
3.913,0.70,-0.69,1.26,1.60
3.923,0.28,-0.46,-0.01,0.54
3.933,-0.90,0.34,-0.99,1.38
3.943,0.37,-1.15,1.05,1.60
3.953,1.46,0.42,0.73,1.68
3.964,0.39,0.46,-1.73,1.84
3.974,0.80,-0.88,1.34,1.79
3.984,-0.68,1.41,-0.75,1.74
3.994,-1.87,-1.08,-0.44,2.20
4.004,-1.49,1.40,0.87,2.22
4.014,-0.32,1.23,-2.43,2.74
4.024,-0.56,-1.37,0.81,1.69
4.034,1.39,1.08,-0.42,1.81
4.044,0.19,-1.83,1.48,2.36
4.054,0.28,-0.22,-0.86,0.93
4.064,-0.16,-1.48,0.77,1.68
4.075,0.25,1.08,-0.98,1.48
4.085,0.11,-0.33,0.59,0.69
4.095,1.06,1.87,-0.25,2.16
4.105,0.64,0.20,0.32,0.74
4.115,0.43,0.47,-0.31,0.71
4.125,-1.56,-0.42,-0.23,1.63
4.135,-1.93,0.07,-0.04,1.93
4.145,-1.40,-0.32,-0.96,1.73
4.155,-0.29,0.18,0.45,0.56
4.165,1.56,-0.11,-0.17,1.58
4.175,1.12,-0.54,0.37,1.30
4.185,0.67,0.37,-0.17,0.79
4.196,-1.20,-1.84,0.01,2.20
4.206,-1.27,0.15,0.08,1.28
4.216,1.02,1.40,0.09,1.73
4.226,1.55,0.15,0.61,1.68
4.236,1.46,2.04,-1.38,2.86
4.246,0.29,-1.05,0.24,1.11
4.256,-1.61,0.41,1.09,1.98
4.266,-2.50,-0.78,-1.55,3.04
4.276,-3.20,-1.59,1.10,3.74
4.286,1.37,1.70,-2.23,3.11
4.296,1.71,-2.13,1.73,3.23
4.307,1.54,1.96,-0.40,2.52
4.317,0.17,-1.61,0.66,1.75
4.327,-0.14,0.11,-0.49,0.52
4.337,-1.61,-0.71,-0.66,1.88
4.347,-0.27,-0.59,1.74,1.85
4.357,2.56,2.63,-1.50,3.96
4.367,0.11,-1.05,0.72,1.28
4.377,1.48,1.69,-1.00,2.45
4.387,-2.18,-0.43,1.22,2.53
4.397,-2.12,0.52,-1.57,2.69
4.407,-1.59,-1.61,-0.51,2.32
4.417,-0.17,0.88,0.37,0.97
4.427,0.16,-1.35,0.04,1.36
4.438,2.08,0.08,0.90,2.27
4.448,1.12,0.69,-0.60,1.45
4.458,-0.27,-1.26,0.62,1.44
4.468,0.73,1.94,-0.93,2.28
4.478,0.06,0.03,0.81,0.81
4.488,0.65,0.64,-2.22,2.40
4.498,-0.52,-0.87,3.16,3.32
4.508,0.38,1.65,-1.85,2.51
4.518,-3.15,-2.50,0.66,4.07
4.528,-0.06,1.80,-1.18,2.15
4.539,-0.59,-0.73,-0.69,1.17
4.548,0.09,-0.45,0.29,0.55
4.559,0.80,0.38,0.89,1.25
4.569,-0.03,-1.42,0.22,1.43
4.579,0.57,1.22,-0.56,1.46
4.589,0.37,-0.47,-0.33,0.69
4.599,-0.12,-0.43,0.90,1.01
4.609,1.79,2.00,-0.68,2.77
4.619,0.06,-0.94,0.43,1.04
4.629,0.25,1.15,-0.57,1.31
4.639,-1.51,-0.78,0.55,1.79
4.649,-1.58,0.58,-0.47,1.74
4.659,-1.39,-0.12,-1.14,1.80
4.670,-0.11,-0.56,0.29,0.64
4.680,0.87,0.39,0.22,0.98
4.690,0.26,-1.05,0.54,1.21
4.700,0.66,0.12,-0.83,1.06
4.710,-0.60,-1.52,0.19,1.64
4.720,0.67,1.36,-0.05,1.52
4.730,0.69,-0.17,1.31,1.50
4.740,1.14,1.26,-0.64,1.82
4.750,1.21,0.91,-0.83,1.73
4.760,-0.68,-0.08,0.11,0.69
4.770,-1.30,-0.20,0.12,1.32
4.780,-2.12,-0.50,-0.17,2.19
4.791,-1.23,-0.44,-0.17,1.31
4.801,0.86,0.74,-0.63,1.30
4.811,0.46,-0.72,0.19,0.87
4.821,0.38,-0.06,0.14,0.41
4.831,0.80,-0.16,0.20,0.84
4.841,-0.88,-0.66,-0.65,1.28
4.851,-1.16,-0.65,0.32,1.37
4.861,1.86,0.80,0.99,2.26
4.871,1.96,0.80,-0.54,2.19
4.881,0.89,0.40,-0.49,1.09
4.891,-0.69,0.27,0.26,0.79
4.902,-1.96,-0.41,-0.19,2.01
4.912,-2.53,-0.52,0.26,2.60
4.922,-1.32,-0.16,-1.57,2.05
4.932,0.66,0.21,0.13,0.71
4.942,1.55,-0.03,0.16,1.56
4.952,1.46,-0.01,0.72,1.63
4.962,0.11,-0.20,0.71,0.75
4.972,-0.95,-0.53,-1.51,1.86
4.982,-0.64,-0.40,0.43,0.86
4.992,1.05,0.65,0.46,1.32
5.002,1.06,0.49,-0.70,1.36
5.012,0.63,0.48,0.50,0.93
5.023,0.48,1.31,-0.34,1.44
5.033,-1.58,-0.60,0.10,1.69
5.043,-2.08,0.34,-0.48,2.16
5.053,-1.56,0.96,-1.89,2.63
5.063,-0.69,0.66,-2.20,2.40
5.073,1.23,-1.01,5.99,6.20
5.083,2.76,2.41,-4.76,6.01
5.093,-1.50,-5.04,3.84,6.51
5.103,0.18,0.33,-0.60,0.71
5.113,1.26,0.53,-0.82,1.59
5.123,-0.86,-1.25,0.62,1.64
5.133,0.79,1.14,-1.98,2.42
5.144,0.91,0.85,2.35,2.66
5.154,1.51,2.20,-0.19,2.68
5.164,-1.37,-1.98,-0.95,2.59
5.174,-3.44,0.00,-0.20,3.44
5.184,-0.39,1.43,-1.74,2.28
5.194,0.15,-2.04,1.76,2.70
5.204,0.13,0.50,0.23,0.56
5.214,0.98,-0.78,-0.66,1.41
5.224,0.38,-0.06,0.39,0.55
5.234,-0.91,-0.29,-1.26,1.58
5.244,0.25,-0.50,1.21,1.34
5.254,2.19,2.33,0.31,3.21
5.265,0.44,-0.25,-0.51,0.72
5.275,0.36,0.79,-0.25,0.90
5.285,-0.34,-0.70,1.82,1.98
5.295,-1.42,-0.55,-2.50,2.92
5.305,-2.28,-0.84,1.05,2.65
5.315,-0.97,0.37,-0.86,1.35
5.325,0.23,0.81,-1.35,1.60
5.335,0.75,-0.14,1.94,2.09
5.345,1.21,0.42,-1.34,1.85
5.355,-0.55,-1.25,1.67,2.16
5.365,0.82,0.22,-1.48,1.71
5.376,-0.29,-1.43,0.96,1.75
5.385,1.00,1.01,0.13,1.43
5.396,1.23,1.06,-0.78,1.80
5.406,0.19,0.93,0.71,1.19
5.416,-0.72,0.05,-0.90,1.15
5.426,-1.77,-0.55,0.09,1.85
5.436,-1.47,0.33,0.52,1.59
5.446,-1.06,-0.86,-1.48,2.01
5.456,0.86,-0.34,0.29,0.97
5.466,1.22,-0.03,0.55,1.34
5.476,0.03,-0.10,-0.28,0.30
5.486,-0.63,-0.40,-0.13,0.76
5.497,-0.59,-0.56,0.25,0.85
5.507,0.93,1.02,0.06,1.38
5.517,1.62,0.70,0.21,1.78
5.527,1.07,0.60,-0.42,1.29
5.537,0.05,0.17,-0.03,0.18
5.547,-0.80,0.03,0.17,0.82
5.557,-2.23,-1.02,-0.16,2.45
5.567,-1.84,-0.36,-0.41,1.92
5.577,-0.34,0.73,-0.71,1.07
5.587,0.59,0.28,0.28,0.71
5.597,1.44,-0.51,-0.02,1.53
5.608,0.58,0.02,0.24,0.63
5.618,-0.21,-0.69,-0.14,0.74
5.628,-0.97,-0.69,0.16,1.21
5.638,-0.22,0.53,-0.09,0.58
5.648,1.88,0.36,1.35,2.34
5.658,1.85,2.43,-2.11,3.71
5.668,0.01,-1.27,0.88,1.55
5.678,-1.14,0.08,-0.45,1.23
5.688,-1.41,-0.26,0.44,1.50
5.698,-1.91,-0.82,-0.25,2.09
5.708,-0.72,0.34,-1.28,1.51
5.718,0.02,0.16,0.96,0.98
5.729,0.91,0.67,-1.04,1.54
5.739,0.99,-0.50,1.00,1.49
5.749,0.28,-0.21,-0.08,0.35
5.759,-0.21,-0.99,-0.40,1.09
5.769,0.86,0.14,0.98,1.32
5.779,0.56,0.49,-1.32,1.52
5.789,-0.30,0.22,1.49,1.54
5.799,1.08,2.33,-1.47,2.96
5.809,-0.97,-1.94,0.95,2.37
5.819,-1.42,0.34,-1.29,1.95
5.829,-1.44,-0.90,0.48,1.76
5.839,-0.12,0.14,-0.79,0.81
5.850,-0.39,-0.45,0.59,0.84
5.860,1.00,0.99,0.00,1.41
5.870,0.64,0.29,-0.52,0.87
5.880,-0.31,-0.63,0.09,0.71
5.890,0.24,-0.46,0.22,0.57
5.900,1.19,0.13,0.77,1.42
5.910,1.27,0.19,-0.41,1.34
5.920,0.08,0.52,-0.31,0.61
5.930,-0.44,0.47,0.31,0.71
5.940,-1.26,0.23,-0.75,1.48
5.950,-1.58,0.06,0.24,1.60
5.960,-0.96,-0.14,-0.76,1.23
5.970,0.04,-0.42,-0.57,0.70
5.981,0.44,-0.31,1.20,1.32
5.991,0.78,0.11,-0.60,0.99
6.001,-0.28,-0.85,0.39,0.98
6.011,0.33,0.64,-0.54,0.90
6.021,0.03,-0.56,0.40,0.69
6.031,0.82,0.50,0.44,1.06
6.041,1.63,1.29,-0.58,2.16
6.051,0.22,0.09,-0.01,0.24
6.061,-0.81,-0.16,-0.08,0.83
