time,ax,ay,az,atotal
0.000,-0.25,2.12,-2.90,3.60
0.010,-2.52,0.45,2.86,3.84
0.020,-1.92,-0.69,3.19,3.78
0.030,-0.28,-0.74,1.11,1.36
0.040,0.14,-1.27,0.24,1.30
0.050,1.09,-0.24,-2.95,3.16
0.061,0.40,-0.26,-1.32,1.40
0.071,-0.78,-0.90,0.81,1.44
0.081,-0.41,-0.24,1.58,1.65
0.091,0.61,0.59,0.87,1.21
0.101,0.86,0.71,0.17,1.13
0.111,1.57,1.57,-2.43,3.29
0.121,0.67,0.25,-0.39,0.81
0.131,-0.79,0.77,0.98,1.48
0.141,-2.67,-0.16,0.87,2.82
0.151,-2.03,-0.23,-0.87,2.22
0.161,-0.21,0.02,-1.40,1.41
0.171,0.77,-0.26,-0.12,0.83
0.182,0.90,-0.57,0.50,1.18
0.192,0.33,-0.73,1.02,1.30
0.202,-0.40,-0.46,-0.18,0.64
0.212,-1.23,-0.72,-0.87,1.67
0.222,0.56,0.68,0.13,0.89
0.232,1.89,1.54,0.80,2.57
0.242,1.10,1.07,-0.75,1.71
0.252,0.42,0.84,0.18,0.96
0.262,-1.06,1.08,0.15,1.52
0.272,-2.76,-0.39,-0.53,2.83
0.282,-1.97,-0.67,-1.27,2.44
0.293,0.04,-0.35,0.05,0.36
0.303,1.36,-0.52,0.87,1.69
0.313,0.63,-0.53,0.21,0.85
0.323,0.30,0.06,-0.03,0.31
0.333,-0.11,0.01,-0.77,0.78
0.343,-1.16,-0.17,-0.33,1.22
0.353,0.27,0.38,0.92,1.04
0.363,1.91,1.06,0.25,2.20
0.373,1.18,0.59,-0.75,1.52
0.383,0.47,0.94,0.28,1.08
0.393,-1.69,0.09,-0.08,1.69
0.403,-2.83,-0.09,-0.60,2.90
0.413,-1.50,-0.28,-0.68,1.67
0.424,-0.17,-0.46,0.12,0.50
0.434,1.17,0.05,0.21,1.19
0.444,1.02,-0.92,0.13,1.38
0.454,0.09,0.20,0.12,0.25
0.464,-0.72,-0.64,-0.39,1.04
0.474,-0.85,-0.51,-0.42,1.08
0.484,0.25,0.75,0.90,1.19
0.494,1.61,1.00,0.31,1.92
0.504,1.45,1.20,-0.91,2.09
0.514,0.14,0.56,-0.29,0.65
0.524,-0.79,0.50,0.53,1.07
0.534,-2.68,-0.23,-0.07,2.69
0.545,-1.84,-0.74,-1.22,2.33
0.555,0.05,-0.21,-0.19,0.29
0.565,0.73,-0.32,0.41,0.89
0.575,0.81,-0.51,0.40,1.04
0.585,-0.13,-0.39,-0.20,0.45
0.595,-0.36,-0.29,-0.27,0.54
0.605,-0.32,-0.25,-0.30,0.51
0.615,0.69,0.62,1.03,1.38
0.625,1.78,1.40,-0.01,2.26
0.635,0.60,0.99,-0.80,1.41
0.645,0.05,1.36,0.23,1.38
0.655,-1.69,-0.47,-0.33,1.79
0.665,-2.30,-0.22,-0.22,2.32
0.676,-1.13,-0.20,-0.24,1.18
0.686,-0.08,-1.18,-0.64,1.34
0.696,1.10,-0.01,0.55,1.23
0.706,0.70,-0.60,0.19,0.94
0.716,-0.44,-0.47,-0.05,0.65
0.726,-0.39,0.67,-0.21,0.80
0.736,0.09,0.12,-0.11,0.19
