time,ax,ay,az,atotal
0.000,-0.84,-0.63,3.46,3.62
0.010,0.01,0.11,2.52,2.52
0.020,1.16,0.80,0.80,1.62
0.030,1.20,1.33,-1.62,2.42
0.040,0.79,0.92,-2.93,3.17
0.050,-0.96,-0.15,0.15,0.98
0.061,-2.20,0.68,1.90,2.99
0.071,-1.84,-0.59,0.24,1.95
0.081,-0.45,0.14,-0.58,0.75
0.091,0.40,0.30,-1.26,1.35
0.101,1.00,-0.42,-0.49,1.20
0.111,0.31,-0.26,1.35,1.41
0.121,-0.82,-1.16,0.32,1.46
0.131,-0.52,-0.36,-0.74,0.97
0.141,0.04,0.27,0.07,0.28
0.151,1.43,1.03,0.32,1.79
0.162,1.27,1.24,-0.37,1.81
0.172,0.62,1.18,0.06,1.34
0.182,-0.85,0.42,0.12,0.96
0.192,-2.81,-0.18,-0.36,2.83
0.202,-2.07,-0.47,-1.01,2.35
0.212,-0.30,-0.36,-0.16,0.49
0.222,0.83,0.10,0.79,1.15
0.232,1.03,-0.46,-0.04,1.12
0.242,0.23,-0.03,-0.13,0.27
0.252,-0.76,-0.35,-0.36,0.91
0.262,-1.06,-0.44,-0.23,1.17
0.272,-0.25,-0.23,0.36,0.49
0.282,2.09,1.07,0.84,2.49
0.293,1.76,1.02,-0.66,2.14
0.303,0.25,0.53,-0.55,0.80
0.313,-0.95,1.00,0.56,1.49
0.323,-3.12,0.09,-0.45,3.16
0.333,-2.17,-0.09,-0.88,2.35
0.343,-0.34,-0.41,-0.53,0.75
0.353,1.07,-0.44,0.41,1.23
0.363,0.87,-0.52,0.72,1.24
0.373,0.09,-0.41,-0.23,0.48
0.383,-0.24,-0.27,-0.14,0.39
0.393,-0.13,0.52,-0.39,0.66
0.404,-0.52,-0.44,0.65,0.94
0.414,1.68,1.65,0.11,2.35
0.424,1.17,0.77,-0.65,1.54
0.434,-0.10,0.85,0.09,0.86
0.444,-1.00,0.62,0.33,1.23
0.454,-2.70,-0.27,-0.68,2.80
0.464,-1.37,0.10,-0.83,1.60
0.474,-0.25,-0.75,-0.14,0.80
0.484,0.41,-0.30,0.49,0.71
0.494,1.14,-0.17,0.47,1.25
0.504,0.22,-0.71,-0.46,0.88
0.514,-0.79,-0.02,-0.33,0.86
0.524,-0.46,-0.17,0.08,0.50
0.535,0.72,0.65,0.60,1.14
0.545,1.25,1.26,0.28,1.80
0.555,0.77,0.79,-0.90,1.43
0.565,0.09,1.52,-0.14,1.53
0.575,-1.46,-0.45,0.33,1.56
0.585,-2.46,-0.30,-0.62,2.56
0.595,-1.21,-0.24,-0.32,1.27
0.605,-0.28,-0.73,-0.24,0.82
0.615,0.52,-0.03,0.30,0.61
0.625,0.60,-0.42,0.14,0.75
0.635,0.43,0.30,0.00,0.53
0.645,-0.68,-0.16,-0.45,0.83
0.656,-0.60,-0.29,-0.13,0.67
0.666,0.84,0.71,0.80,1.36
0.676,1.50,0.89,-0.15,1.75
0.686,0.53,0.45,-0.52,0.87
0.696,-0.05,0.89,0.38,0.97
0.706,-1.55,0.07,-0.30,1.58
0.716,-2.08,0.08,-0.39,2.12
0.726,-1.19,-0.08,-0.62,1.34
0.736,-0.31,-0.46,-0.12,0.57
0.746,0.94,0.08,0.31,0.99
0.756,0.57,-0.62,0.32,0.90
0.767,-0.20,-0.21,-0.25,0.38
0.777,-0.38,-0.35,-0.27,0.58
0.787,-0.09,0.24,-0.13,0.29
0.797,0.45,0.30,0.99,1.13
0.807,1.30,1.06,-0.36,1.71
0.817,0.76,0.81,-0.46,1.20
0.827,-0.25,0.54,-0.03,0.60
0.837,-1.92,0.11,0.28,1.94
0.847,-2.58,-0.36,-0.66,2.69
0.857,-0.75,0.08,-0.56,0.94
0.867,0.26,-0.10,0.10,0.29
0.877,0.68,-0.68,0.08,0.97
0.888,0.91,-0.06,0.38,0.99
0.897,-0.33,-0.30,-0.05,0.45
0.908,-1.08,-0.43,-0.66,1.34
0.918,-0.43,0.13,0.20,0.49
0.928,1.55,1.24,0.82,2.14
0.938,1.81,1.17,-0.36,2.18
0.948,0.58,0.58,-0.46,0.94
0.958,-0.42,0.56,0.18,0.72
0.968,-2.45,-0.58,-0.04,2.52
0.978,-2.78,-0.23,-0.35,2.81
0.988,-1.10,-0.54,-0.96,1.55
0.998,0.64,0.28,0.23,0.74
1.009,1.32,0.06,0.48,1.40
1.018,1.06,-0.30,-0.11,1.11
1.029,-0.19,0.30,0.25,0.44
1.039,-1.15,-0.62,-0.76,1.52
1.049,-1.18,-0.38,0.29,1.27
1.059,1.27,1.28,0.85,1.99
1.069,1.87,1.08,-0.64,2.25
1.079,0.94,0.75,-0.25,1.23
1.089,-0.28,0.36,0.14,0.48
1.099,-2.21,-0.40,-0.07,2.25
1.109,-2.50,-0.26,-0.41,2.55
1.119,-1.29,-0.71,-0.81,1.68
1.129,0.02,0.36,0.37,0.51
1.140,1.52,0.57,0.19,1.63
1.150,0.76,-0.72,-0.06,1.05
1.160,-0.16,0.25,0.11,0.32
1.170,-0.33,-0.49,-0.35,0.69
1.180,-0.44,-0.19,-0.04,0.48
1.190,0.52,0.68,1.23,1.50
1.200,1.39,1.30,-0.92,2.11
1.210,0.38,0.86,-0.56,1.09
1.220,-0.08,0.82,0.49,0.96
1.230,-2.03,-0.99,-0.26,2.28
1.240,-2.19,0.03,-0.16,2.19
1.251,-0.63,-0.45,-0.95,1.23
1.261,-0.35,-0.79,0.17,0.89
1.271,0.74,0.34,0.79,1.13
1.281,0.93,0.11,-0.37,1.00
1.291,-0.21,0.17,-0.26,0.38
1.301,-0.48,-0.16,0.02,0.51
1.311,0.12,0.04,0.02,0.12
1.321,0.99,0.62,0.85,1.44
1.331,0.93,0.56,-0.59,1.23
1.341,0.06,0.27,-0.41,0.49
1.351,-0.43,0.74,0.48,0.98
1.361,-1.82,0.27,-0.11,1.85
1.372,-1.99,-0.18,-0.82,2.17
1.382,-0.46,0.51,-0.62,0.92
1.392,0.43,-0.28,0.28,0.58
1.402,0.59,-0.63,0.42,0.96
1.412,0.54,-0.24,0.36,0.69
1.422,-0.31,-0.22,-0.68,0.78
1.432,-0.59,-0.15,-0.23,0.65
1.442,-0.07,0.11,0.30,0.33
1.452,0.87,0.78,0.57,1.30
1.462,1.34,0.95,-0.28,1.67
1.473,0.06,0.56,-0.55,0.79
1.483,-1.01,0.76,0.41,1.33
1.493,-2.47,-0.27,-0.62,2.56
