time,ax,ay,az,atotal
0.000,1.36,-0.27,-1.31,1.90
0.010,-0.36,-0.68,2.29,2.41
0.020,-0.59,-0.44,0.62,0.96
0.030,-0.35,-0.88,0.06,0.95
0.040,0.46,0.83,-0.60,1.12
0.050,1.45,0.42,-0.20,1.52
0.060,1.44,1.32,-0.37,1.98
0.071,0.33,0.81,0.67,1.10
0.081,-1.13,0.66,0.19,1.32
0.091,-2.67,0.25,-0.49,2.72
0.101,-1.91,-0.59,-1.44,2.47
0.111,0.21,0.06,-0.05,0.23
0.121,0.72,-0.61,0.74,1.20
0.131,0.77,-0.93,0.10,1.21
0.141,0.38,0.16,0.54,0.67
0.151,-0.64,-0.56,-1.07,1.36
0.161,-1.04,-0.31,-0.49,1.19
0.171,0.78,0.85,1.16,1.64
0.181,1.93,0.89,0.23,2.14
0.191,1.04,0.86,-0.65,1.50
0.202,0.44,0.86,-0.16,0.98
0.212,-1.54,0.48,0.02,1.61
0.222,-2.53,0.35,-0.04,2.56
0.232,-1.97,-0.81,-1.00,2.36
0.242,0.14,0.02,-0.33,0.36
0.252,1.21,-0.09,0.63,1.37
0.262,0.77,-1.03,0.04,1.29
0.272,0.08,-0.05,0.40,0.41
0.282,-0.12,-0.30,-0.69,0.76
0.292,-0.52,-0.10,-0.18,0.56
0.302,0.42,1.02,1.08,1.55
0.313,1.70,1.15,-0.38,2.09
0.323,0.85,1.10,-0.55,1.50
0.333,-0.12,0.76,0.25,0.81
0.343,-2.16,-0.57,-0.45,2.28
0.353,-2.31,-0.12,-0.08,2.32
0.363,-0.91,-0.44,-0.41,1.09
0.373,0.35,-0.03,-0.16,0.39
0.383,1.10,0.15,0.28,1.15
0.393,0.90,-0.28,-0.19,0.96
0.403,-0.45,-0.20,0.03,0.50
0.413,-0.89,-0.66,-0.31,1.16
0.423,-0.33,0.05,0.03,0.33
0.433,0.77,0.48,0.88,1.27
0.444,1.94,1.13,-0.32,2.26
0.454,0.80,0.92,-0.76,1.44
0.464,0.20,0.90,0.42,1.01
0.474,-1.95,-0.48,-0.22,2.02
0.484,-2.79,-0.32,-0.22,2.82
0.494,-0.74,0.22,-0.63,0.99
0.504,0.29,0.00,-0.30,0.42
0.514,0.73,-0.32,0.51,0.95
0.524,1.13,-0.07,-0.02,1.14
0.534,-0.09,-0.10,0.01,0.13
0.544,-0.79,-0.42,-0.25,0.93
0.555,-0.65,-0.64,-0.32,0.97
0.564,0.76,0.58,0.74,1.21
0.575,1.88,1.14,0.35,2.22
0.585,0.53,0.52,-0.93,1.19
0.595,-0.10,1.14,0.26,1.18
0.605,-1.49,0.11,-0.31,1.53
0.615,-2.47,-0.08,-0.19,2.48
0.625,-1.02,-0.17,-0.46,1.13
0.635,0.18,-0.74,-0.34,0.83
0.645,0.86,-0.20,0.41,0.98
0.655,0.57,-0.58,0.33,0.88
0.665,-0.29,-0.18,-0.18,0.39
0.676,-0.42,-0.09,-0.33,0.54
0.686,-0.12,0.27,-0.19,0.35
0.696,1.15,0.59,0.98,1.62
0.706,1.59,0.88,-0.45,1.87
0.716,0.50,0.66,-0.36,0.91
0.726,-0.60,0.36,0.37,0.79
0.736,-2.23,0.18,-0.31,2.26
0.746,-2.25,-0.08,-0.57,2.32
0.756,-0.30,-0.00,-0.62,0.69
0.766,0.40,-0.33,0.19,0.55
0.776,0.95,-0.32,0.42,1.09
0.786,0.81,-0.05,0.22,0.84
0.796,-0.54,-0.29,-0.56,0.83
0.807,-0.81,0.15,-0.22,0.85
0.817,0.05,0.39,0.59,0.71
0.827,1.30,0.70,0.18,1.49
0.837,1.38,0.60,-0.20,1.52
0.847,0.64,0.50,-0.40,0.91
0.857,-0.71,-0.15,0.35,0.81
0.867,-2.21,-0.03,-0.04,2.21
0.877,-2.58,-0.45,-0.83,2.74
0.887,-0.13,0.86,-0.43,0.97
