time,ax,ay,az,atotal
0.000,-1.17,-0.08,0.99,1.53
0.010,-0.51,-0.52,0.52,0.90
0.020,0.53,0.72,0.50,1.03
0.030,1.34,0.85,-1.22,2.01
0.040,0.98,0.40,-0.89,1.38
0.050,0.42,0.71,0.68,1.07
0.061,-1.44,0.04,0.97,1.74
0.071,-2.44,0.04,-0.45,2.48
0.081,-1.83,-0.46,-1.47,2.39
0.091,0.01,-0.01,-0.70,0.70
0.101,0.72,-0.15,0.76,1.06
0.111,0.93,-0.43,0.66,1.22
0.121,0.20,-0.14,0.24,0.34
0.131,-0.33,0.03,-0.63,0.71
0.141,-0.72,-0.46,-0.71,1.11
0.151,0.43,0.59,0.86,1.12
0.161,1.54,0.58,0.34,1.68
0.172,0.71,0.47,-0.52,1.00
0.182,0.37,0.97,0.26,1.07
0.192,-1.45,-0.04,-0.56,1.55
0.202,-2.47,0.27,-0.02,2.48
0.212,-1.70,-0.12,-0.74,1.86
0.222,-0.08,-0.69,-0.51,0.86
0.232,1.00,0.09,0.79,1.28
0.242,0.87,-0.70,-0.05,1.11
0.252,-0.09,-0.22,0.25,0.35
0.262,-0.52,0.15,-0.30,0.62
0.272,-0.42,-0.01,-0.41,0.59
0.282,0.87,1.06,0.89,1.63
0.293,1.59,0.62,-0.38,1.75
0.303,0.86,0.50,-0.48,1.10
0.313,0.03,0.70,0.86,1.10
0.323,-2.58,-0.65,-0.57,2.72
0.333,-2.74,0.42,-0.43,2.80
0.343,-0.55,-0.03,-0.85,1.01
0.353,0.16,-0.60,-0.29,0.69
0.363,1.11,0.21,1.09,1.57
0.373,1.00,-0.75,-0.13,1.25
0.383,-0.47,0.02,0.10,0.48
0.393,-0.95,-0.28,-0.60,1.16
0.404,-0.01,0.13,0.01,0.13
0.414,1.38,1.40,0.94,2.18
0.424,1.31,0.63,-0.76,1.64
0.434,0.56,0.82,-0.09,1.00
0.444,-0.67,0.28,0.25,0.77
0.454,-2.78,-0.86,-0.33,2.93
