time,ax,ay,az,atotal
0.000,1.19,0.72,3.70,3.95
0.010,0.27,0.22,1.05,1.11
0.020,-0.79,-0.26,-0.06,0.84
0.030,-2.24,0.05,-1.80,2.87
0.040,-1.39,0.34,-2.68,3.04
0.050,-0.18,0.12,0.07,0.23
0.060,0.35,0.32,2.65,2.70
0.070,1.10,0.23,-0.43,1.21
0.081,0.14,-0.66,0.20,0.70
0.091,-0.52,-0.19,-1.27,1.39
0.101,-0.58,-1.45,-0.41,1.62
0.111,0.00,-0.28,0.80,0.85
0.121,1.42,0.43,1.47,2.09
0.131,1.67,0.82,-0.37,1.90
0.141,0.44,1.13,-1.23,1.73
0.151,-0.93,0.74,-0.19,1.20
0.161,-2.55,0.59,0.09,2.62
0.171,-2.07,0.24,-0.01,2.08
0.181,-0.30,-0.67,-0.72,1.03
0.191,0.95,-0.26,0.03,0.99
0.202,1.19,-0.57,0.35,1.36
0.212,0.15,-0.72,0.26,0.79
0.222,-0.54,-0.49,-0.22,0.76
0.232,-0.83,-0.79,-0.38,1.21
0.242,-0.29,0.23,-0.04,0.37
0.252,0.89,0.11,0.56,1.06
0.262,2.24,1.21,0.27,2.56
0.272,1.00,0.86,-0.66,1.48
0.282,-0.98,0.38,0.15,1.07
0.292,-2.27,1.11,-0.07,2.53
0.302,-2.36,-0.28,-1.06,2.60
0.313,-0.40,-0.06,-0.08,0.41
0.323,0.53,-0.31,0.12,0.63
0.333,0.99,-0.92,0.03,1.36
0.343,0.64,-0.10,0.66,0.93
0.353,-0.22,-0.82,-0.56,1.02
0.363,-0.40,-0.99,-0.39,1.13
0.373,-0.29,-0.28,0.33,0.52
0.383,0.97,0.97,1.17,1.80
0.393,1.30,1.29,-0.74,1.97
0.403,0.34,0.87,-1.02,1.38
0.413,-0.64,1.38,0.57,1.63
0.423,-2.17,0.48,-0.10,2.23
0.433,-1.20,-0.72,-0.97,1.70
0.444,-0.00,-0.08,0.22,0.23
0.454,0.11,-0.79,0.19,0.82
0.464,0.40,-0.66,-0.06,0.78
0.474,0.19,-0.61,0.18,0.66
0.484,-0.50,-0.76,-0.50,1.04
0.494,-0.27,-0.37,0.11,0.47
0.504,0.90,0.21,0.48,1.04
0.514,1.58,1.02,0.46,1.93
0.524,0.78,1.08,-0.71,1.51
0.534,-0.10,0.64,-0.35,0.73
0.544,-1.63,1.44,0.38,2.21
0.554,-2.23,0.36,-0.31,2.28
0.564,-0.98,-0.36,-1.10,1.52
0.575,0.42,-0.08,0.29,0.52
0.585,0.77,-1.12,0.11,1.36
0.595,0.39,-0.79,0.56,1.04
0.605,-0.21,-0.44,0.07,0.49
0.615,-0.40,-0.65,-0.73,1.06
0.625,-0.28,0.15,-0.09,0.33
0.635,0.98,0.65,0.72,1.38
0.645,1.59,1.16,0.17,1.97
0.655,0.46,0.74,-0.63,1.08
0.665,-0.25,0.53,0.02,0.59
0.676,-1.47,0.12,-0.05,1.47
0.686,-2.09,-0.10,-0.25,2.11
0.696,-0.74,0.08,-0.50,0.90
0.706,0.27,-0.30,-0.16,0.43
0.716,0.87,0.07,0.15,0.89
0.726,0.47,-0.45,0.21,0.68
0.736,-0.55,-0.68,-0.07,0.88
0.746,-0.57,-0.66,-0.36,0.94
0.756,0.01,-0.33,-0.19,0.38
0.766,1.02,0.38,1.07,1.53
0.776,2.02,1.01,0.05,2.26
0.786,0.50,0.77,-0.80,1.21
0.796,-0.36,1.06,0.00,1.12
0.807,-1.94,0.30,0.01,1.96
0.816,-2.50,-0.08,-0.42,2.54
0.827,-0.94,-0.55,-0.72,1.30
0.837,0.84,-0.00,0.25,0.88
0.847,1.02,-0.30,0.54,1.19
0.857,0.32,-0.64,-0.34,0.79
0.867,-0.32,-0.33,0.04,0.46
0.877,-0.63,-0.42,-0.52,0.92
0.887,-0.63,-0.91,0.35,1.16
0.897,1.17,0.93,0.63,1.62
0.907,2.19,0.94,0.22,2.40
0.917,0.76,0.74,-0.79,1.32
0.928,-0.16,1.12,0.09,1.13
0.938,-2.09,0.12,0.15,2.10
0.948,-2.56,0.16,-0.80,2.69
0.958,-1.28,-0.43,-0.42,1.41
0.968,0.58,-0.59,-0.26,0.87
0.978,1.05,-0.58,0.61,1.35
0.988,0.55,-0.51,0.38,0.84
0.998,0.01,-0.50,-0.43,0.66
1.008,-0.38,-0.08,-0.19,0.43
1.018,-0.18,0.00,-0.04,0.18
1.028,1.02,1.00,0.89,1.68
1.039,1.36,1.34,-0.40,1.95
1.048,0.56,0.44,-0.56,0.90
1.059,-0.34,0.87,0.25,0.97
1.069,-1.92,-0.17,0.21,1.94
1.079,-2.00,-0.05,-0.67,2.11
1.089,-0.73,-0.58,-0.79,1.22
1.099,0.19,-0.60,0.02,0.63
1.109,0.63,-0.28,0.61,0.92
1.119,0.65,-0.53,0.20,0.87
1.129,-0.14,-0.44,-0.43,0.63
1.139,-0.54,0.04,-0.06,0.54
1.149,0.43,0.21,-0.07,0.48
1.159,1.50,0.89,0.84,1.94
1.170,0.98,1.05,-0.45,1.50
1.180,0.29,0.68,-0.30,0.80
1.190,-0.80,0.66,0.14,1.05
1.200,-1.97,-0.47,-0.33,2.05
1.210,-1.87,-0.26,-0.32,1.92
1.220,-0.38,-0.46,-0.59,0.84
1.230,0.47,-0.73,0.18,0.88
1.240,0.68,-0.01,0.47,0.82
1.250,0.31,-0.17,0.17,0.39
1.260,-0.19,0.13,-0.59,0.63
1.270,-0.78,-0.49,-0.35,0.99
1.280,0.39,0.02,0.33,0.51
1.291,1.89,1.11,0.98,2.40
1.300,1.07,0.51,-0.56,1.31
1.311,0.06,0.50,-0.25,0.56
1.321,-0.75,0.46,0.05,0.88
1.331,-2.07,-0.32,-0.48,2.15
1.341,-1.71,0.14,0.04,1.72
1.351,-0.43,-0.46,-0.78,1.00
1.361,0.54,0.01,0.22,0.58
1.371,0.84,-0.08,0.17,0.86
1.381,0.15,-0.77,0.09,0.79
1.391,-0.46,-0.15,0.02,0.48
1.401,-0.19,-0.56,-0.53,0.80
1.412,0.53,0.55,0.63,0.99
1.422,1.42,0.74,0.63,1.72
1.432,0.85,0.55,-0.92,1.37
1.442,0.08,0.95,-0.06,0.96
1.452,-1.22,0.19,0.15,1.25
1.462,-2.50,-0.33,-0.14,2.53
1.472,-1.63,-0.21,-0.82,1.84
1.482,0.24,0.01,-0.14,0.28
1.492,0.78,-0.31,0.20,0.87
1.502,0.78,-0.63,0.09,1.00
1.512,0.12,-0.20,0.38,0.45
1.522,-0.56,-0.46,-0.50,0.88
1.533,-0.87,-0.21,-0.24,0.93
1.543,0.60,0.35,0.58,0.91
1.553,2.13,1.43,0.38,2.59
1.563,1.05,0.73,-0.54,1.39
1.573,0.10,0.60,-0.27,0.66
1.583,-1.34,0.05,0.20,1.36
1.593,-2.81,-0.54,-0.12,2.87
1.603,-1.75,-0.36,-0.76,1.94
1.613,0.32,-0.23,-0.24,0.47
1.623,0.90,0.26,0.44,1.03
1.633,0.94,-0.63,0.00,1.13
1.643,0.31,-0.04,0.11,0.33
1.654,-0.45,-0.08,-0.07,0.46
1.664,-0.76,-0.76,-0.50,1.18
1.674,0.18,0.67,0.80,1.06
1.684,1.91,1.13,0.44,2.26
1.694,1.03,0.89,-1.15,1.78
1.704,-0.02,0.51,0.38,0.63
1.714,-1.17,-0.13,-0.18,1.19
1.724,-2.19,-0.50,-0.03,2.25
1.734,-1.50,-0.23,-0.53,1.61
1.744,-0.33,-0.82,-0.56,1.04
1.755,0.91,0.75,0.65,1.34
1.764,0.82,-0.11,-0.05,0.83
1.775,0.01,-0.30,-0.15,0.33
1.785,-0.19,0.17,0.04,0.26
1.795,0.11,-0.67,-0.30,0.74
1.805,0.57,0.32,0.62,0.91
1.815,1.28,0.69,0.58,1.57
1.825,0.49,0.72,-1.08,1.39
1.835,-0.26,0.84,0.22,0.90
1.845,-1.20,-0.15,-0.16,1.22
1.855,-2.12,-0.56,-0.15,2.20
1.865,-1.00,0.28,-0.47,1.14
1.875,0.09,-0.70,-0.48,0.85
1.886,0.27,-0.27,0.51,0.64
1.896,0.65,0.00,0.37,0.75
