time,ax,ay,az,atotal
0.000,-2.40,-0.15,1.47,2.82
0.010,-1.00,0.54,1.92,2.23
0.020,-0.00,-0.89,1.16,1.46
0.030,0.73,0.40,0.39,0.92
0.040,0.35,-1.37,-2.26,2.67
0.050,-0.02,-0.28,-0.77,0.83
0.060,-0.37,-0.03,0.71,0.81
0.071,-0.62,-0.69,0.96,1.34
0.081,0.80,0.77,0.84,1.39
0.091,1.75,0.76,-0.44,1.95
0.101,1.16,0.99,-1.75,2.32
0.111,-0.13,0.13,0.37,0.41
0.121,-1.60,-0.58,0.45,1.76
0.131,-1.90,-0.01,0.71,2.03
0.141,-0.71,0.30,-0.79,1.10
0.151,-0.19,-0.21,-1.27,1.30
0.161,0.63,0.42,0.22,0.79
0.171,0.97,-0.36,0.31,1.08
0.181,-0.41,-0.55,0.73,1.00
0.192,-0.75,-0.64,-0.38,1.05
0.202,-0.23,-0.73,-0.71,1.05
0.212,0.63,0.35,0.34,0.79
0.222,1.59,0.74,0.80,1.93
0.232,1.11,0.66,-0.47,1.38
0.242,0.48,0.72,-0.20,0.89
0.252,-1.16,0.10,-0.04,1.16
0.262,-2.67,-0.20,-0.25,2.69
0.272,-1.49,-0.25,-0.47,1.58
0.282,-0.08,-0.41,-0.44,0.60
0.292,0.98,0.25,0.50,1.12
0.302,0.95,-0.65,0.08,1.15
0.312,0.11,-0.43,-0.01,0.45
0.323,-0.66,-0.46,-0.16,0.82
0.333,-0.94,-0.68,-0.43,1.24
0.343,-0.15,0.02,0.43,0.46
0.353,1.45,0.65,0.50,1.67
0.363,2.25,1.06,-0.28,2.50
0.373,0.50,0.48,-0.52,0.87
0.383,-0.60,0.48,0.38,0.86
0.393,-2.70,0.07,-0.10,2.70
0.403,-2.50,-0.44,-0.85,2.68
0.413,0.09,-0.05,-0.50,0.51
0.423,0.50,-1.01,-0.04,1.13
0.434,1.62,0.06,1.04,1.93
0.443,0.34,-0.75,0.09,0.82
0.454,-0.27,-0.31,-0.62,0.74
0.464,-0.63,-0.58,-0.38,0.94
0.474,-0.51,-0.27,0.50,0.76
0.484,1.41,1.48,0.76,2.18
0.494,1.53,0.54,-0.98,1.89
0.504,0.79,1.18,-0.10,1.42
0.514,-1.21,0.37,0.54,1.38
0.524,-2.31,0.19,-0.60,2.40
0.535,-1.53,-0.57,-0.95,1.89
0.544,-0.33,-0.93,0.04,0.98
0.555,0.42,-0.66,0.34,0.85
0.565,1.45,-0.24,0.49,1.55
0.575,0.14,-0.59,-0.06,0.61
0.585,-0.79,-0.12,-0.44,0.91
0.595,-0.01,-0.04,-0.17,0.18
0.605,1.05,0.68,0.70,1.43
0.615,1.11,1.06,0.07,1.53
0.625,0.83,0.46,-0.60,1.13
0.635,-0.02,0.64,0.01,0.64
0.645,-1.72,0.23,0.50,1.80
0.655,-2.42,-0.24,-0.92,2.60
0.666,-1.07,-0.52,-0.80,1.43
0.676,0.54,-0.29,0.05,0.62
0.686,0.73,-0.77,0.45,1.15
0.696,0.64,-0.45,0.67,1.03
0.706,0.28,-0.12,-0.26,0.40
0.716,-0.57,0.08,-0.71,0.91
0.726,-0.43,-0.03,0.02,0.43
0.736,1.18,0.65,0.76,1.55
0.746,1.41,0.88,-0.10,1.66
0.756,0.46,0.33,-0.78,0.96
0.766,-0.58,-0.63,0.75,1.14
0.776,-1.03,0.45,-0.34,1.18
0.787,-1.96,-0.90,0.22,2.17
0.796,-0.67,0.76,-1.27,1.63
0.807,0.05,-0.02,0.15,0.16
0.817,0.80,0.59,-0.14,1.00
0.827,0.50,-0.67,0.47,0.96
0.837,-0.24,-0.93,0.05,0.96
0.847,-0.27,-0.38,-0.26,0.53
0.857,-0.06,-0.60,0.10,0.61
0.867,1.23,0.78,0.62,1.59
0.877,1.30,0.85,-0.27,1.58
0.887,0.62,0.90,-0.59,1.25
0.897,-0.38,0.43,0.24,0.62
0.908,-2.16,-0.59,0.01,2.24
0.918,-2.21,-0.59,-0.53,2.34
0.928,-0.14,0.09,-0.53,0.55
0.938,0.36,-0.33,0.22,0.54
0.948,0.76,0.06,0.16,0.78
0.958,0.73,-0.28,-0.02,0.78
0.968,-0.41,-0.39,0.04,0.57
0.978,-1.02,-0.71,-0.56,1.36
0.988,-0.55,-0.82,0.18,1.00
0.998,1.95,1.09,1.14,2.51
1.008,1.84,0.74,-0.73,2.12
1.019,0.66,0.49,-0.50,0.96
1.029,-0.25,0.84,0.42,0.97
1.039,-2.66,-0.24,-0.02,2.67
1.049,-2.55,0.01,-0.77,2.66
1.059,-0.81,-0.76,-0.81,1.38
1.069,1.24,0.11,0.19,1.26
1.079,1.09,-0.60,0.82,1.49
1.089,0.57,-0.55,0.01,0.79
1.099,-0.08,-0.14,-0.15,0.22
1.109,-0.61,-0.29,-0.57,0.88
1.119,-0.41,-0.08,0.27,0.50
1.129,1.13,1.25,0.91,1.91
1.139,1.25,0.58,-1.04,1.72
1.150,0.97,0.91,-0.05,1.33
1.160,-0.35,0.33,0.48,0.68
1.170,-2.07,-0.52,-0.17,2.14
1.180,-1.94,-0.09,-0.86,2.13
1.190,-0.87,-1.07,-0.53,1.48
1.200,0.13,-0.26,0.21,0.36
1.210,0.99,-0.30,0.71,1.26
