time,ax,ay,az,atotal
0.000,-0.23,0.11,-2.59,2.60
0.010,-0.36,0.12,3.42,3.44
0.020,0.52,-1.01,2.99,3.20
0.030,1.11,0.37,1.50,1.91
0.041,0.99,0.30,-0.74,1.27
0.050,0.42,0.71,-3.43,3.52
0.061,-0.42,0.76,-0.50,1.00
0.071,-1.10,0.62,1.46,1.93
0.081,-2.12,-0.27,0.98,2.35
0.091,-0.88,-0.23,-0.58,1.07
0.101,0.30,0.13,-1.28,1.32
0.111,0.46,-1.03,-0.48,1.23
0.121,0.35,-0.13,0.99,1.06
0.131,-0.07,-0.52,0.64,0.82
0.141,-0.55,-0.28,-0.53,0.81
0.151,0.02,0.34,-0.14,0.37
0.161,1.21,0.26,0.03,1.24
0.172,1.72,1.09,0.12,2.04
0.182,0.47,0.48,0.03,0.67
0.192,-1.00,0.31,0.10,1.05
0.202,-2.08,0.34,-0.20,2.12
0.212,-1.96,-0.18,-0.98,2.20
0.222,-0.37,0.36,-0.46,0.69
0.232,0.52,-0.36,0.50,0.81
0.242,0.98,-0.50,0.01,1.10
0.252,0.54,-0.46,0.36,0.79
0.262,-0.86,-1.33,-0.10,1.59
0.273,-0.71,-0.25,-0.46,0.88
0.283,0.19,0.31,0.41,0.55
0.293,1.21,1.06,0.48,1.68
0.303,1.75,1.18,-0.39,2.15
0.313,0.87,1.00,-0.75,1.53
0.323,-0.60,0.44,-0.26,0.79
0.333,-2.54,-0.63,1.88,3.22
0.343,-2.16,0.54,-1.89,2.91
0.353,-0.85,-1.91,-0.54,2.16
0.363,1.04,1.60,0.35,1.94
0.373,0.50,-1.33,-0.01,1.42
0.383,0.68,-0.27,0.31,0.79
0.393,0.01,0.25,0.21,0.33
0.403,-1.05,-1.70,-0.74,2.13
0.414,-0.63,0.30,-0.01,0.70
0.424,1.34,0.59,1.14,1.85
0.434,1.86,1.62,-0.41,2.50
0.444,0.82,1.01,-0.55,1.41
0.454,-0.22,0.40,-0.12,0.48
0.464,-2.63,0.03,0.19,2.64
0.474,-2.55,-0.74,-0.67,2.73
0.484,-0.39,-0.43,-0.26,0.64
0.494,0.27,-0.48,0.25,0.60
0.504,1.64,0.09,0.01,1.64
0.515,0.68,0.09,0.43,0.81
0.525,-0.29,-0.43,-0.65,0.83
0.534,-0.51,-0.59,-0.18,0.80
0.545,-0.86,-0.37,0.24,0.97
0.555,1.10,0.50,1.07,1.61
0.565,1.67,1.37,-0.65,2.26
0.575,0.88,0.79,-0.36,1.24
0.585,-0.14,1.20,0.03,1.21
0.595,-2.82,0.06,-0.04,2.83
0.605,-2.21,-0.75,-1.12,2.59
0.615,-0.68,-0.73,0.23,1.02
0.626,0.07,-0.30,0.38,0.49
0.635,1.33,-0.50,-0.08,1.42
0.646,0.77,-0.02,0.08,0.78
0.656,-0.28,-0.38,-0.15,0.49
0.666,-0.50,-0.72,-0.54,1.02
0.676,-0.66,0.02,0.52,0.84
0.686,0.95,0.66,0.72,1.37
0.696,1.39,0.82,-0.24,1.63
0.706,0.89,0.84,-0.78,1.45
0.716,0.09,0.45,0.24,0.51
0.726,-2.24,0.61,0.29,2.34
0.736,-2.75,-0.38,-0.80,2.89
