time,ax,ay,az,atotal
0.000,1.21,0.02,2.00,2.34
0.010,0.66,-0.46,0.41,0.90
0.020,-0.13,-0.34,-1.61,1.65
0.030,-0.79,-0.20,-1.14,1.40
0.040,-0.77,-0.60,1.03,1.42
0.050,1.28,1.03,1.65,2.33
0.060,1.66,0.88,-0.91,2.08
0.071,1.18,1.07,-0.91,1.84
0.081,0.17,1.00,0.43,1.11
0.091,-2.51,-0.51,0.05,2.57
0.101,-2.60,-0.07,-0.64,2.68
0.111,-0.89,-0.48,-0.28,1.05
0.121,0.34,-0.41,-0.15,0.56
0.131,1.12,-0.72,0.32,1.36
0.141,1.17,-0.22,0.27,1.22
0.151,-0.19,-0.39,-0.17,0.47
0.161,-0.72,-0.09,-0.41,0.84
0.171,0.03,0.42,0.67,0.79
0.182,1.07,1.15,0.03,1.57
0.192,1.27,1.26,-0.48,1.85
0.202,0.84,0.76,-0.02,1.13
0.212,-0.56,0.14,0.18,0.61
0.222,-1.81,-0.29,0.03,1.83
0.232,-2.00,-0.25,-0.87,2.19
0.242,-0.76,-0.74,-0.68,1.26
0.252,0.46,-0.32,0.94,1.09
0.262,0.52,-0.64,-0.10,0.83
0.272,0.77,0.12,0.21,0.81
0.282,0.19,0.48,-0.56,0.76
0.293,-0.88,-0.83,-0.22,1.23
0.303,0.90,1.09,1.06,1.77
0.313,1.70,0.91,-0.12,1.94
0.323,0.67,0.41,-0.67,1.03
0.333,0.44,0.89,0.39,1.06
0.343,-1.35,-0.61,-0.20,1.49
0.353,-2.01,0.37,-0.07,2.04
0.363,-1.75,-0.45,-0.61,1.91
0.373,-0.37,-0.53,-0.65,0.92
0.383,0.87,0.24,0.83,1.23
0.393,1.02,-0.43,0.06,1.11
0.404,0.17,-0.22,0.09,0.29
0.413,-0.18,0.04,-0.49,0.52
0.424,-0.34,-0.05,-0.24,0.42
0.434,0.40,0.34,1.06,1.18
0.444,1.77,0.84,0.26,1.97
0.454,0.74,0.78,-1.01,1.47
0.464,-0.25,0.17,0.27,0.40
0.474,-1.37,-0.23,-0.22,1.40
0.484,-2.20,-0.18,0.07,2.21
0.494,-0.62,0.78,-0.68,1.21
0.504,0.11,-0.20,-0.26,0.35
0.514,0.54,0.25,0.32,0.68
0.525,1.10,-0.22,0.06,1.12
0.534,-0.16,-0.59,-0.25,0.66
0.545,-0.90,-0.91,0.16,1.29
0.555,-0.08,-0.20,-0.05,0.22
0.565,0.89,0.72,0.73,1.36
0.575,1.77,1.39,-0.02,2.24
0.585,0.75,0.88,-1.07,1.57
0.595,0.00,0.72,0.33,0.79
0.605,-1.43,-0.44,0.16,1.51
0.615,-2.81,-0.82,-0.23,2.94
0.625,-1.47,-0.25,-0.78,1.68
0.635,0.81,0.12,-0.17,0.84
0.646,0.85,0.06,0.63,1.06
0.656,0.77,-0.20,-0.08,0.80
0.666,0.13,-0.16,-0.33,0.39
0.676,-0.84,-0.29,-0.34,0.95
0.686,-0.69,-0.63,0.40,1.02
0.696,0.96,0.77,0.76,1.45
0.706,2.01,1.25,-0.39,2.40
0.716,1.21,0.99,-0.72,1.72
0.726,-0.14,0.35,0.39,0.54
0.736,-1.58,-0.25,0.13,1.61
0.746,-2.30,-0.55,-0.36,2.39
0.756,-1.29,-0.31,-0.80,1.55
0.766,-0.14,-0.01,0.24,0.28
0.777,0.80,-0.02,-0.01,0.80
0.787,1.09,0.01,0.33,1.14
0.797,0.29,-0.22,-0.26,0.44
0.807,-0.55,-0.50,-0.26,0.79
0.817,0.05,-0.13,0.05,0.15
0.827,0.21,-0.03,0.96,0.98
0.837,1.32,1.49,-0.08,1.99
0.847,0.95,0.85,-1.09,1.67
0.857,0.20,0.86,0.34,0.95
0.867,-1.11,-0.11,0.24,1.14
0.877,-2.14,-0.95,-0.19,2.35
0.887,-1.06,0.23,-1.02,1.49
0.897,-0.33,-1.16,-0.05,1.20
0.908,0.34,-0.28,0.76,0.88
0.918,0.89,0.51,0.10,1.03
0.928,0.42,0.05,-0.55,0.70
0.938,-0.48,-0.16,-0.49,0.70
0.948,0.26,0.04,0.86,0.90
0.958,1.62,0.54,0.55,1.80
0.968,0.82,0.50,-0.49,1.08
0.978,0.35,0.71,-0.17,0.81
0.988,-0.48,0.48,-0.17,0.71
0.998,-1.65,0.40,0.36,1.74
1.009,-1.99,-0.08,-0.70,2.11
1.019,-0.66,-0.32,-1.01,1.25
1.029,0.57,0.25,0.82,1.03
1.039,0.63,-1.32,0.08,1.47
1.049,0.41,-0.25,0.23,0.53
1.059,-0.03,0.03,-0.19,0.19
1.069,-0.33,-0.24,-0.81,0.91
1.079,-0.32,0.36,0.62,0.79
1.089,1.25,0.58,0.92,1.66
1.099,1.49,0.80,-0.81,1.87
1.109,0.62,0.73,-0.32,1.01
1.120,-0.85,-0.18,0.39,0.95
1.130,-2.34,-0.36,-0.31,2.39
1.140,-1.50,0.78,-0.18,1.70
1.150,-0.16,0.17,-0.70,0.74
1.160,0.57,0.12,0.21,0.62
1.170,1.35,0.36,0.13,1.40
1.180,0.23,-0.83,0.12,0.87
1.190,-1.11,-1.12,-0.13,1.59
1.200,-0.30,-0.69,-0.05,0.75
1.210,0.15,0.07,0.00,0.16
1.220,1.02,0.75,0.75,1.47
1.230,1.86,1.13,-0.17,2.18
1.241,0.84,1.17,-0.79,1.65
1.251,-0.67,0.43,0.37,0.88
1.261,-2.37,0.35,0.06,2.40
1.271,-2.34,-0.22,-0.41,2.39
1.281,-0.08,-0.44,-1.30,1.38
1.291,0.74,-0.15,1.05,1.29
1.301,1.09,-0.50,0.21,1.22
1.311,0.32,-0.73,-0.08,0.80
1.321,-0.38,-0.03,-0.42,0.56
1.331,-1.03,-0.85,-0.12,1.34
1.341,-0.41,0.15,0.12,0.45
1.351,0.66,0.05,0.66,0.94
1.361,2.47,1.37,0.13,2.82
1.372,1.35,0.90,-0.89,1.85
1.382,-0.27,0.37,0.31,0.55
1.392,-2.21,0.71,0.25,2.33
1.402,-3.06,-0.37,-0.85,3.20
1.412,-0.33,0.21,-0.49,0.63
1.422,0.30,-0.63,0.16,0.71
1.432,1.44,-0.33,0.40,1.53
1.442,0.63,-0.49,0.44,0.91
1.452,-0.27,-0.62,-0.82,1.07
1.462,-0.32,-0.72,-0.13,0.80
1.472,-0.62,-0.42,0.44,0.87
1.483,0.91,1.15,1.00,1.78
1.493,1.58,1.29,-0.79,2.19
1.503,0.69,1.00,-0.99,1.57
1.513,-0.30,1.13,0.86,1.45
1.523,-2.05,0.38,0.28,2.11
1.533,-1.46,-0.38,-1.55,2.16
1.543,-0.60,-0.44,0.17,0.76
1.553,-0.01,-0.57,0.19,0.61
1.563,0.82,-0.95,0.21,1.28
1.573,0.59,-0.24,0.25,0.68
1.583,-0.60,-0.57,-0.61,1.03
1.593,-0.32,-0.44,-0.15,0.57
1.604,0.84,0.57,0.81,1.30
1.613,1.26,0.79,0.47,1.56
1.624,1.32,1.41,-0.90,2.13
1.634,0.03,0.64,-0.19,0.67
1.644,-1.06,1.10,0.41,1.58
1.654,-2.41,-0.10,-0.08,2.41
1.664,-1.35,-0.38,-1.32,1.92
1.674,0.31,-0.05,0.13,0.34
1.684,0.64,-1.16,0.42,1.39
1.694,0.60,-0.40,0.61,0.94
1.704,-0.01,-0.32,-0.45,0.56
1.715,-0.24,-0.15,-0.70,0.75
1.725,-0.35,0.32,0.34,0.59
1.735,0.62,0.27,0.72,0.98
1.745,1.64,1.27,0.04,2.07
1.755,0.79,0.69,-0.81,1.32
1.765,-0.57,-0.30,-0.08,0.65
1.775,-0.92,0.00,0.40,1.01
1.785,-1.57,0.23,0.36,1.63
1.795,-1.10,0.03,-1.28,1.69
1.805,-0.13,0.36,-0.36,0.52
1.815,0.73,0.42,0.36,0.92
1.825,0.63,-0.53,0.31,0.88
1.835,-0.47,-1.12,0.03,1.22
1.845,-0.27,-0.61,-0.49,0.83
1.856,-0.09,-0.40,-0.05,0.41
1.866,0.77,0.41,1.05,1.37
1.876,1.90,1.22,0.15,2.26
1.886,0.80,1.13,-1.19,1.83
1.896,-0.10,0.91,0.09,0.92
1.906,-1.41,0.20,0.43,1.49
1.916,-2.51,-0.81,-0.26,2.65
1.926,-0.94,-0.15,-0.90,1.31
1.936,0.33,-0.05,0.06,0.34
1.946,0.70,-0.15,0.54,0.90
1.956,0.71,-0.28,-0.05,0.77
1.967,-0.14,-0.35,-0.21,0.43
1.977,-0.74,-0.38,-0.28,0.88
1.987,-0.60,-0.68,0.01,0.91
1.997,0.84,0.14,0.85,1.20
2.007,2.29,1.67,0.19,2.84
2.017,1.01,0.74,-0.85,1.52
2.027,-0.04,0.88,-0.04,0.88
2.037,-1.74,0.11,0.36,1.78
2.047,-2.55,-0.10,-0.54,2.61
2.057,-1.37,-0.45,-0.64,1.58
2.067,0.48,-0.37,-0.14,0.62
2.077,1.06,-0.42,0.65,1.31
2.088,0.56,-0.44,0.17,0.73
2.098,0.00,-0.16,-0.39,0.42
2.108,-0.36,-0.19,-0.25,0.47
2.118,-0.33,0.02,0.07,0.34
2.128,0.97,0.87,1.26,1.81
2.138,1.70,1.38,-0.84,2.34
2.148,0.65,0.71,-0.56,1.11
2.158,-0.18,0.75,0.14,0.78
2.168,-1.90,-0.59,1.23,2.35
2.178,-1.87,0.56,-1.68,2.57
2.188,-1.28,-1.67,-0.25,2.12
2.198,0.44,0.25,-0.09,0.51
2.209,0.51,-0.67,0.67,1.08
2.219,1.30,0.19,0.09,1.32
2.229,-0.57,-0.36,-0.47,0.82
2.239,-0.40,-0.06,-0.18,0.44
2.249,0.57,0.39,0.56,0.89
2.259,0.98,0.54,0.45,1.21
2.269,1.22,1.18,-0.42,1.75
2.279,0.48,0.48,-0.37,0.77
2.289,-0.58,0.40,0.18,0.73
2.299,-1.84,-0.33,0.20,1.88
2.309,-1.95,-0.22,-0.73,2.10
2.320,-0.46,-0.39,-0.66,0.89
2.330,0.34,-0.32,0.42,0.63
2.340,0.54,-0.13,0.46,0.73
