time,ax,ay,az,atotal
0.000,1.07,0.46,-1.16,1.64
0.010,0.69,-0.66,1.44,1.72
0.020,0.44,0.14,0.80,0.92
0.030,-0.58,-0.93,0.19,1.11
0.040,-0.42,-0.62,-0.59,0.95
0.050,1.26,1.15,-0.05,1.71
0.061,1.21,1.26,-0.23,1.76
0.071,0.57,0.55,0.04,0.80
0.081,0.03,0.49,0.62,0.79
0.091,-1.71,-0.61,-0.46,1.87
0.101,-2.02,-0.59,-0.79,2.25
0.111,-1.07,-0.23,-0.47,1.19
0.121,-0.11,-0.06,0.41,0.43
0.131,0.98,0.37,0.31,1.10
0.141,0.82,-0.03,-0.02,0.83
0.151,0.16,-0.11,-0.61,0.64
0.161,-0.48,-0.59,0.01,0.76
0.172,0.52,-0.21,0.86,1.03
0.181,1.16,0.42,0.39,1.29
0.192,0.58,0.83,-0.62,1.19
0.202,0.46,1.21,-0.22,1.32
0.212,-0.56,0.14,-0.32,0.66
0.222,-1.59,-0.75,0.25,1.77
0.232,-1.26,-0.36,-0.17,1.32
0.242,-0.85,-0.44,-0.51,1.09
0.252,-0.24,-0.29,-0.18,0.42
0.262,0.47,-0.16,0.14,0.52
0.272,0.96,0.58,0.37,1.18
0.282,0.63,0.28,-0.41,0.81
0.293,-0.56,-0.49,-0.13,0.76
0.303,0.12,0.11,0.40,0.43
0.313,1.33,0.22,0.33,1.39
0.323,0.64,0.27,-0.35,0.78
0.333,0.35,0.60,0.09,0.70
0.343,-0.46,0.11,-0.20,0.51
0.353,-1.62,-0.04,0.10,1.62
0.363,-1.72,0.23,-0.61,1.84
0.373,-0.57,0.03,-0.88,1.05
0.383,0.37,0.12,0.70,0.80
0.393,0.65,-0.63,-0.26,0.94
0.403,0.22,-0.62,0.66,0.93
0.414,0.25,-0.15,-0.35,0.45
0.424,-0.61,-0.65,-0.63,1.09
0.434,-0.01,0.18,0.85,0.87
0.444,1.38,0.66,0.41,1.59
0.454,1.20,0.99,-0.70,1.70
0.464,0.50,0.64,0.05,0.81
0.474,-0.82,0.23,-0.07,0.85
0.484,-2.31,-0.37,0.05,2.34
0.494,-1.39,0.23,-0.38,1.46
0.504,-0.27,-0.07,-0.71,0.76
0.514,0.52,-0.29,0.30,0.66
0.525,1.09,-0.05,0.21,1.11
0.534,0.31,-0.85,0.12,0.92
0.545,-0.79,-0.34,-0.12,0.87
0.555,-0.74,-1.09,-0.42,1.38
0.565,0.35,0.30,0.38,0.59
0.575,1.66,1.38,1.07,2.41
0.585,1.29,0.50,-1.08,1.75
0.595,0.89,0.97,-0.36,1.37
0.605,-0.61,0.44,0.50,0.90
0.615,-2.86,0.05,0.06,2.86
0.625,-2.28,-0.20,-0.88,2.45
0.635,-0.03,-0.46,-0.70,0.84
0.645,0.90,0.31,0.52,1.09
0.656,1.00,-0.86,0.33,1.36
0.666,0.57,-0.39,0.22,0.73
0.676,-0.12,-0.46,-0.28,0.55
0.686,-0.82,-0.79,-0.46,1.23
0.696,-1.06,-0.37,0.48,1.22
0.706,1.89,1.85,0.26,2.66
0.716,1.91,0.61,0.19,2.01
0.726,0.32,1.09,-0.78,1.38
0.736,-0.10,0.42,0.74,0.85
0.746,-2.34,-0.18,-0.45,2.39
0.756,-2.58,-0.30,-0.93,2.76
0.767,-0.36,-0.60,-0.28,0.75
0.777,0.60,0.00,0.30,0.67
0.787,1.26,-0.34,0.67,1.47
0.797,0.56,-0.66,-0.21,0.89
0.807,-0.10,-0.10,-0.29,0.33
0.817,-0.41,-0.61,-0.28,0.79
0.827,-0.27,-0.18,0.60,0.68
0.837,1.31,1.15,0.62,1.85
0.847,1.29,0.86,-0.86,1.77
0.857,0.37,1.08,-0.33,1.19
0.867,-1.01,0.74,0.73,1.45
0.877,-2.32,-0.15,-0.84,2.48
0.888,-1.53,-0.45,-0.74,1.76
0.898,-0.12,-0.47,0.21,0.53
0.908,0.39,-0.92,0.19,1.01
0.918,1.13,-0.33,0.55,1.30
0.928,0.61,0.17,-0.12,0.64
0.938,-0.34,-0.13,-0.66,0.75
0.948,-0.11,-0.01,0.05,0.12
0.958,0.70,0.55,0.76,1.17
0.968,0.85,0.49,-0.05,0.98
0.978,0.85,0.78,-0.32,1.19
0.988,0.24,0.46,-0.20,0.56
0.998,-1.27,-0.31,0.20,1.32
1.009,-2.23,0.07,-0.25,2.24
1.019,-1.29,0.02,-0.71,1.47
1.029,0.18,0.18,-0.16,0.30
1.039,0.58,-0.74,0.06,0.94
1.049,0.74,-0.30,0.73,1.08
1.059,0.47,-0.15,-0.15,0.52
1.069,-0.72,-0.56,-0.58,1.08
1.079,-0.50,-0.21,0.21,0.58
1.089,0.90,0.39,0.50,1.10
1.099,1.46,1.15,0.08,1.86
1.109,0.93,0.62,-0.45,1.20
1.119,-0.09,0.15,-0.16,0.23
1.130,-1.07,-0.42,0.32,1.19
1.140,-1.97,-0.02,0.09,1.97
1.150,-1.26,0.26,-0.97,1.61
1.160,-0.16,-0.28,-0.49,0.59
1.170,0.44,0.29,0.46,0.70
1.180,1.10,-0.25,0.21,1.15
1.190,-0.03,-0.73,0.09,0.73
1.200,-0.44,-0.86,-0.36,1.03
1.210,-0.01,-0.40,-0.09,0.41
1.220,0.99,0.63,1.20,1.68
1.230,1.57,1.06,-0.58,1.98
1.241,0.82,1.00,-0.52,1.39
1.251,-0.37,0.67,0.21,0.79
1.261,-1.90,-0.16,0.03,1.91
1.271,-2.42,-0.09,-0.32,2.44
1.281,-0.71,0.03,-0.83,1.09
1.291,0.45,-0.42,-0.02,0.61
1.301,0.80,-0.40,0.48,1.01
1.311,0.78,-0.67,0.30,1.07
1.321,0.22,-0.30,-0.12,0.39
1.331,-1.03,-1.15,-0.39,1.60
1.341,-0.17,0.17,0.03,0.24
1.351,1.80,1.51,1.45,2.77
1.361,1.30,0.94,-1.46,2.17
1.372,0.32,0.66,-0.12,0.74
1.382,0.17,0.96,0.72,1.21
1.392,-1.88,-0.42,-0.23,1.94
1.402,-2.40,-0.21,-0.51,2.47
1.412,-1.09,-0.43,-1.08,1.60
1.422,0.35,-0.37,0.36,0.62
1.432,0.86,-0.40,0.55,1.09
1.442,0.80,-0.63,0.26,1.05
1.452,0.31,0.20,-0.12,0.38
1.462,-0.28,-0.17,-0.63,0.71
1.472,0.09,0.03,0.43,0.44
1.483,1.09,1.23,0.73,1.80
1.493,1.00,0.89,-1.06,1.71
1.503,0.24,0.31,0.63,0.74
1.513,-0.26,1.09,-0.13,1.13
1.523,-2.21,-1.74,-0.32,2.83
1.533,-1.78,0.05,-0.54,1.86
1.543,-0.54,-0.25,-0.38,0.70
1.553,-0.13,-0.78,0.21,0.82
1.563,1.49,0.87,0.53,1.80
1.573,1.00,-0.38,-0.19,1.08
1.583,-0.20,0.05,-0.33,0.39
1.593,-0.39,-0.21,0.18,0.47
1.604,0.16,-0.01,0.18,0.24
1.614,0.87,0.69,0.42,1.19
1.624,1.04,0.61,-0.48,1.30
1.634,0.64,0.62,-0.22,0.92
1.644,-0.37,0.34,0.41,0.65
1.654,-1.69,-0.43,0.01,1.74
1.664,-2.17,-0.16,-0.89,2.35
1.674,-0.56,0.06,-0.51,0.76
1.684,0.27,-0.52,0.11,0.60
1.694,0.40,-0.41,0.56,0.80
1.704,0.69,-0.26,0.18,0.76
1.715,-0.01,-0.36,-0.54,0.65
1.725,-0.40,-0.40,-0.04,0.57
1.735,0.35,-0.24,0.39,0.58
1.745,1.29,0.94,0.68,1.74
1.755,0.98,0.82,-0.80,1.51
1.765,0.42,0.98,-0.17,1.08
1.775,-0.67,0.16,0.13,0.70
1.785,-1.52,-0.24,-0.02,1.53
1.795,-1.45,0.27,-0.05,1.48
1.805,-1.31,-1.31,-1.15,2.18
1.815,0.49,0.12,0.05,0.50
1.825,0.71,-0.68,0.62,1.16
1.835,0.32,-0.45,0.19,0.58
1.846,0.10,0.14,-0.02,0.18
1.856,-0.22,-0.26,-0.38,0.51
1.866,0.93,0.86,0.37,1.31
1.876,1.31,0.42,0.30,1.41
1.886,0.91,1.05,-0.47,1.47
1.896,-0.13,0.47,0.12,0.50
1.906,-1.57,-0.36,-0.12,1.62
1.916,-1.90,0.18,-0.03,1.91
1.926,-1.23,-0.31,-0.96,1.59
1.936,0.08,-0.12,-0.20,0.24
1.946,0.55,-0.33,0.42,0.76
1.957,0.75,-0.50,0.25,0.94
1.967,0.39,-0.09,-0.05,0.41
1.977,-0.81,-1.08,-0.25,1.37
1.987,-0.21,0.60,0.20,0.67
1.997,1.27,1.26,0.69,1.92
2.007,1.44,0.56,-0.97,1.82
2.017,0.85,0.89,0.15,1.24
2.027,-0.06,0.26,0.34,0.44
2.037,-1.55,-1.06,-0.34,1.91
2.047,-2.36,-0.38,0.12,2.39
2.057,-1.34,-0.13,-0.95,1.65
2.068,0.45,0.48,-0.28,0.71
2.078,0.67,0.32,0.56,0.93
2.088,0.96,-0.11,-0.16,0.98
2.098,0.31,0.01,0.15,0.34
2.108,-0.56,-0.79,-0.42,1.06
2.118,-0.48,-1.04,0.24,1.17
2.128,1.35,1.06,1.02,2.00
2.138,1.54,1.12,-0.56,1.99
2.148,0.40,0.86,-0.61,1.13
2.158,-0.26,0.81,0.15,0.87
2.168,-1.60,-0.86,-0.24,1.83
2.178,-2.05,-0.93,-0.02,2.26
2.189,-0.79,-0.01,-0.20,0.81
2.198,-0.09,-0.35,-0.48,0.60
2.209,0.94,0.70,0.46,1.25
2.219,1.13,0.33,-0.29,1.21
2.229,-0.15,-0.37,0.04,0.41
2.239,-0.64,-0.39,-0.14,0.76
2.249,0.01,-0.74,0.10,0.75
2.259,0.83,-0.01,0.84,1.18
2.269,1.46,1.04,-0.12,1.80
2.279,0.51,0.91,-0.85,1.34
2.289,0.10,0.92,0.36,0.99
2.299,-1.04,-0.24,-0.16,1.08
2.310,-2.19,-1.00,-0.30,2.43
2.319,-0.79,0.23,-0.18,0.84
2.330,-0.18,-0.68,-0.65,0.96
2.340,-0.53,-0.66,0.58,1.03
2.350,1.14,0.69,0.32,1.37
2.360,0.46,-0.08,-0.63,0.79
2.370,-0.40,-0.21,0.05,0.45
2.380,0.12,-0.42,0.01,0.44
2.390,1.03,0.13,0.82,1.32
2.400,1.31,1.03,-0.09,1.67
2.410,0.01,0.05,-0.56,0.56
2.420,-0.14,0.91,-0.08,0.92
2.431,-0.98,0.02,0.27,1.01
2.441,-1.92,-0.22,-0.35,1.97
2.451,-0.75,-0.22,-0.66,1.02
2.461,0.19,-0.04,-0.17,0.25
2.471,0.30,-0.53,0.45,0.75
2.481,0.40,-0.47,0.31,0.69
2.491,0.14,0.03,-0.12,0.19
2.501,-0.48,-0.53,-0.63,0.95
2.511,0.18,0.12,0.35,0.41
2.521,1.13,0.38,0.80,1.44
2.531,1.37,0.87,-0.51,1.70
2.542,0.71,0.64,-0.06,0.96
2.552,-0.66,0.41,0.05,0.77
2.562,-2.26,-0.09,-0.05,2.26
2.572,-1.65,0.23,-0.60,1.77
2.582,-0.46,0.16,-0.57,0.75
2.592,0.27,-0.35,-0.04,0.45
2.602,1.08,-0.39,0.62,1.30
2.612,0.77,-0.32,0.17,0.85
2.622,-0.59,-1.18,-0.24,1.34
2.632,-1.03,-0.50,-0.38,1.20
2.642,0.38,0.50,0.38,0.73
2.652,1.19,0.87,0.57,1.58
2.663,1.43,1.15,-0.48,1.90
2.673,0.88,0.51,-0.45,1.11
2.683,-0.04,0.29,0.20,0.36
2.693,-2.24,0.05,0.60,2.32
2.703,-2.56,-0.60,-0.80,2.75
2.713,-0.23,-0.14,-1.15,1.19
2.723,0.26,0.45,0.68,0.85
2.733,0.80,-0.79,-0.02,1.13
2.743,0.83,-0.47,0.55,1.10
2.753,-0.09,-0.09,-0.17,0.22
2.763,-0.75,-1.21,-0.77,1.61
2.773,-0.46,-0.06,0.38,0.60
2.784,1.28,0.55,0.92,1.66
2.794,1.85,1.51,-0.12,2.39
2.804,0.70,1.22,-0.80,1.62
2.814,-0.65,0.16,0.10,0.68
2.824,-1.67,0.42,-0.38,1.76
2.834,-2.74,-1.05,0.01,2.94
2.844,-0.22,-0.06,-0.69,0.72
2.854,0.24,-0.75,0.38,0.87
2.864,1.48,-0.01,0.00,1.48
2.874,0.62,-0.20,0.43,0.78
2.884,-0.26,-0.26,-0.52,0.64
2.894,-0.29,-0.37,-0.25,0.53
2.905,-0.40,-0.20,0.45,0.63
2.915,1.07,0.71,0.61,1.42
2.925,1.62,1.08,-0.58,2.03
2.935,0.89,1.09,-0.16,1.41
2.945,-0.72,0.32,0.20,0.81
2.955,-2.59,-0.15,-0.42,2.63
2.965,-1.71,-0.23,-0.75,1.88
2.975,-0.77,-1.01,-0.13,1.28
2.985,0.43,0.02,0.88,0.98
2.995,1.34,-0.24,-0.40,1.42
3.005,0.53,0.12,-0.08,0.55
3.015,-0.46,-0.37,-0.02,0.59
3.026,-0.38,-1.01,-0.39,1.15
3.036,-0.09,0.12,0.55,0.57
3.046,1.31,0.63,1.02,1.77
3.056,1.39,1.02,-0.90,1.95
3.066,0.03,0.42,-0.64,0.76
3.076,-0.18,1.05,0.27,1.10
3.086,-2.09,0.10,0.32,2.11
3.096,-2.11,-0.52,-0.80,2.31
3.106,-0.12,0.19,-0.33,0.40
3.116,0.72,-0.59,-0.12,0.94
3.126,0.65,-0.53,0.65,1.06
3.136,0.16,-0.64,0.40,0.77
3.147,-0.34,-0.27,-0.87,0.97
3.157,-0.30,-0.41,0.16,0.53
3.167,0.70,0.41,0.20,0.83
3.177,1.55,1.03,0.81,2.03
3.187,1.03,1.11,-0.88,1.75
3.197,-0.30,0.30,-0.20,0.47
3.207,-0.59,0.41,0.28,0.77
3.217,-1.68,-0.44,0.01,1.74
3.227,-1.76,-0.01,-0.70,1.90
3.237,-0.53,-0.52,-0.70,1.02
3.247,0.37,-0.20,0.50,0.66
3.258,1.08,-0.15,0.38,1.16
3.267,0.23,-0.95,-0.04,0.98
3.278,-0.25,-0.34,-0.30,0.52
3.288,0.03,0.30,0.17,0.35
3.298,0.88,0.51,0.54,1.15
3.308,1.12,1.08,-0.18,1.57
3.318,0.81,0.78,-0.52,1.24
3.328,0.22,0.31,0.13,0.41
3.339,-1.34,-0.24,0.43,1.43
3.348,-2.51,-0.74,-0.32,2.63
3.358,-0.92,0.16,-1.05,1.40
3.368,-0.02,0.36,-0.00,0.36
3.379,0.45,-0.38,0.16,0.61
3.389,0.86,-0.16,0.36,0.94
3.399,0.36,-0.45,0.14,0.59
3.409,-0.54,-0.86,-0.64,1.20
3.419,-0.33,-0.44,0.30,0.63
3.429,1.51,1.02,1.08,2.12
3.439,1.39,1.10,-0.75,1.92
3.449,0.46,0.96,-0.44,1.16
3.459,-0.23,0.76,0.26,0.84
3.470,-1.73,-0.57,-0.12,1.83
3.479,-2.26,-0.40,-0.09,2.30
3.490,-1.18,-0.54,-1.08,1.68
3.500,0.76,0.02,0.40,0.85
3.510,0.93,0.02,0.35,1.00
3.520,0.52,-0.51,-0.07,0.73
3.530,0.41,0.34,-0.00,0.54
3.540,-0.41,-0.28,-0.36,0.61
3.550,-0.68,-0.39,0.06,0.79
3.560,1.35,1.03,1.05,2.00
3.570,1.56,0.68,-0.76,1.86
3.580,0.73,0.91,-0.13,1.17
3.590,-0.36,0.05,0.26,0.45
3.600,-2.03,-0.71,-0.46,2.20
3.611,-2.35,0.15,0.05,2.36
3.620,-0.69,-0.40,-0.82,1.14
3.631,0.11,-0.19,0.12,0.25
3.641,1.05,0.26,0.29,1.12
3.651,0.95,-0.31,-0.11,1.01
3.661,-0.18,-0.12,0.14,0.27
3.671,-0.60,-0.97,-0.34,1.19
3.681,-0.38,-0.23,0.09,0.45
3.691,1.19,0.71,1.12,1.78
3.701,1.35,0.70,-0.87,1.75
3.712,0.62,0.83,-0.29,1.08
3.721,0.11,0.80,0.34,0.88
3.731,-1.49,-0.19,-0.14,1.50
3.741,-2.22,-0.51,-0.27,2.29
3.752,-0.90,-0.13,-0.82,1.22
3.762,0.04,-0.70,-0.10,0.71
3.772,0.52,-0.05,0.81,0.96
3.782,0.56,-0.60,-0.12,0.83
3.792,0.17,-0.14,-0.19,0.29
3.802,-0.30,0.10,-0.12,0.34
3.812,0.33,-0.34,0.11,0.49
3.822,1.54,1.23,0.98,2.20
3.832,1.08,0.87,-0.74,1.57
3.843,-0.02,0.37,-0.48,0.60
3.853,-0.59,0.68,0.58,1.08
3.863,-1.74,-0.83,-0.49,1.98
3.873,-1.45,0.17,0.01,1.46
3.883,-0.79,-0.44,-0.87,1.26
3.893,0.30,-0.70,-0.19,0.79
3.903,0.91,0.23,0.94,1.33
3.913,0.24,-1.02,-0.17,1.06
3.923,-0.48,-0.07,-0.09,0.49
3.933,0.19,0.42,-0.23,0.52
3.943,0.47,-0.09,0.20,0.52
3.953,1.43,1.21,0.65,1.98
3.963,1.25,0.73,-0.65,1.59
3.974,0.03,0.21,-0.13,0.25
3.984,-1.20,-0.11,0.36,1.26
3.994,-2.10,-0.63,-0.36,2.22
4.004,-1.64,0.18,-0.39,1.69
4.014,-0.06,0.27,-0.57,0.63
4.024,0.35,-0.36,-0.04,0.50
4.034,0.91,0.17,0.55,1.08
4.044,0.51,-0.56,0.02,0.76
4.054,-0.51,-0.69,-0.23,0.88
4.064,-0.35,-0.01,0.27,0.44
4.075,0.95,0.66,0.32,1.20
4.085,1.27,1.10,-0.18,1.69
4.095,0.83,0.88,-0.37,1.27
4.105,0.18,0.55,0.08,0.58
4.115,-1.32,-0.89,0.04,1.59
4.125,-1.69,-0.76,-0.16,1.86
4.135,-1.56,-0.20,-0.18,1.59
4.145,0.09,0.49,-0.47,0.69
4.155,0.61,0.47,0.03,0.77
4.165,0.58,0.09,-0.04,0.59
4.175,0.43,-0.04,0.14,0.46
4.185,-0.28,-0.53,-0.28,0.66
4.196,-0.78,-1.42,0.18,1.63
4.205,0.80,0.29,0.89,1.23
4.215,1.86,1.10,-0.18,2.16
4.226,0.88,1.20,-0.66,1.62
4.236,0.19,0.76,0.00,0.78
4.246,-1.36,-0.20,-0.29,1.41
4.256,-2.10,-0.69,0.18,2.22
4.266,-0.99,-0.34,-0.32,1.10
4.276,-0.81,-0.55,-0.50,1.10
4.286,0.59,0.47,0.41,0.86
4.296,0.95,0.06,-0.24,0.98
4.306,0.15,-0.12,0.06,0.20
4.316,-0.13,-0.53,-0.14,0.56
4.327,-0.38,-0.85,-0.18,0.95
4.337,0.53,0.12,0.96,1.10
4.347,1.21,0.59,0.26,1.37
4.357,0.80,1.09,-1.08,1.73
4.367,0.49,1.26,0.08,1.36
4.377,-0.38,0.47,0.20,0.63
4.387,-2.02,-1.06,-0.20,2.29
4.397,-1.34,-0.34,-0.39,1.44
4.407,-0.33,-0.47,-0.61,0.84
4.417,-0.68,-0.87,0.43,1.18
4.428,0.80,0.03,0.28,0.85
4.437,0.43,0.01,-0.16,0.46
4.448,0.15,0.28,-0.34,0.46
4.458,0.08,-0.47,0.05,0.48
4.468,0.93,0.60,0.87,1.41
4.478,1.59,0.69,-0.04,1.74
4.488,0.06,0.33,-0.91,0.97
4.498,-0.34,0.80,0.67,1.10
4.508,-0.96,-0.02,-0.42,1.05
4.518,-1.72,-0.17,-0.07,1.73
4.528,-1.11,-0.02,-0.62,1.27
4.538,0.00,-0.34,-0.40,0.52
4.548,0.88,0.14,0.56,1.05
4.558,0.24,-1.34,0.09,1.36
4.569,-0.05,0.24,0.16,0.29
4.579,-0.20,0.14,-0.21,0.32
4.589,-0.27,-0.46,-0.55,0.77
4.599,0.97,0.74,1.03,1.60
4.609,1.98,0.86,0.07,2.16
4.619,0.64,0.20,-0.88,1.11
4.629,-0.22,0.54,0.61,0.84
4.639,-1.83,-0.16,-0.06,1.84
4.649,-2.38,-0.01,-0.63,2.46
4.659,-0.69,0.62,-0.56,1.08
4.669,0.18,-0.42,-0.30,0.55
4.680,0.82,-0.20,0.64,1.06
4.690,0.85,-0.49,0.24,1.01
4.700,-0.46,-1.02,-0.34,1.17
4.710,-0.81,-0.66,-0.04,1.04
4.720,0.20,-0.13,-0.11,0.26
4.730,0.88,0.98,0.93,1.62
4.740,1.78,1.42,-0.15,2.28
4.750,0.79,0.86,-1.04,1.57
4.760,0.01,0.74,0.39,0.83
4.770,-1.63,-0.22,0.00,1.64
4.780,-2.77,-0.73,0.14,2.87
4.791,-0.74,-0.18,-1.36,1.56
4.801,0.68,-0.33,0.49,0.90
4.811,1.20,0.34,0.36,1.30
4.820,0.17,-0.86,0.07,0.88
4.831,-0.08,0.05,-0.30,0.31
4.841,-0.77,-0.59,-0.29,1.01
4.851,-0.59,-0.64,-0.08,0.88
4.861,1.19,0.47,0.85,1.53
4.871,2.05,1.14,0.35,2.37
4.881,0.75,1.02,-0.85,1.53
4.891,-0.18,0.65,-0.26,0.72
4.901,-1.67,0.12,0.07,1.68
4.912,-2.41,-0.21,-0.06,2.42
4.922,-1.11,-0.40,-0.69,1.37
4.932,0.50,-0.15,0.36,0.63
4.942,0.82,-0.77,-0.62,1.28
4.952,0.70,-0.16,0.93,1.18
4.962,0.13,-0.40,-0.16,0.45
4.972,-0.67,-0.79,-0.66,1.23
4.982,-0.47,-0.20,0.23,0.56
4.992,0.75,0.30,0.66,1.04
5.002,1.53,1.18,0.03,1.93
5.012,1.20,0.89,-0.85,1.72
5.023,0.19,0.88,0.38,0.98
5.032,-1.92,0.44,0.22,1.99
5.043,-2.06,-0.11,-0.91,2.25
5.053,-1.10,-0.79,-0.92,1.64
5.063,0.04,-0.13,0.90,0.91
5.073,0.60,-1.00,-0.28,1.20
5.083,0.44,-0.75,0.49,1.00
5.093,0.50,0.28,-0.19,0.61
5.103,-0.59,-1.33,-0.68,1.61
5.113,0.45,0.77,0.61,1.08
5.123,1.39,0.89,0.85,1.86
5.133,0.84,0.95,-0.78,1.49
5.143,0.25,1.11,-0.31,1.18
5.154,-0.47,0.56,0.05,0.73
5.164,-1.66,0.03,0.05,1.66
5.174,-1.73,-0.34,-0.34,1.80
5.184,-0.57,-0.53,-0.88,1.18
5.194,0.53,-0.66,0.29,0.90
5.204,0.44,-0.83,0.46,1.04
5.214,-0.10,-0.39,0.21,0.46
5.224,0.24,0.04,-0.31,0.39
5.234,-0.12,0.03,-0.45,0.47
5.244,0.38,0.59,0.59,0.91
5.254,1.70,1.38,0.50,2.24
5.264,0.79,0.62,-0.93,1.36
5.275,0.22,0.36,-0.01,0.43
5.285,-0.38,-0.21,0.48,0.65
5.295,-1.73,-0.79,-0.26,1.92
5.305,-1.94,0.18,-0.01,1.95
5.315,-0.73,-0.32,-1.49,1.69
5.325,0.17,0.08,0.37,0.41
5.335,0.82,0.11,0.62,1.03
5.345,0.61,-0.93,-0.19,1.13
5.355,-0.16,-0.11,0.01,0.19
5.365,0.08,0.03,-0.06,0.10
5.376,0.51,-0.11,0.30,0.60
5.385,1.28,1.26,0.35,1.83
5.396,0.89,0.74,-0.80,1.41
5.406,0.09,0.55,0.02,0.56
5.416,-1.26,-0.61,0.41,1.46
5.426,-2.26,-0.77,-0.52,2.44
5.436,-1.13,0.30,-0.16,1.18
5.446,0.33,0.41,-0.51,0.73
5.456,0.53,-0.06,-0.08,0.54
5.466,0.88,0.15,0.56,1.06
5.476,0.41,-0.04,-0.08,0.42
5.486,-0.91,-1.08,-0.46,1.49
5.496,-0.66,-0.82,0.06,1.06
5.506,1.07,0.36,0.77,1.37
