time,ax,ay,az,atotal
0.000,0.24,0.13,2.80,2.81
0.010,-0.75,-0.24,0.72,1.07
0.020,-2.27,0.22,-0.61,2.36
0.030,-1.89,-0.24,-3.69,4.15
0.040,-0.19,-0.58,-0.53,0.81
0.050,0.67,0.20,1.96,2.08
0.061,0.78,-1.38,0.96,1.85
0.071,0.40,0.01,0.49,0.63
0.081,-0.12,0.37,-1.31,1.37
0.091,0.04,0.12,-1.03,1.03
0.101,1.20,1.21,1.41,2.21
0.111,1.15,0.48,-0.24,1.27
0.121,0.69,0.48,0.32,0.90
0.131,-0.30,0.34,-0.04,0.46
0.141,-2.56,-1.24,-0.96,3.00
0.151,-1.80,0.50,0.19,1.88
0.161,-0.70,-0.07,-0.85,1.10
0.171,-0.06,-0.49,0.19,0.53
0.182,1.14,0.60,0.49,1.38
0.192,0.99,-0.78,-0.35,1.31
0.202,0.08,0.09,0.12,0.17
0.212,-0.63,-0.44,0.09,0.77
0.222,0.29,0.38,0.25,0.54
0.232,1.13,1.27,0.21,1.71
0.242,0.88,0.46,-0.94,1.37
0.252,0.53,0.72,0.25,0.93
0.262,-0.72,-0.36,0.33,0.87
0.272,-1.84,-0.86,-0.44,2.08
0.282,-2.19,-0.15,-0.21,2.20
0.293,-0.52,0.01,-0.82,0.97
0.302,0.46,0.15,0.40,0.62
0.313,1.10,0.55,0.25,1.26
0.323,0.79,-0.15,-0.34,0.87
0.333,-0.10,-0.12,-0.17,0.24
0.343,-0.72,-0.42,0.04,0.83
0.353,-0.01,-0.69,0.62,0.92
0.363,1.83,1.48,0.29,2.37
0.373,1.22,0.90,-0.72,1.68
0.383,0.30,0.50,-0.27,0.65
0.393,-0.90,-0.06,0.14,0.92
0.403,-2.17,-0.91,-0.21,2.37
0.413,-1.54,0.13,-0.03,1.55
0.423,-0.71,-0.08,-0.61,0.93
0.434,0.23,0.26,-0.16,0.38
0.444,1.40,0.40,0.20,1.47
0.454,0.95,-0.09,0.30,1.00
0.464,-0.62,-0.75,-0.35,1.03
0.474,-0.77,-0.80,-0.08,1.11
0.484,0.35,-0.28,0.30,0.54
0.494,0.74,0.29,0.63,1.01
0.504,1.25,1.44,-0.25,1.93
0.514,0.54,1.14,-0.77,1.48
0.525,-0.47,0.15,-0.07,0.50
0.535,-1.54,-0.52,0.25,1.65
0.545,-1.89,-0.82,-0.22,2.07
0.555,-0.55,0.04,-0.58,0.80
0.565,-0.25,-0.35,-0.08,0.43
0.575,0.48,0.01,0.14,0.50
0.585,1.04,0.50,0.17,1.17
0.595,0.30,-0.05,-0.34,0.45
0.605,-0.66,-0.93,-0.15,1.15
0.615,0.41,-0.10,0.70,0.82
0.625,1.53,0.76,0.36,1.75
0.635,0.49,0.50,-0.65,0.95
0.645,0.16,0.74,-0.16,0.77
0.656,-0.59,0.44,-0.11,0.75
0.666,-1.88,-0.17,0.11,1.89
0.676,-1.46,-0.02,-0.53,1.55
0.686,-0.34,-0.25,-0.68,0.81
0.696,0.22,-0.13,0.51,0.57
0.706,0.82,-0.58,-0.02,1.00
0.716,0.36,-0.15,0.52,0.65
0.726,-0.04,-0.01,-0.47,0.47
0.736,-0.36,-0.11,-0.45,0.59
0.746,0.03,0.11,0.75,0.75
0.756,1.46,0.79,0.11,1.66
0.766,1.47,0.73,-0.54,1.72
0.777,0.29,0.07,0.23,0.37
0.786,-1.49,-0.34,-0.18,1.53
0.797,-2.20,0.39,0.18,2.24
0.807,-1.35,0.68,-0.88,1.75
0.817,-0.38,-0.37,-0.75,0.92
0.827,0.83,0.45,0.68,1.16
0.837,1.10,-0.97,0.33,1.50
0.847,0.08,-0.29,-0.21,0.36
0.857,-0.56,-1.00,-0.03,1.15
0.867,-0.54,-0.40,-0.63,0.93
0.877,0.69,1.13,1.19,1.78
0.888,1.38,1.14,-0.07,1.79
0.898,0.93,0.80,-1.29,1.78
0.908,0.60,0.27,1.22,1.38
0.918,-0.69,0.78,-0.37,1.11
0.928,-3.10,-1.53,-0.12,3.46
0.938,-1.60,-0.18,-1.02,1.91
0.948,0.03,0.22,-0.13,0.26
0.958,0.65,-0.19,0.41,0.79
0.968,1.47,0.18,0.21,1.50
0.978,0.38,-0.22,-0.03,0.44
0.988,-0.54,-0.51,-0.48,0.88
0.998,-0.87,-0.62,0.06,1.07
1.009,-0.25,-0.28,0.38,0.53
1.019,2.09,0.92,0.77,2.41
1.029,1.84,1.31,-0.88,2.42
1.039,0.07,0.81,-0.07,0.81
1.049,-0.94,0.65,0.02,1.14
1.059,-2.75,-0.14,-0.18,2.76
1.069,-2.01,-0.33,-0.85,2.21
1.079,0.05,-0.29,-0.04,0.30
1.089,0.86,-0.58,0.29,1.08
1.099,1.46,0.06,0.51,1.55
1.109,0.31,-0.45,-0.18,0.57
1.119,-0.31,-0.41,-0.60,0.79
1.130,-0.78,-0.66,0.06,1.02
1.140,-0.44,-0.25,0.50,0.71
1.150,1.36,1.16,0.79,1.95
1.160,1.65,1.30,-1.03,2.34
1.170,0.74,1.17,-0.41,1.44
1.180,-0.95,0.37,0.78,1.28
1.190,-2.74,-0.11,-0.78,2.85
1.200,-1.81,-0.70,-0.61,2.03
1.210,-0.21,-0.42,0.37,0.60
1.220,0.17,-0.80,-0.29,0.87
1.230,1.12,-0.57,0.19,1.27
1.241,0.94,0.06,0.50,1.06
1.251,-0.42,-0.48,-0.65,0.91
1.261,-0.52,-0.21,-0.09,0.57
1.271,0.76,0.67,0.82,1.30
1.281,1.10,0.95,-0.11,1.46
1.291,0.88,0.89,-0.69,1.43
1.301,0.38,0.80,0.19,0.91
1.311,-1.54,0.29,0.11,1.57
1.321,-2.25,-0.31,-0.43,2.31
1.331,-1.20,-0.15,-0.80,1.45
1.341,-0.08,-0.39,0.04,0.40
1.351,0.78,-0.82,0.14,1.14
1.362,0.91,-0.25,0.69,1.17
1.372,0.24,-0.17,-0.18,0.35
1.382,-0.33,0.01,-0.67,0.75
1.392,-0.19,0.11,0.37,0.43
1.402,0.90,0.76,0.39,1.25
1.412,1.47,0.82,-0.25,1.71
1.422,0.82,0.41,-0.28,0.96
1.432,-0.66,-0.49,0.16,0.84
1.442,-1.71,-0.02,0.15,1.71
1.452,-1.94,0.31,-0.42,2.01
1.462,-1.05,-0.18,-1.04,1.49
1.472,0.21,0.54,0.18,0.61
1.483,1.04,-0.18,0.17,1.06
1.493,0.93,-0.52,0.25,1.09
1.503,-0.32,-0.65,0.24,0.77
1.513,-0.30,-0.76,-0.58,1.00
1.523,0.08,0.27,0.36,0.46
1.533,1.01,0.76,0.76,1.48
1.543,1.34,1.10,-1.01,2.01
1.553,0.65,1.01,0.04,1.20
1.563,-0.49,0.02,0.01,0.49
1.573,-2.37,-0.78,-0.15,2.50
1.583,-1.90,0.06,-0.07,1.90
1.593,-0.44,0.06,-0.80,0.92
1.603,0.39,0.02,0.07,0.39
1.614,0.96,0.21,0.38,1.05
1.624,0.76,-0.55,-0.15,0.95
1.634,-0.31,-0.54,0.03,0.62
1.644,-0.92,-1.11,-0.31,1.47
1.654,0.39,-0.03,0.64,0.75
1.664,2.12,1.65,0.80,2.80
1.674,1.02,0.96,-1.26,1.88
1.684,0.28,1.12,-0.23,1.18
1.694,-0.46,0.49,0.40,0.78
1.704,-2.68,-0.83,-0.23,2.81
1.715,-2.13,-0.42,-0.48,2.23
1.725,-0.11,-0.18,-0.48,0.52
1.734,0.75,-0.29,0.12,0.81
1.745,0.98,-0.14,0.56,1.14
1.755,0.73,0.08,-0.01,0.74
1.765,-0.45,-0.25,-0.40,0.65
1.775,-0.61,-0.43,-0.37,0.83
1.785,-0.35,-0.31,0.54,0.72
1.795,1.36,0.82,0.98,1.87
1.805,1.79,1.13,-1.09,2.38
1.815,0.58,0.83,0.05,1.02
1.825,-0.55,0.06,-0.07,0.55
1.835,-2.51,-0.30,-0.10,2.53
1.846,-2.06,0.07,-0.35,2.09
1.856,-0.88,-0.91,-0.59,1.39
1.866,0.32,-0.09,0.06,0.34
1.876,1.26,-0.31,0.31,1.33
1.886,1.41,-0.05,0.36,1.45
1.896,-0.29,-0.29,-0.29,0.50
1.906,-0.67,-0.27,-0.25,0.77
1.916,0.06,0.40,0.30,0.51
1.926,0.97,0.72,0.35,1.26
1.936,1.03,0.63,-0.66,1.38
1.946,0.76,0.53,0.33,0.98
