time,ax,ay,az,atotal
0.000,-0.18,0.09,-0.37,0.43
0.010,-0.30,-0.04,0.23,0.38
0.020,-0.18,0.02,0.19,0.26
0.031,-0.39,0.33,-0.07,0.52
0.041,-0.08,0.32,-0.11,0.35
0.051,0.07,0.04,-0.15,0.17
0.061,0.17,-0.09,-0.43,0.47
0.071,0.12,-0.46,0.76,0.90
0.081,0.21,-0.02,-1.11,1.13
0.091,-0.00,0.16,0.77,0.79
0.101,0.47,0.54,-0.45,0.84
0.111,0.15,0.20,0.09,0.27
0.121,0.35,0.02,-0.24,0.43
0.131,-0.35,-0.07,-0.02,0.36
0.141,-0.17,-0.06,0.11,0.21
0.151,-0.35,0.21,0.30,0.51
0.162,-0.35,0.40,-0.06,0.54
0.172,-0.09,0.23,-0.19,0.31
0.182,0.04,-0.11,-0.09,0.15
0.192,0.13,-0.09,-0.21,0.26
0.202,0.18,-0.24,-0.04,0.31
0.212,0.17,-0.25,-0.19,0.35
0.222,0.13,0.09,-0.09,0.18
0.232,0.30,0.42,0.20,0.55
0.242,0.41,0.44,-0.13,0.62
0.252,0.04,0.16,-0.14,0.22
0.262,-0.19,-0.04,-0.22,0.30
0.272,-0.29,-0.11,0.22,0.38
0.283,-0.21,0.20,0.22,0.36
0.293,-0.28,0.43,-0.02,0.51
0.303,-0.04,0.16,-0.19,0.25
0.313,0.05,-0.19,-0.12,0.23
0.323,0.10,-0.26,-0.09,0.30
0.333,0.08,-0.03,-0.32,0.33
0.343,0.23,-0.22,0.19,0.37
0.353,0.13,0.05,-0.38,0.41
0.363,0.25,0.26,0.38,0.52
0.373,0.49,0.48,-0.31,0.75
0.383,0.21,0.22,-0.01,0.30
0.393,-0.08,-0.08,-0.09,0.14
0.403,-0.45,-0.14,-0.11,0.48
0.414,-0.28,0.07,0.31,0.42
0.424,-0.34,0.62,-0.02,0.71
0.434,-0.10,0.28,-0.11,0.31
0.444,0.05,-0.24,-0.20,0.32
0.454,0.13,-0.27,-0.18,0.35
0.464,0.14,-0.11,-0.09,0.20
0.474,0.18,-0.07,-0.24,0.31
0.484,0.05,-0.05,0.03,0.07
0.494,0.36,0.22,0.00,0.42
0.504,0.44,0.34,0.03,0.56
0.514,0.28,0.38,-0.32,0.57
0.525,-0.11,0.06,-0.14,0.19
0.535,-0.42,-0.00,-0.07,0.42
0.545,-0.62,0.13,1.41,1.55
0.555,-0.03,0.33,-1.22,1.26
0.565,-0.34,0.15,0.13,0.39
0.575,0.48,-0.17,0.07,0.52
0.585,-0.03,-0.24,-0.33,0.41
0.595,0.14,-0.19,-0.13,0.27
0.605,0.01,0.02,0.00,0.02
0.615,0.08,-0.03,-0.13,0.16
0.625,0.34,0.19,-0.08,0.39
0.635,0.38,0.37,0.17,0.56
0.646,0.38,0.40,-0.27,0.61
0.656,-0.12,0.16,-0.08,0.21
0.666,-0.26,-0.08,0.03,0.27
0.676,-0.36,-0.07,0.33,0.50
0.686,-0.68,0.45,0.10,0.82
0.696,-0.04,0.40,-0.27,0.48
0.706,0.14,-0.21,-0.09,0.27
0.716,0.30,-0.37,-0.19,0.51
0.726,0.19,-0.29,-0.05,0.35
0.736,0.04,0.03,-0.26,0.27
0.746,0.03,0.16,-0.05,0.17
0.757,0.39,0.04,0.22,0.45
0.767,0.37,0.33,-0.28,0.57
0.777,0.25,0.31,-0.13,0.42
0.787,-0.06,0.21,0.02,0.21
0.797,-0.43,-0.06,0.08,0.44
0.807,-0.41,0.04,0.10,0.42
0.817,-0.34,0.36,0.08,0.50
0.827,0.00,0.34,-0.18,0.39
0.837,0.18,-0.11,-0.22,0.30
0.847,0.22,-0.45,-0.06,0.51
0.857,-0.03,-0.40,-0.13,0.42
0.868,0.09,-0.09,-0.31,0.34
0.878,0.15,0.29,0.12,0.35
0.888,0.27,0.19,0.04,0.34
0.898,0.47,0.15,-0.21,0.54
0.908,0.30,0.23,-0.05,0.38
0.918,-0.13,0.18,-0.22,0.31
0.928,-0.30,-0.06,0.20,0.37
0.938,-0.42,0.07,0.26,0.50
0.948,-0.41,0.47,-0.20,0.66
0.958,-0.15,0.15,0.09,0.23
0.968,0.17,-0.06,-0.45,0.49
0.979,0.16,-0.40,0.13,0.45
0.989,0.23,-0.28,-0.35,0.51
0.999,0.12,-0.15,0.00,0.19
1.009,0.13,0.24,-0.10,0.29
1.019,0.32,0.30,0.17,0.47
1.029,0.43,0.23,-0.17,0.52
1.039,0.16,0.21,-0.15,0.30
1.049,-0.11,0.07,-0.08,0.16
1.059,-0.47,0.20,0.16,0.53
1.069,-0.37,0.11,0.34,0.52
1.079,-0.27,0.35,-0.27,0.52
1.089,-0.04,0.07,-0.06,0.10
1.099,0.22,-0.16,-0.23,0.36
1.110,0.10,-0.27,-0.01,0.29
1.119,0.14,-0.27,-0.30,0.42
1.130,-0.01,-0.09,-0.03,0.10
1.140,0.33,0.30,-0.01,0.45
1.150,0.43,0.41,0.11,0.60
1.160,0.40,0.11,-0.17,0.44
1.170,0.01,0.08,-0.24,0.25
1.180,-0.26,-0.00,0.07,0.26
1.190,-0.38,0.23,0.25,0.51
1.200,-0.51,0.24,0.29,0.63
1.210,-0.14,0.37,-0.50,0.64
1.220,0.07,-0.07,0.21,0.23
1.231,0.28,-0.21,-0.32,0.47
1.241,-0.02,-0.14,-0.12,0.19
1.251,0.11,-0.28,-0.01,0.30
1.261,0.08,-0.12,-0.22,0.26
1.271,0.34,0.18,0.11,0.40
1.281,0.44,0.44,0.01,0.62
1.291,0.24,0.31,-0.27,0.47
1.301,-0.06,0.02,0.04,0.07
1.311,-0.36,-0.01,-0.13,0.38
1.321,-0.39,0.13,0.40,0.58
1.331,-0.31,0.50,-0.04,0.59
1.341,-0.07,0.16,-0.14,0.22
1.352,0.05,-0.25,-0.16,0.30
1.362,0.18,-0.31,-0.08,0.37
1.372,0.11,0.00,-0.17,0.20
1.382,0.08,-0.15,-0.13,0.22
1.392,0.04,-0.10,-0.17,0.20
1.402,0.34,0.18,0.17,0.42
1.412,0.45,0.48,-0.15,0.67
1.422,0.36,0.28,0.10,0.46
1.432,-0.03,0.03,-0.25,0.25
1.442,-0.35,-0.18,0.02,0.40
1.452,-0.36,0.14,0.34,0.51
1.463,-0.54,0.62,0.02,0.82
1.473,-0.16,0.21,-0.14,0.30
1.483,0.09,-0.19,-0.33,0.39
1.493,0.29,-0.42,0.15,0.53
1.503,0.16,-0.14,-0.29,0.36
1.513,0.08,-0.06,-0.20,0.22
1.523,0.17,-0.08,0.09,0.21
1.533,0.29,0.18,0.03,0.35
1.543,0.33,0.42,-0.09,0.54
1.553,0.32,0.41,-0.18,0.55
1.563,-0.15,-0.02,0.08,0.17
1.573,-0.33,-0.12,-0.03,0.35
1.583,-0.50,0.06,0.35,0.61
1.593,-0.34,0.58,-0.33,0.75
1.604,-0.06,0.17,0.09,0.20
