time,ax,ay,az,atotal
0.000,0.57,0.37,-0.70,0.98
0.010,0.20,0.18,0.18,0.32
0.020,-0.12,0.14,-0.49,0.52
0.030,-0.59,-0.13,0.33,0.68
0.040,-0.24,-0.52,1.36,1.47
0.050,-0.65,-0.06,-1.00,1.19
0.061,-0.03,0.00,0.10,0.10
0.071,0.48,-0.06,0.40,0.63
0.081,-0.53,0.08,-0.77,0.94
0.091,0.11,-0.55,0.14,0.57
0.101,0.15,-0.37,0.74,0.84
0.111,0.20,0.09,-1.70,1.72
0.121,0.63,0.47,0.30,0.84
0.131,0.32,0.68,0.50,0.90
0.141,0.30,0.08,-0.88,0.93
0.151,-0.17,-0.26,-0.34,0.46
0.161,-0.40,-0.09,0.96,1.04
0.172,-0.47,-0.10,0.23,0.54
0.182,-0.24,-0.27,0.03,0.37
0.192,-0.31,0.19,0.17,0.40
0.202,0.23,-0.08,-0.26,0.36
0.212,-0.16,-0.17,-0.21,0.32
0.222,0.15,-0.29,-0.43,0.54
0.232,0.00,-0.31,0.25,0.40
0.242,0.42,-0.14,-0.49,0.66
0.252,0.52,0.41,-0.15,0.68
0.262,0.37,0.59,0.21,0.73
0.272,0.24,0.18,-0.87,0.92
0.282,-0.08,-0.27,0.17,0.33
0.293,-0.51,-0.17,0.62,0.82
0.303,-0.41,-0.06,0.15,0.45
0.313,-0.40,-0.05,0.27,0.48
0.323,0.06,-0.02,0.02,0.07
0.333,-0.15,-0.17,-0.49,0.54
0.343,0.15,-0.27,-0.12,0.33
0.353,-0.03,-0.08,0.13,0.15
0.363,0.05,-0.29,-0.19,0.36
0.373,0.31,-0.32,-0.20,0.49
0.383,0.49,0.37,-0.35,0.71
0.393,0.52,0.56,-0.34,0.83
0.403,0.23,0.23,-0.06,0.33
0.413,-0.16,0.02,0.23,0.28
0.424,-0.39,-0.05,0.12,0.42
0.434,-0.46,-0.36,0.52,0.78
0.444,-0.67,0.07,0.20,0.70
0.454,0.05,0.10,-0.32,0.34
0.464,0.21,-0.40,0.12,0.47
0.474,0.02,-0.39,-0.13,0.41
0.484,-0.10,-0.00,-0.76,0.77
0.494,0.18,-0.16,0.73,0.77
0.504,-0.01,-0.09,-0.66,0.66
0.514,0.47,0.16,-1.11,1.22
0.525,0.88,0.22,1.84,2.05
0.535,0.07,0.40,-1.56,1.61
0.545,-0.05,-0.22,-0.35,0.41
0.555,-0.74,0.17,1.43,1.62
0.565,-0.46,0.17,-0.12,0.51
0.575,-0.37,-0.04,-0.32,0.49
0.585,-0.06,-0.02,1.19,1.20
0.595,0.23,-0.46,-1.10,1.21
0.605,-0.04,-0.57,-0.05,0.58
0.615,0.29,-0.35,0.11,0.47
0.625,-0.34,0.25,-0.37,0.56
0.635,0.52,-0.16,0.10,0.56
0.645,0.44,0.24,-0.33,0.60
0.656,0.44,0.36,-0.62,0.84
0.666,0.39,-0.02,0.17,0.43
0.676,-0.31,0.22,-0.39,0.55
0.686,-0.83,-0.25,1.33,1.58
0.696,-0.17,0.44,-0.76,0.90
0.706,-0.41,-0.02,0.62,0.75
0.716,-0.13,0.01,-0.32,0.35
0.726,0.06,-0.50,0.38,0.63
0.736,0.05,-0.53,-0.37,0.65
0.746,0.15,-0.28,-0.59,0.67
0.756,0.23,-0.16,0.74,0.79
0.766,0.02,0.40,-0.78,0.88
0.777,0.57,0.19,-0.39,0.71
0.787,0.41,0.15,0.41,0.60
0.797,0.29,0.03,-0.37,0.48
0.807,-0.30,-0.14,0.31,0.45
0.817,-0.41,-0.02,-0.03,0.41
0.827,-0.57,0.01,0.32,0.65
0.837,-0.23,0.19,-0.02,0.30
0.847,-0.12,0.17,-0.22,0.30
0.857,0.17,-0.26,0.08,0.32
0.867,0.25,-0.49,-0.39,0.67
0.877,0.00,-0.35,-0.01,0.35
0.888,-0.13,-0.27,0.32,0.43
0.897,0.08,0.13,-0.56,0.58
0.908,0.78,0.23,-0.25,0.85
0.918,0.48,0.31,0.71,0.91
0.928,-0.13,-0.04,-0.50,0.52
0.938,-0.34,-0.17,-0.29,0.48
0.948,-0.24,-0.22,1.10,1.15
0.958,-0.46,-0.00,-0.75,0.88
0.968,-0.33,0.17,0.18,0.41
0.978,0.18,0.25,0.21,0.38
0.988,0.08,0.05,-0.49,0.50
0.998,-0.08,-0.49,-0.12,0.51
1.009,0.14,-0.47,-0.09,0.50
1.019,0.10,-0.27,-0.13,0.32
1.029,0.30,0.08,0.05,0.32
1.039,0.65,0.45,-0.06,0.79
1.049,0.10,0.19,0.12,0.25
1.059,-0.13,-0.14,-0.50,0.54
1.069,-0.26,-0.30,0.28,0.49
1.079,-0.23,-0.06,0.09,0.26
1.089,-0.14,0.03,0.26,0.30
1.099,-0.56,0.50,-0.23,0.79
1.109,-0.03,0.15,-0.17,0.23
1.120,-0.05,-0.35,0.18,0.39
1.130,0.45,-0.42,-0.53,0.81
1.140,-0.03,-0.41,0.17,0.44
1.150,0.03,-0.04,-0.41,0.41
1.160,0.40,0.18,0.62,0.76
1.170,0.46,0.36,-0.37,0.69
1.180,0.16,-0.04,0.02,0.16
1.190,-0.02,-0.03,-0.05,0.06
1.200,0.17,-0.41,-0.10,0.45
1.210,-0.20,0.28,0.11,0.36
1.220,-0.83,0.18,0.91,1.25
1.230,-0.30,0.11,-1.30,1.34
1.241,-0.86,-0.01,0.15,0.87
1.251,0.68,0.02,0.68,0.96
1.261,0.28,-0.27,-0.91,0.99
1.271,0.68,-0.88,0.15,1.12
1.281,-0.23,-0.19,0.19,0.36
1.291,0.13,0.21,-0.47,0.53
1.301,0.48,0.29,0.37,0.67
1.311,0.24,0.28,-0.17,0.40
1.321,-0.02,-0.13,-0.17,0.21
1.331,-0.08,-0.40,-0.28,0.49
1.341,-0.64,0.19,0.87,1.09
1.351,-0.58,0.53,-0.15,0.81
1.362,-0.13,0.27,-0.41,0.51
1.372,0.19,-0.34,0.53,0.66
1.382,0.14,-0.40,-0.63,0.76
1.392,0.12,-0.45,-0.23,0.52
1.402,0.26,-0.31,0.30,0.50
1.412,-0.04,0.07,-0.42,0.43
1.422,0.13,0.19,0.38,0.44
1.432,0.61,0.25,-0.58,0.88
1.442,0.12,0.22,0.32,0.41
1.452,0.25,-0.36,0.26,0.51
1.462,-0.20,-0.29,-0.71,0.79
1.473,-0.99,-0.07,0.93,1.36
1.483,-0.23,0.86,-0.60,1.07
1.493,-0.33,0.30,0.46,0.64
1.503,0.16,-0.02,-0.71,0.72
1.513,0.11,-0.68,0.23,0.73
1.523,0.50,-0.56,-0.43,0.87
1.533,-0.11,-0.31,0.03,0.33
1.543,0.28,0.02,0.09,0.29
1.553,0.15,0.29,0.17,0.37
1.563,0.24,0.24,-0.09,0.35
1.573,0.28,0.24,-0.13,0.39
1.583,0.18,-0.25,-0.07,0.31
1.594,-0.55,-0.32,0.12,0.65
1.604,-0.41,0.14,0.38,0.58
1.614,-0.62,0.68,-0.40,1.00
1.624,-0.30,0.20,0.03,0.36
1.634,0.45,-0.26,0.10,0.53
1.644,0.03,-0.72,-0.45,0.85
1.654,0.46,-0.49,-0.19,0.70
1.664,-0.32,0.10,0.21,0.40
1.674,0.38,-0.01,-0.44,0.58
1.684,0.28,0.17,0.50,0.60
1.694,0.34,0.22,-0.19,0.45
1.705,0.21,0.07,-0.28,0.36
1.715,0.11,-0.26,0.22,0.36
1.725,-0.55,-0.12,0.30,0.64
1.735,-0.75,0.24,-0.20,0.81
1.745,-0.30,0.50,0.06,0.58
1.755,-0.18,0.23,-0.13,0.32
1.765,0.38,-0.43,-0.28,0.64
1.775,-0.02,-0.62,0.39,0.73
1.785,0.53,-0.45,-0.66,0.96
1.795,-0.36,-0.15,0.51,0.64
1.805,0.56,0.19,-0.93,1.10
1.816,-0.04,0.24,1.01,1.04
1.825,0.97,0.06,-0.48,1.08
1.836,-0.35,0.09,-0.24,0.44
1.846,0.20,-0.06,0.21,0.30
1.856,-0.79,-0.24,0.38,0.91
1.866,-0.42,0.19,-0.33,0.57
1.876,-0.05,0.46,0.04,0.46
1.886,-0.43,0.16,0.38,0.59
1.896,0.41,-0.25,-0.95,1.07
1.906,0.36,-0.86,0.76,1.21
1.916,0.00,-0.42,-0.74,0.86
1.926,-0.21,0.06,-0.01,0.22
1.937,0.52,0.11,0.54,0.75
1.947,0.22,0.14,-0.18,0.32
1.957,0.36,0.26,-0.39,0.59
1.967,0.16,0.09,0.63,0.66
1.977,-0.37,0.18,-0.75,0.86
1.987,-0.20,-0.55,1.07,1.22
1.997,-0.70,0.20,-0.77,1.06
2.007,0.02,0.31,0.18,0.36
2.017,0.13,0.04,0.55,0.57
2.027,-0.09,-0.20,-1.10,1.12
2.037,0.13,-0.73,0.61,0.96
2.047,0.17,-0.30,-0.46,0.57
2.057,0.18,-0.14,-0.15,0.27
2.068,0.22,-0.00,0.54,0.58
2.078,0.33,0.38,-0.49,0.70
2.088,0.09,0.26,0.30,0.41
2.098,0.21,0.08,-0.62,0.66
2.108,-0.36,-0.05,0.48,0.60
2.118,-0.19,-0.26,0.09,0.33
2.128,-0.43,-0.15,-0.55,0.71
2.138,-0.18,0.39,0.39,0.58
2.148,0.00,0.19,0.04,0.20
2.158,0.05,-0.15,-0.84,0.85
2.168,0.07,-0.44,0.43,0.62
2.179,0.16,-0.48,-0.19,0.54
2.189,-0.11,-0.23,-0.02,0.26
2.199,0.27,0.31,-0.39,0.57
2.209,0.60,0.39,-0.17,0.74
2.219,0.56,0.21,0.46,0.75
2.229,-0.25,-0.13,-0.11,0.30
2.239,-0.21,-0.22,-0.34,0.45
2.249,-0.68,0.12,0.75,1.02
2.259,-0.46,0.22,-0.12,0.52
2.269,0.03,0.03,-0.22,0.23
2.279,0.01,-0.06,-0.10,0.12
2.289,0.12,-0.18,0.07,0.23
2.300,0.07,-0.44,0.07,0.46
2.310,0.04,-0.56,-0.03,0.56
2.320,0.06,-0.23,-0.45,0.51
2.330,0.34,0.39,-0.16,0.54
2.340,0.60,0.57,0.14,0.84
2.350,0.46,0.19,-0.55,0.75
2.360,-0.16,-0.30,0.57,0.66
2.370,-0.46,0.00,-0.12,0.48
2.380,-0.56,-0.07,0.36,0.67
2.390,-0.17,0.10,-0.18,0.27
2.400,-0.30,0.24,0.16,0.42
2.410,0.25,-0.14,-0.02,0.29
2.421,0.11,-0.41,-0.25,0.49
2.431,-0.30,-0.21,-0.01,0.36
2.441,0.36,-0.63,0.64,0.97
2.451,-0.25,-0.13,-1.16,1.20
2.461,0.38,0.10,0.43,0.59
2.471,0.98,0.38,0.04,1.06
2.481,0.12,0.49,-0.91,1.04
2.491,0.04,-0.14,0.23,0.27
2.501,-0.70,-0.01,0.86,1.11
2.511,-0.58,0.09,-0.27,0.64
2.521,0.15,-0.26,0.33,0.44
2.531,-0.11,0.16,0.09,0.21
2.542,-0.36,-0.10,0.33,0.50
2.552,-0.11,-0.45,-0.74,0.87
2.562,0.30,-0.33,-0.11,0.45
2.572,0.13,-0.04,0.48,0.50
2.582,0.40,-0.25,-0.68,0.83
2.592,-0.10,-0.02,-0.44,0.46
2.602,0.49,0.38,0.35,0.71
2.612,0.83,0.18,-0.84,1.19
2.622,-0.11,0.00,-0.02,0.11
2.632,-0.01,-0.13,0.67,0.68
2.642,-1.30,0.36,0.35,1.40
2.653,-0.85,0.61,-0.34,1.10
2.663,0.43,-0.09,0.76,0.88
2.673,-0.15,-0.40,-0.64,0.77
2.683,0.41,-0.92,-0.07,1.01
2.693,0.24,-0.54,0.45,0.74
2.703,-0.13,-0.04,-0.75,0.76
2.713,-0.24,0.03,0.32,0.40
2.723,0.53,0.16,-0.64,0.85
2.733,0.57,0.25,-0.27,0.67
2.743,0.53,0.21,-0.20,0.61
2.753,0.17,0.25,0.25,0.40
