time,ax,ay,az,atotal
0.000,0.17,-0.37,0.14,0.43
0.010,0.24,0.07,-0.41,0.48
0.020,0.08,-0.01,0.31,0.32
0.030,0.40,0.29,-0.23,0.55
0.040,0.21,0.22,0.03,0.30
0.050,-0.14,0.23,-0.33,0.42
0.061,-0.20,-0.09,0.10,0.24
0.071,-0.28,-0.12,0.20,0.37
0.081,-0.50,0.26,0.14,0.58
0.091,-0.17,0.47,-0.31,0.59
0.101,0.24,0.16,0.17,0.34
0.111,-0.18,-0.39,-0.39,0.57
0.121,-0.02,-0.62,-0.21,0.66
0.131,0.18,-0.29,-0.02,0.34
0.141,0.02,0.14,-0.10,0.17
0.151,0.41,0.14,0.08,0.44
0.162,0.22,0.22,-0.06,0.32
0.172,0.30,0.22,-0.09,0.38
0.182,-0.18,0.21,-0.14,0.31
0.192,-0.24,0.10,0.05,0.26
0.202,-0.22,-0.17,0.00,0.28
0.212,-0.52,0.13,0.34,0.63
0.222,-0.13,0.30,-0.19,0.37
0.232,-0.03,0.10,-0.27,0.29
0.242,-0.04,-0.21,-0.02,0.21
0.252,0.09,-0.31,-0.51,0.60
0.262,0.02,-0.47,0.40,0.62
0.272,0.15,0.08,-0.79,0.81
0.283,0.36,0.26,0.56,0.71
0.293,0.49,0.40,0.06,0.64
0.303,-0.00,0.24,-0.30,0.38
0.313,-0.08,0.02,-0.21,0.23
0.323,-0.36,0.09,0.07,0.37
0.333,-0.47,-0.02,0.51,0.70
0.343,-0.32,0.12,-0.30,0.46
0.353,-0.23,0.19,-0.03,0.30
0.363,0.42,-0.07,-0.12,0.44
0.373,-0.04,-0.17,-0.26,0.32
0.383,-0.08,-0.27,-0.13,0.31
0.393,-0.00,-0.28,0.01,0.28
0.403,0.28,-0.05,-0.31,0.42
0.414,0.20,0.37,0.34,0.54
0.424,0.58,0.40,-0.23,0.74
0.434,-0.10,0.09,-0.09,0.16
0.444,0.04,-0.04,-0.09,0.10
0.454,-0.45,-0.07,0.03,0.45
0.464,-0.42,0.11,0.48,0.65
0.474,-0.36,0.36,-0.17,0.54
0.484,-0.07,0.30,-0.35,0.46
0.494,0.17,-0.10,0.09,0.21
0.504,-0.01,-0.33,-0.17,0.37
0.514,0.21,-0.41,-0.29,0.54
0.525,-0.07,-0.31,0.31,0.44
0.535,0.40,0.02,-0.74,0.85
0.545,0.17,0.33,0.65,0.75
0.555,0.41,0.62,-0.26,0.79
0.565,0.05,0.02,-0.17,0.18
0.575,-0.49,0.11,-0.14,0.52
0.585,-0.14,-0.05,0.41,0.43
0.595,-0.39,0.18,0.04,0.42
0.605,-0.40,0.34,-0.29,0.60
0.615,0.20,-0.09,0.05,0.22
0.625,0.09,-0.38,-0.32,0.50
0.635,-0.09,-0.19,-0.09,0.23
0.646,0.08,-0.13,-0.22,0.27
0.655,0.14,-0.09,-0.01,0.17
0.666,0.27,-0.05,-0.04,0.28
0.676,0.24,0.29,-0.11,0.39
0.686,0.32,0.46,-0.03,0.56
