time,ax,ay,az,atotal
0.000,-0.37,0.42,-0.00,0.56
0.010,-0.17,0.33,0.08,0.38
0.020,0.10,0.15,-0.35,0.39
0.030,0.16,-0.26,-0.25,0.39
0.040,0.06,-0.39,-0.03,0.40
0.050,0.30,-0.36,-0.42,0.63
0.060,0.18,-0.11,-0.00,0.21
0.070,0.38,0.22,0.10,0.45
0.080,0.31,0.51,-0.24,0.64
0.090,0.34,0.29,0.11,0.46
0.101,-0.09,-0.15,-0.14,0.23
0.111,0.28,-0.51,-0.52,0.78
0.121,-0.34,-0.41,0.74,0.91
0.131,-0.64,0.76,-0.25,1.03
0.141,-0.26,0.63,-0.02,0.68
0.151,0.17,-0.13,-0.11,0.24
0.161,0.46,-0.37,-0.30,0.66
0.171,-0.12,-0.42,0.18,0.47
0.181,-0.02,-0.03,-0.53,0.53
0.191,0.30,-0.21,0.47,0.59
0.202,0.42,0.06,-0.43,0.61
0.212,0.42,0.26,0.07,0.49
0.222,0.55,0.35,-0.05,0.65
0.232,-0.30,0.15,-0.11,0.36
0.242,0.26,-0.63,-0.01,0.69
0.252,-0.58,-0.29,-0.07,0.65
0.262,-0.43,0.45,0.29,0.68
0.272,-0.11,0.77,-0.31,0.84
0.282,0.10,0.22,-0.11,0.27
0.292,0.08,-0.33,-0.26,0.43
0.302,-0.12,-0.36,0.17,0.41
0.312,0.61,-0.44,-0.59,0.96
0.323,-0.01,-0.37,0.19,0.42
0.333,0.20,0.38,-0.06,0.43
0.343,0.59,0.19,0.15,0.64
0.353,0.52,0.15,-0.46,0.71
0.363,0.18,0.24,-0.16,0.34
0.373,-0.17,-0.37,0.41,0.58
0.383,-0.27,-0.24,-0.96,1.02
0.393,-0.92,0.41,0.97,1.40
0.403,-0.08,0.73,-0.12,0.74
0.413,0.28,0.27,-0.74,0.84
0.424,0.10,-0.41,0.51,0.66
0.434,-0.05,-0.44,-0.52,0.68
0.444,0.22,-0.34,-0.22,0.46
0.454,0.05,-0.11,0.23,0.26
0.464,0.56,0.14,-0.48,0.75
0.474,0.65,0.01,0.69,0.95
0.484,0.25,0.14,-0.61,0.67
0.494,0.21,0.09,-0.23,0.33
0.504,-0.48,0.14,0.39,0.63
0.514,-0.10,-0.19,-0.32,0.39
0.524,-0.47,0.22,0.42,0.66
0.534,-0.15,0.47,-0.30,0.58
0.544,-0.00,0.37,-0.25,0.45
0.555,0.15,-0.37,0.25,0.47
0.565,0.11,-0.80,-0.64,1.03
0.575,0.08,-0.27,0.02,0.29
0.585,0.61,-0.08,0.15,0.64
0.595,0.08,0.31,-0.27,0.42
0.605,0.60,0.06,0.10,0.61
0.615,0.32,0.16,-0.23,0.42
0.625,0.01,-0.07,-0.08,0.11
0.635,0.01,-0.09,-0.33,0.34
0.645,-0.46,0.05,0.65,0.80
0.655,-0.43,0.31,-0.18,0.56
0.666,-0.35,0.47,-0.25,0.64
0.676,0.26,0.14,0.13,0.33
0.686,-0.11,-0.27,-0.40,0.50
0.696,0.46,-0.56,-0.01,0.73
0.706,0.03,-0.30,-0.31,0.44
0.716,0.50,-0.16,0.04,0.53
0.726,0.28,0.38,0.26,0.54
0.736,0.40,0.22,-0.33,0.56
0.746,0.28,0.09,0.05,0.30
0.756,0.05,-0.17,0.03,0.18
0.766,-0.38,0.03,-0.48,0.61
0.776,-0.24,-0.02,0.79,0.83
0.787,-0.45,0.51,-0.41,0.80
0.797,-0.18,0.37,0.00,0.41
0.807,0.40,-0.07,-0.02,0.40
