time,ax,ay,az,atotal
0.000,0.14,0.06,-1.21,1.22
0.010,-0.80,-0.15,1.37,1.60
0.020,-0.63,0.08,-0.73,0.97
0.030,-0.42,0.21,0.28,0.54
0.040,0.11,0.38,-0.09,0.40
0.050,-0.20,-0.17,0.83,0.87
0.060,0.27,-0.20,-0.89,0.95
0.071,0.20,-0.80,-0.33,0.89
0.081,0.07,-0.30,-0.27,0.41
0.091,0.05,0.10,0.38,0.40
0.101,0.48,0.21,-0.90,1.04
0.111,0.14,0.36,0.92,0.99
0.121,0.41,0.14,-0.43,0.61
0.131,-0.37,-0.01,-0.12,0.39
0.141,-0.18,-0.33,-0.03,0.37
0.151,-0.32,-0.27,0.37,0.56
0.161,-0.46,0.56,-0.13,0.73
0.171,-0.29,0.39,0.26,0.55
0.182,0.32,-0.13,-0.51,0.61
0.192,0.01,-0.52,0.29,0.59
0.202,-0.07,-0.20,-0.55,0.59
0.212,0.02,-0.39,0.11,0.40
0.222,0.06,-0.01,-0.29,0.30
0.232,0.46,0.07,0.31,0.56
0.242,0.29,0.46,-0.30,0.62
0.252,0.24,0.30,-0.31,0.49
0.262,0.11,-0.21,-0.12,0.27
0.272,-1.01,0.06,0.55,1.15
0.282,0.06,-0.10,0.94,0.94
0.292,-0.66,0.13,-1.25,1.42
0.303,-0.22,0.18,-0.09,0.30
0.312,0.49,-0.15,0.72,0.88
0.323,0.30,-0.45,-0.99,1.13
0.333,-0.26,-0.25,0.25,0.44
0.343,0.16,-0.11,-0.27,0.33
0.353,0.11,-0.05,-0.41,0.42
0.363,0.40,0.01,0.62,0.74
0.373,0.35,0.39,-0.57,0.77
0.383,0.08,0.28,0.27,0.39
0.393,-0.13,-0.12,-0.42,0.45
0.403,-0.27,-0.42,0.27,0.57
0.413,-0.51,0.14,0.20,0.57
0.423,-0.51,0.55,-0.23,0.79
0.434,-0.02,0.37,0.19,0.41
0.444,0.20,-0.38,0.03,0.43
0.454,-0.14,-0.44,-0.73,0.87
0.464,0.17,-0.41,0.60,0.75
0.474,0.10,-0.23,-0.54,0.60
0.484,0.10,0.01,-0.15,0.18
0.494,0.41,0.20,0.67,0.81
0.504,0.29,0.35,-0.48,0.66
0.514,-0.08,0.37,-0.24,0.45
0.524,0.09,-0.19,0.39,0.44
0.535,-0.36,-0.29,-0.29,0.55
0.545,-0.81,0.09,0.28,0.86
0.555,-0.25,0.45,-0.04,0.52
0.565,0.20,0.12,-0.05,0.24
0.575,-0.31,-0.22,-0.34,0.51
0.585,0.65,-0.77,-0.46,1.11
0.595,-0.13,-0.39,0.48,0.63
0.605,0.12,0.07,-0.76,0.77
0.615,0.05,0.20,0.23,0.31
0.625,0.27,0.06,0.54,0.61
0.635,0.41,0.33,-1.07,1.19
0.646,-0.14,0.07,0.43,0.46
0.655,-0.09,0.00,-0.18,0.20
0.666,-0.25,-0.37,0.15,0.47
0.676,-0.59,-0.01,0.20,0.63
0.686,-0.17,0.38,-0.40,0.58
0.696,0.11,0.21,0.19,0.30
0.706,0.02,-0.27,-0.28,0.39
0.716,0.05,-0.38,-0.44,0.58
0.726,0.25,-0.50,0.21,0.60
0.736,-0.10,0.05,-0.27,0.29
0.746,0.29,0.08,0.07,0.31
0.756,0.36,0.21,0.01,0.42
0.767,0.26,0.25,-0.12,0.38
0.777,-0.08,0.18,-0.14,0.24
0.787,-0.06,-0.17,0.09,0.21
0.797,-0.60,-0.36,0.29,0.76
0.807,-0.38,0.13,-0.05,0.40
0.817,-0.17,0.36,0.01,0.40
0.827,-0.09,0.13,-0.29,0.33
0.837,0.04,-0.23,-0.14,0.27
0.847,0.21,-0.53,-0.06,0.57
0.857,-0.00,-0.36,-0.01,0.36
0.867,0.48,-0.03,-0.12,0.49
0.877,0.05,0.47,-0.42,0.63
0.888,0.33,0.11,0.59,0.68
0.898,0.19,0.17,-0.27,0.37
0.908,-0.27,0.13,-0.51,0.59
0.918,-0.10,-0.19,0.36,0.42
0.928,-0.14,-0.04,-0.00,0.15
0.938,-0.44,-0.02,0.36,0.57
0.948,-0.20,0.23,-0.48,0.57
0.958,-0.10,0.11,0.08,0.17
0.968,-0.01,-0.17,-0.25,0.31
0.978,0.12,-0.28,-0.33,0.45
0.988,0.19,-0.51,0.50,0.74
0.998,-0.12,-0.16,-0.32,0.38
1.009,0.58,0.35,-0.56,0.88
1.019,0.34,0.60,-0.04,0.69
1.029,0.25,0.14,0.54,0.61
1.039,-0.07,-0.07,-0.28,0.30
1.049,-0.74,-0.33,-0.17,0.82
1.059,-0.24,-0.11,0.20,0.33
1.069,-0.29,0.15,0.23,0.41
1.079,-0.16,0.26,-0.26,0.40
1.089,-0.05,-0.15,0.02,0.16
1.099,0.24,-0.27,-0.29,0.47
1.109,-0.01,-0.23,-0.02,0.23
1.119,0.05,-0.48,0.24,0.54
1.130,0.02,-0.17,-0.45,0.48
1.140,0.44,0.24,-0.10,0.51
1.150,0.53,0.54,-0.42,0.87
1.160,0.16,0.16,0.52,0.57
1.170,-0.12,0.35,-0.34,0.51
1.180,-0.62,-0.33,0.15,0.72
1.190,-0.26,-0.28,0.02,0.38
1.200,-0.41,0.15,0.20,0.48
1.210,0.09,0.28,-0.34,0.45
1.220,-0.17,-0.11,0.38,0.43
1.230,0.20,-0.37,-0.53,0.67
1.241,-0.10,-0.34,0.06,0.36
1.251,0.02,-0.27,-0.04,0.28
1.260,0.26,-0.15,0.03,0.30
1.271,0.26,0.19,-0.51,0.60
1.281,0.44,0.43,-0.12,0.62
1.291,0.56,0.17,0.00,0.58
1.301,-0.33,0.30,0.34,0.56
1.311,-0.36,-0.26,-0.18,0.48
1.321,-0.45,-0.17,-0.00,0.48
1.331,-0.48,0.02,0.59,0.76
1.341,-0.08,0.26,-0.69,0.74
1.352,0.06,-0.32,0.54,0.63
1.362,0.11,-0.21,-0.65,0.70
1.372,-0.34,-0.25,0.57,0.71
1.382,0.17,-0.34,-0.22,0.44
1.392,0.24,-0.34,-0.57,0.70
1.402,0.33,0.12,0.36,0.50
1.412,0.75,0.36,-0.28,0.87
1.422,0.52,0.30,-0.93,1.11
1.432,-0.12,-0.09,0.59,0.61
1.442,-0.64,-0.07,0.66,0.93
1.452,-1.05,0.72,-0.74,1.47
1.462,-0.53,0.45,0.37,0.79
1.472,0.16,-0.19,0.52,0.58
1.483,-0.06,-0.69,-0.20,0.72
1.493,0.44,-0.57,-1.07,1.29
1.503,0.02,-0.46,1.55,1.62
1.513,-0.49,0.23,-1.29,1.40
1.523,0.56,-0.04,-0.96,1.11
1.533,0.26,0.14,1.56,1.59
1.543,0.57,0.48,-1.08,1.31
1.553,0.50,-0.35,-0.97,1.14
1.563,-0.20,0.25,2.00,2.02
1.573,-0.30,0.21,-0.82,0.90
1.583,-1.10,0.14,0.15,1.12
1.594,-0.33,0.43,0.42,0.69
1.604,-0.07,0.10,-0.01,0.12
1.614,0.23,-0.47,-0.22,0.57
1.624,0.24,-0.62,-0.29,0.73
1.634,-0.03,-0.47,0.34,0.57
1.644,-0.15,-0.12,0.05,0.19
1.654,0.00,-0.08,-0.28,0.29
1.664,0.34,0.18,-0.64,0.75
1.674,0.67,0.35,0.16,0.78
1.684,0.52,0.15,-0.11,0.55
