time,ax,ay,az,atotal
0.000,-0.21,-0.21,0.05,0.31
0.010,-0.54,0.16,0.09,0.57
0.020,0.14,0.36,0.02,0.39
0.030,-0.10,0.09,0.02,0.14
0.040,-0.10,-0.16,-0.45,0.49
0.050,0.09,-0.26,0.12,0.30
0.061,0.39,-0.36,-0.21,0.57
0.071,-0.06,-0.14,-0.19,0.24
0.081,0.58,0.17,0.25,0.65
0.091,0.44,0.61,-0.07,0.75
0.101,-0.03,0.32,-0.18,0.36
0.111,-0.11,0.04,-0.32,0.34
0.121,-0.08,-0.31,0.50,0.59
0.131,-0.30,-0.07,0.01,0.31
0.141,-0.84,0.34,-0.23,0.94
0.151,0.10,0.13,0.04,0.17
0.161,0.11,-0.04,0.00,0.11
0.171,0.24,-0.27,-0.42,0.55
0.181,0.06,-0.09,-0.12,0.16
0.192,-0.04,-0.32,0.07,0.33
0.202,0.09,0.06,-0.53,0.54
0.212,0.20,0.37,0.64,0.77
0.222,0.71,0.30,-0.41,0.88
0.232,0.18,0.34,-0.14,0.41
0.242,-0.17,-0.15,0.19,0.30
0.252,-0.10,-0.44,-0.24,0.51
0.262,-0.49,0.09,0.68,0.84
0.272,-0.73,0.71,-1.14,1.53
0.282,0.23,0.28,0.86,0.93
0.292,-0.29,-0.19,0.09,0.36
0.303,0.21,-0.32,-1.71,1.75
0.313,0.26,-0.33,1.26,1.33
0.323,0.37,0.10,-0.62,0.73
0.333,-0.14,-0.02,0.03,0.15
0.343,0.51,0.13,0.24,0.57
0.353,0.32,0.48,-0.10,0.59
0.363,-0.03,0.23,-0.03,0.23
0.373,0.44,-0.25,0.01,0.50
0.383,-0.49,-0.28,0.05,0.57
0.393,-1.83,0.62,0.40,1.98
0.403,-0.14,0.69,-1.49,1.65
0.413,0.25,-0.45,1.61,1.69
0.424,1.54,0.10,-1.45,2.12
0.434,-0.27,-0.57,0.90,1.10
0.444,-0.06,-0.59,-0.90,1.08
0.454,-0.38,0.18,0.07,0.43
0.464,0.24,-0.09,0.29,0.38
0.474,0.24,0.47,-0.50,0.73
0.484,0.48,0.46,0.62,0.91
0.494,0.32,0.33,-0.69,0.83
0.504,-0.13,-0.39,0.26,0.48
0.514,-0.28,-0.29,0.40,0.57
0.525,-0.76,0.36,-0.08,0.84
0.534,-0.26,0.54,-0.10,0.61
0.545,-0.09,0.39,-0.05,0.40
0.555,-0.01,-0.47,0.01,0.47
0.565,0.37,-0.36,-0.65,0.83
0.575,0.14,-0.43,0.11,0.47
0.585,0.06,0.06,-0.17,0.19
0.595,0.37,0.25,0.28,0.53
0.605,0.31,0.08,0.30,0.44
0.615,0.15,0.29,-0.71,0.78
0.625,0.44,0.16,0.05,0.47
0.635,0.02,-0.08,0.28,0.29
0.646,-0.54,-0.09,0.00,0.55
0.656,-0.83,0.16,0.14,0.85
0.666,-0.14,0.53,-0.55,0.78
0.676,-0.20,0.28,0.59,0.68
0.686,0.50,-0.20,-0.85,1.00
0.696,0.06,-0.59,-0.09,0.60
0.706,0.19,-0.38,0.42,0.60
0.716,0.01,-0.07,-0.56,0.56
0.726,-0.03,0.21,0.05,0.21
0.736,0.56,0.44,0.42,0.82
0.746,0.72,0.28,-0.41,0.87
0.756,-0.15,0.04,0.07,0.17
0.766,-0.37,-0.07,-0.25,0.46
0.777,-0.01,-0.29,0.19,0.35
0.787,-0.71,0.42,0.39,0.91
0.797,-0.55,0.63,-0.45,0.95
0.807,0.09,0.11,-0.12,0.19
0.817,0.27,-0.21,0.20,0.40
