time,ax,ay,az,atotal
0.000,0.10,-0.07,-0.11,0.16
0.010,-0.00,-0.10,-0.10,0.14
0.020,-0.04,-0.12,-0.11,0.16
0.030,0.01,-0.13,-0.10,0.17
0.040,0.08,-0.11,-0.06,0.15
0.050,0.07,-0.07,-0.06,0.12
0.060,0.02,-0.05,-0.08,0.10
0.071,0.02,-0.04,-0.06,0.08
0.080,0.02,-0.05,-0.08,0.09
0.091,0.04,-0.07,-0.09,0.12
0.101,0.02,-0.04,-0.06,0.08
0.111,0.02,-0.03,-0.06,0.07
0.121,0.05,-0.04,-0.05,0.08
0.131,0.02,-0.04,-0.04,0.06
0.141,0.04,-0.03,-0.06,0.08
0.151,0.04,-0.05,-0.03,0.07
0.161,0.04,-0.00,-0.06,0.07
0.171,-0.03,0.01,-0.02,0.04
0.181,-0.13,0.11,0.20,0.26
0.191,0.06,0.19,0.10,0.22
0.202,0.10,0.13,0.36,0.39
0.212,0.19,0.17,-0.08,0.27
0.222,-0.03,0.19,-0.09,0.21
0.232,-0.17,0.17,-0.02,0.24
0.242,-0.01,0.14,-0.17,0.22
0.252,0.13,0.01,-0.11,0.17
0.262,0.21,-0.07,-0.06,0.23
0.272,0.19,-0.11,-0.06,0.23
0.282,0.17,-0.12,-0.06,0.21
0.292,0.04,-0.05,-0.09,0.11
0.302,-0.15,-0.02,-0.06,0.16
0.313,-0.24,-0.03,-0.06,0.25
0.322,-0.18,-0.10,-0.07,0.22
0.333,0.02,-0.19,-0.06,0.19
0.343,0.09,-0.22,-0.07,0.25
0.353,0.14,-0.12,0.04,0.19
0.363,0.13,0.06,-0.06,0.16
0.373,-0.04,0.11,0.09,0.15
0.383,-0.03,0.17,-0.06,0.19
0.393,-0.02,0.16,-0.12,0.20
0.403,-0.03,0.02,-0.03,0.05
0.413,0.09,-0.04,-0.15,0.18
0.423,0.17,-0.17,-0.12,0.27
0.433,0.14,-0.19,-0.07,0.25
0.444,0.00,-0.04,0.03,0.04
0.454,-0.38,0.01,0.50,0.62
0.464,0.13,0.08,-0.07,0.17
0.474,0.05,0.01,-0.20,0.21
0.484,0.06,-0.05,-0.15,0.17
0.494,0.13,-0.10,-0.20,0.26
0.504,0.18,-0.18,-0.08,0.26
0.514,0.16,-0.21,-0.07,0.27
0.524,-0.02,-0.20,-0.01,0.20
0.534,-0.16,-0.17,-0.02,0.24
0.545,-0.11,-0.09,-0.21,0.26
0.555,-0.13,-0.03,-0.07,0.15
0.565,-0.10,0.11,0.17,0.22
0.575,-0.16,-0.06,0.67,0.69
0.585,0.10,-0.38,-0.19,0.44
0.595,0.19,-0.58,-0.44,0.75
0.605,1.09,-0.43,-0.20,1.19
0.615,-0.13,-0.28,0.24,0.39
0.625,-0.06,-0.31,-0.12,0.34
0.635,0.03,-0.41,-0.19,0.45
0.645,0.13,-0.33,-0.23,0.42
0.655,0.44,-0.26,0.38,0.63
0.665,0.17,-0.25,0.09,0.31
0.676,0.06,-0.13,-0.54,0.56
0.686,-0.14,-0.15,0.02,0.20
0.696,-0.36,0.04,0.35,0.50
0.706,-0.35,0.03,0.52,0.63
0.716,-0.11,-0.13,-0.38,0.42
0.726,0.03,-0.27,-0.25,0.37
0.736,0.15,-0.27,0.11,0.33
0.746,0.30,-0.18,-0.20,0.40
0.756,0.25,-0.25,-0.13,0.38
0.766,0.24,-0.19,-0.10,0.32
0.776,0.32,-0.15,-0.05,0.36
0.786,0.42,-0.17,0.15,0.47
0.797,0.17,-0.24,0.05,0.30
0.807,-0.07,-0.25,-0.40,0.48
0.817,-0.29,-0.34,-0.02,0.45
0.827,-0.58,-0.36,0.21,0.72
0.837,-0.49,-0.72,0.54,1.03
0.847,-0.26,-1.00,-0.32,1.08
0.857,-0.18,-0.90,-0.29,0.96
0.867,-0.03,-0.49,0.11,0.50
0.877,-0.00,-0.13,0.01,0.13
0.887,0.03,0.02,-0.38,0.38
0.897,0.16,0.03,0.09,0.18
0.908,0.18,0.17,0.03,0.25
0.918,0.67,0.21,-0.03,0.70
0.928,0.35,0.17,0.05,0.39
0.938,0.15,0.00,-0.39,0.42
0.948,-0.31,-0.09,0.21,0.38
0.958,-0.55,-0.13,0.29,0.63
0.968,-0.41,0.22,0.06,0.47
0.978,-0.19,0.28,-0.11,0.36
0.988,-0.01,0.04,0.03,0.06
0.998,0.12,-0.24,-0.29,0.39
1.008,0.14,-0.53,-0.05,0.55
1.018,0.14,-0.36,0.10,0.40
1.028,0.26,-0.13,-0.08,0.31
1.039,0.44,0.30,-0.55,0.76
1.049,0.70,0.06,-0.04,0.70
1.059,0.01,0.11,0.34,0.36
1.069,-0.25,0.33,-0.19,0.46
1.079,-0.63,0.52,0.09,0.82
1.089,-0.48,0.57,0.34,0.82
1.099,-0.41,0.47,-0.08,0.63
1.109,0.11,-0.47,0.22,0.53
1.119,0.50,-0.72,-0.51,1.02
1.129,0.24,-0.53,0.01,0.58
1.139,0.12,-0.40,0.13,0.44
1.149,-0.22,-0.01,-0.34,0.41
1.160,0.10,0.11,0.08,0.17
1.170,0.48,0.48,-0.25,0.72
1.180,0.70,0.07,0.19,0.73
1.190,0.17,0.06,-0.29,0.34
1.200,-0.29,-0.10,0.24,0.39
1.210,-0.58,0.27,-0.20,0.67
1.220,-0.66,0.40,0.48,0.90
1.230,-0.11,-0.04,0.04,0.12
1.240,-0.05,-0.25,-0.39,0.47
1.250,0.42,-0.33,-0.01,0.54
1.260,0.12,-0.15,-0.04,0.19
1.271,0.10,-0.17,-0.17,0.26
1.281,-0.01,-0.15,-0.08,0.17
1.291,0.16,-0.04,0.20,0.26
1.301,0.44,0.37,-0.61,0.84
1.311,0.37,0.06,0.66,0.76
1.321,0.30,0.14,-0.60,0.69
1.331,-0.38,-0.03,0.27,0.47
1.341,-0.43,0.07,0.24,0.50
1.351,-0.45,0.25,0.08,0.52
1.361,-0.19,0.14,0.09,0.25
1.371,0.10,-0.13,-0.27,0.31
1.382,0.29,-0.32,-0.18,0.47
1.392,0.12,-0.12,0.03,0.17
1.402,-0.03,-0.19,-0.20,0.28
1.412,-0.01,-0.36,-0.00,0.36
1.422,0.26,-0.04,-0.24,0.36
1.432,0.45,0.29,0.22,0.58
1.442,0.64,0.28,-0.13,0.71
1.452,0.24,-0.01,-0.02,0.24
1.462,-0.51,0.06,-0.06,0.52
1.472,-0.73,0.40,0.27,0.88
1.482,-0.44,0.30,0.18,0.56
1.492,-0.12,-0.01,-0.05,0.13
1.502,0.16,-0.36,-0.31,0.50
