time,ax,ay,az,atotal
0.000,0.24,0.15,0.06,0.29
0.010,0.49,0.15,0.00,0.51
0.020,0.39,0.35,-0.24,0.58
0.030,0.05,0.13,0.03,0.14
0.041,-0.10,-0.03,-0.13,0.17
0.050,-0.42,-0.18,0.24,0.52
0.061,-0.42,-0.00,0.19,0.46
0.071,-0.45,0.40,-0.06,0.60
0.081,-0.01,0.26,-0.03,0.26
0.091,0.08,-0.13,-0.10,0.18
0.101,0.28,-0.55,-0.16,0.64
0.111,0.10,-0.38,-0.14,0.42
0.121,0.29,-0.02,-0.04,0.30
0.131,0.27,0.31,0.04,0.41
0.141,0.40,0.25,0.00,0.47
0.151,0.27,0.11,-0.18,0.34
0.162,-0.05,0.02,-0.10,0.11
0.172,-0.27,-0.06,-0.08,0.29
0.182,-0.27,-0.10,0.25,0.38
0.192,-0.19,0.05,0.21,0.29
0.202,-0.33,0.38,-0.20,0.54
0.212,0.03,0.21,-0.04,0.21
0.222,-0.00,-0.13,-0.07,0.15
0.232,0.17,-0.44,-0.30,0.56
0.242,0.21,-0.41,0.02,0.46
0.252,0.20,0.00,-0.17,0.26
0.262,0.26,0.32,0.15,0.44
0.272,0.45,0.32,0.01,0.55
0.283,0.34,-0.02,-0.22,0.40
0.293,-0.05,-0.06,-0.12,0.14
0.303,-0.20,-0.13,-0.01,0.24
0.313,-0.35,0.11,0.21,0.42
0.323,-0.36,0.24,0.23,0.49
0.333,-0.32,0.38,-0.22,0.54
0.343,0.02,0.03,0.07,0.08
0.353,0.08,-0.18,-0.22,0.30
0.363,0.17,-0.39,-0.08,0.43
0.373,0.30,-0.45,-0.10,0.55
0.383,0.14,-0.15,-0.14,0.25
0.393,0.34,0.27,0.07,0.44
0.404,0.38,0.46,0.14,0.62
0.414,0.17,0.22,-0.27,0.39
0.424,-0.03,-0.13,-0.04,0.13
0.434,-0.27,-0.12,-0.01,0.29
0.444,-0.31,0.04,0.12,0.33
0.454,-0.19,0.27,0.21,0.39
0.464,-0.18,0.20,0.05,0.27
0.474,-0.04,-0.09,-0.34,0.35
0.484,-0.02,-0.24,0.02,0.24
0.494,0.19,-0.21,-0.15,0.32
0.504,0.03,-0.20,-0.05,0.21
0.515,0.25,-0.17,-0.20,0.36
0.525,0.36,0.11,0.17,0.41
0.535,0.52,0.39,-0.03,0.65
0.545,0.33,0.27,-0.17,0.46
0.555,-0.08,-0.19,-0.04,0.21
0.565,-0.29,-0.19,-0.16,0.38
0.575,-0.39,-0.05,0.40,0.56
0.585,-0.33,0.46,0.16,0.59
0.595,-0.27,0.42,-0.16,0.52
0.605,0.06,-0.19,-0.02,0.20
0.615,0.00,-0.41,-0.18,0.45
0.625,0.20,-0.26,-0.15,0.36
0.636,0.19,-0.05,-0.06,0.21
0.646,0.21,-0.17,-0.11,0.29
0.656,0.22,0.00,-0.02,0.22
0.666,0.45,0.25,0.02,0.51
0.676,0.40,0.33,-0.13,0.53
0.686,-0.06,0.11,-0.07,0.14
0.696,-0.30,-0.25,-0.12,0.41
0.706,-0.42,-0.11,0.22,0.49
0.716,-0.26,0.27,0.30,0.48
0.726,-0.29,0.57,-0.19,0.66
0.736,0.05,-0.06,0.00,0.07
0.747,0.10,-0.42,-0.25,0.50
0.756,0.12,-0.42,-0.07,0.45
0.767,0.14,-0.07,-0.13,0.21
0.777,0.19,-0.00,-0.04,0.19
0.787,0.34,-0.01,-0.00,0.34
0.797,0.38,0.14,0.10,0.42
0.807,0.33,0.18,-0.25,0.45
0.817,0.05,0.14,-0.04,0.16
0.827,-0.30,-0.07,0.06,0.32
0.837,-0.46,-0.05,0.05,0.46
0.847,-0.35,0.26,0.28,0.52
0.857,-0.17,0.46,-0.09,0.50
0.867,-0.09,0.11,-0.16,0.21
0.878,0.17,-0.47,-0.10,0.51
0.888,0.09,-0.54,-0.17,0.57
0.898,0.23,-0.14,-0.28,0.39
0.908,0.11,0.09,0.25,0.28
0.918,0.33,0.07,-0.18,0.38
0.928,0.23,0.05,0.34,0.41
0.938,0.54,0.20,-0.36,0.67
0.948,0.07,0.15,-0.04,0.17
