time,ax,ay,az,atotal
0.000,-0.42,0.31,0.24,0.58
0.010,-0.28,0.37,-0.15,0.49
0.020,0.00,0.01,-0.21,0.21
0.030,0.14,-0.21,-0.07,0.27
0.040,0.21,-0.19,-0.15,0.33
0.051,0.20,-0.32,-0.17,0.41
0.060,0.08,-0.20,-0.09,0.23
0.071,0.28,0.02,-0.08,0.29
0.081,0.48,0.31,0.08,0.58
0.091,0.43,0.32,-0.06,0.54
0.101,0.03,0.09,-0.15,0.18
0.111,-0.25,-0.01,-0.16,0.29
0.121,-0.31,-0.05,0.40,0.51
0.131,-0.33,0.44,0.06,0.55
0.141,-0.14,0.30,-0.11,0.35
0.151,0.03,-0.15,-0.25,0.30
0.161,0.30,-0.43,0.01,0.53
0.172,0.04,-0.15,-0.21,0.26
0.182,0.04,-0.13,-0.13,0.19
0.192,0.14,-0.18,-0.06,0.24
0.202,0.35,0.09,-0.11,0.38
0.212,0.47,0.35,0.18,0.61
0.222,0.49,0.33,-0.18,0.62
0.232,0.05,0.01,-0.08,0.09
0.242,-0.36,-0.20,0.03,0.41
0.252,-0.43,-0.03,0.22,0.48
0.262,-0.40,0.55,0.04,0.68
0.272,-0.09,0.26,-0.00,0.27
0.282,0.07,-0.14,-0.37,0.40
0.293,0.27,-0.44,0.02,0.52
0.303,0.13,-0.14,-0.27,0.33
0.313,0.11,-0.03,-0.16,0.19
0.323,0.25,-0.17,0.06,0.31
0.333,0.31,0.12,-0.10,0.35
0.343,0.40,0.30,-0.01,0.50
0.353,0.34,0.35,-0.13,0.51
0.363,-0.07,-0.00,-0.00,0.07
0.373,-0.38,-0.14,-0.04,0.41
0.383,-0.37,-0.01,0.30,0.47
0.393,-0.37,0.52,-0.01,0.63
0.403,0.04,0.31,-0.20,0.38
0.413,0.17,-0.31,-0.08,0.36
0.424,0.19,-0.41,-0.23,0.51
0.434,0.09,-0.27,-0.08,0.29
0.444,-0.05,0.03,-0.12,0.14
0.454,0.16,0.02,-0.10,0.19
0.464,0.36,0.11,0.10,0.39
0.474,0.53,0.28,-0.02,0.60
0.484,0.33,0.30,-0.21,0.49
0.494,-0.06,0.05,-0.11,0.14
0.504,-0.36,-0.15,0.25,0.47
0.514,-0.49,0.08,0.13,0.51
0.525,-0.31,0.42,-0.18,0.55
0.535,-0.01,0.26,-0.04,0.27
0.545,0.22,-0.26,-0.13,0.37
0.555,0.19,-0.44,-0.26,0.54
0.565,0.16,-0.24,-0.15,0.32
0.575,0.11,0.06,-0.05,0.13
0.585,0.10,0.09,-0.12,0.18
0.595,0.37,0.03,0.12,0.39
0.605,0.49,0.22,-0.11,0.55
0.615,0.25,0.29,-0.18,0.42
0.625,-0.06,0.11,0.01,0.13
0.636,-0.36,-0.17,0.28,0.49
0.645,-0.38,0.06,-0.12,0.40
0.656,-0.32,0.26,0.09,0.42
0.666,0.08,0.22,-0.16,0.29
0.676,0.16,-0.15,-0.18,0.28
0.686,0.24,-0.46,-0.15,0.54
0.696,0.05,-0.33,-0.13,0.36
0.706,0.04,-0.02,-0.14,0.15
0.716,0.14,0.28,0.03,0.31
0.726,0.50,0.16,0.12,0.54
0.736,0.51,0.21,-0.24,0.60
0.746,0.18,0.17,-0.10,0.27
0.757,-0.18,0.03,-0.02,0.19
0.767,-0.36,-0.13,0.20,0.44
0.776,-0.35,0.01,0.12,0.37
0.787,-0.31,0.37,-0.17,0.51
0.797,0.13,0.17,-0.03,0.21
0.807,0.16,-0.11,-0.21,0.28
0.817,0.22,-0.46,-0.12,0.52
0.827,0.08,-0.31,-0.23,0.39
0.837,0.13,0.01,-0.06,0.15
0.847,0.33,0.28,-0.04,0.44
0.857,0.39,0.31,0.12,0.52
0.867,0.32,0.19,-0.23,0.44
0.878,0.08,0.05,-0.16,0.19
0.888,-0.21,-0.04,-0.06,0.22
0.898,-0.28,-0.09,0.16,0.34
0.908,-0.17,-0.00,0.22,0.28
0.918,-0.27,0.41,-0.20,0.53
0.928,-0.01,0.22,-0.06,0.22
0.938,0.16,-0.16,-0.18,0.29
0.948,0.14,-0.39,-0.14,0.44
0.958,0.12,-0.31,-0.22,0.40
0.968,0.12,-0.09,-0.04,0.15
0.978,0.29,0.33,0.04,0.44
0.989,0.35,0.41,-0.03,0.54
0.999,0.41,0.09,-0.04,0.43
1.009,0.09,0.06,-0.27,0.29
1.019,-0.09,-0.19,0.04,0.22
1.029,-0.29,0.01,0.15,0.33
1.039,-0.33,0.15,0.25,0.44
1.049,-0.30,0.36,-0.26,0.54
1.059,-0.05,0.10,0.00,0.11
1.069,0.20,-0.16,-0.19,0.32
