time,ax,ay,az,atotal
0.000,-0.01,0.05,-0.06,0.08
0.010,-0.40,-0.03,0.32,0.51
0.020,-0.53,0.12,0.05,0.54
0.030,-0.45,0.28,-0.16,0.55
0.040,-0.03,0.03,-0.12,0.12
0.050,0.21,-0.15,-0.18,0.32
0.061,0.29,-0.49,-0.04,0.57
0.071,0.06,-0.31,-0.26,0.41
0.081,0.14,0.00,-0.13,0.19
0.091,0.30,0.23,0.16,0.41
0.101,0.38,0.23,-0.07,0.45
0.111,0.17,0.08,-0.24,0.30
0.121,0.08,-0.02,-0.14,0.16
0.131,-0.37,0.04,0.02,0.37
0.141,-0.39,0.05,0.33,0.51
0.151,-0.39,0.10,0.02,0.41
0.161,-0.28,0.26,-0.30,0.48
0.171,0.08,-0.09,0.04,0.13
0.182,0.15,-0.33,-0.25,0.44
0.192,0.17,-0.43,-0.26,0.53
0.202,0.05,-0.20,-0.04,0.21
0.212,0.23,0.04,-0.14,0.27
0.222,0.19,0.30,0.15,0.39
0.232,0.43,0.35,-0.25,0.61
0.242,0.19,0.11,0.03,0.22
0.252,-0.08,-0.07,-0.24,0.26
0.262,-0.35,-0.18,0.04,0.40
0.272,-0.32,0.12,0.35,0.49
0.282,-0.45,0.27,0.05,0.53
0.293,-0.35,0.13,-0.43,0.57
0.303,0.17,-0.31,0.12,0.38
0.313,0.18,-0.24,-0.29,0.42
0.323,0.16,-0.30,-0.13,0.37
0.333,0.21,-0.23,-0.14,0.33
0.343,0.18,0.06,-0.12,0.23
0.353,0.29,0.33,0.21,0.48
0.363,0.35,0.32,-0.19,0.52
0.373,0.06,0.00,-0.20,0.20
0.383,-0.27,-0.12,-0.11,0.31
0.394,-0.38,-0.12,0.17,0.43
0.404,-0.35,0.35,0.24,0.55
0.414,-0.31,0.40,-0.07,0.51
0.424,-0.03,-0.05,-0.38,0.39
0.434,0.16,-0.48,0.10,0.51
0.444,0.11,-0.31,-0.35,0.48
0.454,0.01,-0.15,-0.10,0.18
0.464,0.22,-0.14,-0.09,0.27
0.474,0.06,0.07,-0.05,0.11
0.484,0.41,0.26,0.08,0.49
0.494,0.36,0.40,-0.19,0.57
0.504,0.07,-0.00,-0.11,0.13
0.514,-0.23,-0.23,-0.06,0.33
0.525,-0.37,-0.24,0.31,0.54
0.535,-0.43,0.43,-0.08,0.61
0.545,-0.33,0.39,0.03,0.51
0.555,-0.08,-0.09,-0.24,0.27
0.565,0.04,-0.35,-0.21,0.41
0.575,0.21,-0.35,-0.06,0.41
0.585,0.22,-0.13,-0.27,0.37
0.595,0.11,-0.20,0.03,0.23
0.605,0.20,0.02,-0.22,0.30
0.615,0.34,0.29,0.22,0.50
0.625,0.35,0.31,-0.23,0.53
0.635,-0.05,0.16,-0.15,0.23
0.645,-0.32,-0.07,-0.01,0.33
0.656,-0.41,-0.06,0.32,0.52
0.666,-0.50,0.28,-0.03,0.58
0.676,-0.36,0.47,-0.28,0.65
0.686,0.38,-0.24,0.07,0.45
0.696,0.11,-0.60,-0.27,0.67
0.706,0.16,-0.40,-0.23,0.48
0.716,0.05,-0.02,0.01,0.05
0.726,0.04,0.04,-0.25,0.25
0.737,0.17,0.14,0.05,0.23
0.746,0.35,0.21,0.13,0.43
0.757,0.31,0.30,-0.47,0.64
0.767,0.01,0.21,0.18,0.27
0.777,-0.29,-0.20,0.01,0.36
0.787,-0.42,-0.08,0.12,0.45
0.797,-0.52,0.29,0.08,0.60
0.807,-0.26,0.31,-0.30,0.50
0.817,0.06,-0.21,0.02,0.22
0.827,0.21,-0.52,-0.35,0.66
0.837,0.21,-0.40,-0.12,0.47
0.847,0.19,-0.08,-0.06,0.21
0.857,-0.01,0.10,-0.21,0.23
0.867,0.25,0.06,0.13,0.29
0.878,0.33,0.29,-0.03,0.44
0.888,0.25,0.18,-0.20,0.37
0.898,-0.03,0.25,-0.14,0.28
0.908,-0.39,-0.17,0.23,0.48
0.918,-0.23,-0.15,0.12,0.30
0.928,-0.50,0.22,-0.01,0.55
0.938,-0.20,0.29,-0.24,0.43
0.948,0.14,-0.07,-0.05,0.16
0.958,0.17,-0.46,-0.25,0.55
0.968,0.12,-0.41,-0.20,0.47
0.978,0.14,-0.13,-0.10,0.22
0.989,0.08,0.14,-0.08,0.18
0.999,0.31,0.06,0.13,0.34
1.009,0.32,0.19,-0.19,0.42
1.019,0.30,0.22,-0.25,0.45
1.029,-0.16,0.08,0.11,0.21
1.039,-0.36,-0.05,0.04,0.36
1.049,-0.35,-0.18,0.27,0.48
1.059,-0.51,0.32,-0.28,0.66
1.069,-0.11,0.25,0.08,0.29
1.079,0.03,-0.05,-0.31,0.31
1.089,0.22,-0.48,-0.17,0.56
1.099,0.15,-0.38,-0.13,0.43
1.110,0.32,-0.13,-0.11,0.36
1.120,0.11,0.15,0.03,0.19
1.129,0.28,0.19,-0.17,0.38
1.140,0.31,0.04,0.02,0.32
1.150,0.00,0.14,-0.21,0.26
1.160,-0.10,0.01,-0.21,0.23
1.170,-0.29,-0.01,0.19,0.35
1.180,-0.37,0.01,0.32,0.49
1.190,-0.34,0.30,-0.33,0.56
1.200,-0.11,0.21,0.01,0.24
1.210,0.06,-0.09,-0.15,0.19
1.221,-0.06,-0.32,-0.26,0.42
1.231,0.23,-0.44,-0.07,0.50
1.241,0.15,-0.17,-0.05,0.23
1.251,0.34,0.16,-0.23,0.44
1.261,0.27,0.38,0.30,0.55
1.271,0.41,0.16,-0.49,0.65
1.281,-0.04,-0.04,0.17,0.18
1.291,-0.13,0.01,-0.21,0.24
1.301,-0.22,-0.18,0.17,0.33
1.311,-0.41,0.20,0.09,0.47
1.321,-0.43,0.28,0.06,0.52
1.331,-0.15,0.16,-0.24,0.32
1.342,-0.01,-0.06,-0.21,0.21
1.351,0.16,-0.24,-0.11,0.31
1.362,0.25,-0.43,-0.10,0.51
1.372,0.16,-0.26,-0.21,0.37
1.382,0.14,0.02,0.06,0.16
1.392,0.33,0.26,-0.09,0.43
1.402,0.30,0.33,-0.05,0.45
1.412,0.08,0.02,-0.12,0.14
1.422,-0.26,-0.12,-0.22,0.36
1.432,-0.23,-0.10,0.22,0.34
1.442,-0.30,0.28,0.30,0.51
1.452,-0.37,0.36,-0.14,0.54
1.462,-0.10,-0.01,-0.24,0.26
1.473,0.01,-0.34,0.00,0.34
1.483,0.13,-0.24,-0.28,0.39
1.493,0.06,-0.10,-0.08,0.13
1.503,0.22,-0.24,-0.06,0.33
1.513,0.08,0.02,-0.18,0.20
1.523,0.37,0.23,0.16,0.47
1.533,0.29,0.32,-0.10,0.44
1.543,0.19,-0.04,-0.24,0.31
1.553,-0.14,-0.25,0.01,0.29
1.563,-0.27,-0.17,-0.00,0.31
1.573,-0.37,0.25,0.35,0.57
1.584,-0.38,0.61,-0.17,0.74
1.594,-0.09,0.08,-0.10,0.16
1.604,-0.07,-0.28,-0.21,0.35
1.614,0.02,-0.36,0.32,0.49
1.624,-0.13,0.39,-0.86,0.95
1.634,0.84,-0.59,-0.29,1.07
1.644,0.02,-0.26,0.46,0.53
