time,ax,ay,az,atotal
0.000,-0.34,0.24,-0.27,0.50
0.010,-0.35,0.28,-0.06,0.45
0.020,0.01,-0.01,0.06,0.06
0.030,0.05,-0.24,-0.30,0.39
0.040,0.11,-0.40,-0.02,0.42
0.051,0.20,-0.35,-0.08,0.42
0.061,0.20,0.01,-0.14,0.24
0.071,0.45,0.23,0.30,0.59
0.081,0.30,0.32,-0.24,0.50
0.091,0.11,-0.06,-0.05,0.13
0.101,-0.23,-0.04,-0.15,0.28
0.111,-0.32,-0.02,0.13,0.35
0.121,-0.28,0.29,0.25,0.47
0.131,-0.46,0.39,0.11,0.62
0.141,-0.10,0.16,-0.37,0.42
0.151,-0.03,-0.26,0.13,0.29
0.161,0.09,-0.28,-0.21,0.36
0.172,0.08,-0.22,-0.09,0.25
0.181,0.17,-0.31,-0.09,0.37
0.192,0.08,-0.04,-0.07,0.12
0.202,0.39,0.28,0.11,0.50
0.212,0.37,0.46,-0.22,0.63
0.222,0.17,-0.02,0.25,0.30
0.232,-0.01,-0.25,-0.34,0.42
0.242,-0.42,-0.16,0.22,0.50
0.252,-0.33,0.18,0.34,0.50
0.262,-0.49,0.62,-0.10,0.80
0.272,-0.22,0.12,0.01,0.25
0.282,-0.01,-0.31,-0.19,0.36
0.293,0.12,-0.42,-0.06,0.44
0.303,0.12,-0.12,-0.19,0.26
0.313,0.12,-0.12,0.01,0.17
0.323,0.17,-0.13,-0.13,0.25
0.333,0.25,0.17,0.19,0.35
0.343,0.52,0.26,-0.11,0.59
0.353,0.24,0.20,-0.11,0.33
0.363,-0.14,-0.16,-0.03,0.21
0.373,-0.43,-0.12,0.02,0.45
0.383,-0.49,0.18,0.39,0.65
0.393,-0.40,0.50,-0.08,0.65
0.404,-0.22,0.31,-0.01,0.38
0.413,0.13,-0.33,-0.15,0.38
0.424,0.08,-0.46,-0.18,0.50
0.434,0.12,-0.32,-0.07,0.35
0.444,0.03,0.03,-0.05,0.07
0.454,0.14,-0.03,-0.11,0.19
0.464,0.39,0.15,0.21,0.47
0.474,0.35,0.21,-0.04,0.41
