time,ax,ay,az,atotal
0.000,0.68,0.27,0.08,0.73
0.010,0.20,0.31,-0.32,0.49
0.020,-0.24,-0.01,-0.01,0.24
0.030,-0.49,-0.08,0.12,0.51
0.040,-0.41,0.10,0.25,0.49
0.050,-0.19,0.42,-0.08,0.47
0.061,0.02,0.39,-0.27,0.48
0.071,0.19,-0.29,0.10,0.36
0.081,0.05,-0.41,-0.36,0.55
0.091,0.13,-0.29,-0.06,0.32
0.101,0.12,0.07,-0.09,0.17
0.111,0.24,0.13,-0.06,0.28
0.121,0.34,0.14,0.05,0.37
0.131,0.40,0.24,-0.11,0.48
0.141,0.14,0.23,-0.23,0.36
0.151,-0.21,0.12,0.01,0.24
0.161,-0.40,-0.05,0.12,0.42
0.172,-0.32,0.21,0.11,0.39
0.182,-0.16,0.37,0.14,0.42
0.192,-0.03,0.15,-0.28,0.31
0.202,0.01,-0.39,-0.14,0.42
0.212,0.19,-0.48,-0.20,0.55
0.222,0.17,-0.19,-0.12,0.28
0.232,0.11,0.15,-0.11,0.22
0.242,0.15,0.28,-0.10,0.33
0.252,0.38,0.10,0.22,0.44
0.262,0.42,0.21,-0.23,0.52
0.272,0.17,0.19,-0.08,0.27
0.282,-0.20,0.08,-0.06,0.23
0.293,-0.42,-0.05,0.30,0.52
0.303,-0.40,0.03,0.16,0.43
0.313,-0.35,0.36,-0.24,0.56
0.323,0.07,0.18,0.05,0.20
0.333,0.19,-0.11,-0.27,0.35
0.343,0.17,-0.42,-0.02,0.46
0.353,0.04,-0.27,-0.22,0.36
0.363,0.19,0.00,-0.13,0.23
0.373,0.35,0.24,0.04,0.42
0.383,0.40,0.29,0.05,0.49
0.393,0.35,0.22,-0.31,0.51
0.404,-0.01,0.08,-0.00,0.08
0.414,-0.34,0.04,-0.10,0.36
0.424,-0.38,0.15,0.15,0.44
0.434,-0.26,0.06,0.42,0.50
0.444,-0.17,0.30,-0.43,0.55
0.454,0.08,-0.02,-0.00,0.09
0.464,0.20,-0.21,-0.08,0.30
0.474,0.08,-0.31,-0.29,0.43
0.484,0.04,-0.24,-0.02,0.25
0.494,0.12,-0.01,-0.10,0.16
0.505,0.28,0.29,0.06,0.41
0.514,0.50,0.40,-0.00,0.64
0.525,0.33,0.10,-0.08,0.36
0.535,0.02,0.02,-0.22,0.22
0.545,-0.34,0.05,0.08,0.35
0.555,-0.35,0.11,0.32,0.48
0.565,-0.42,0.30,0.03,0.52
0.575,-0.11,0.22,-0.22,0.33
0.585,0.06,-0.10,-0.08,0.14
0.595,0.25,-0.21,-0.16,0.37
0.605,0.10,-0.23,-0.15,0.29
0.615,0.12,-0.25,-0.16,0.32
0.625,0.19,-0.06,-0.12,0.23
0.635,0.39,0.22,0.24,0.51
0.646,0.41,0.38,-0.15,0.58
0.656,0.24,0.19,-0.20,0.37
0.666,-0.17,0.07,-0.03,0.19
0.676,-0.30,-0.10,0.14,0.34
0.686,-0.32,0.21,0.25,0.45
0.696,-0.41,0.52,-0.09,0.67
0.706,0.10,0.11,0.04,0.15
0.716,0.03,-0.31,-0.25,0.40
0.726,0.21,-0.32,-0.22,0.44
0.736,0.17,-0.13,0.02,0.22
0.746,0.11,-0.23,-0.10,0.27
0.756,0.03,0.00,-0.29,0.29
0.766,0.38,0.26,0.33,0.57
0.777,0.51,0.52,-0.18,0.75
0.787,0.22,0.22,-0.10,0.33
0.797,-0.14,-0.07,-0.01,0.16
0.807,-0.41,-0.23,0.15,0.49
0.817,-0.44,0.26,0.26,0.57
0.827,-0.38,0.70,-0.22,0.83
0.837,0.15,-0.02,0.07,0.17
0.847,0.08,-0.33,-0.29,0.45
0.857,0.26,-0.39,-0.15,0.49
0.868,0.22,-0.14,-0.23,0.35
0.877,0.03,-0.19,0.30,0.36
0.888,0.21,0.06,-0.54,0.58
0.898,0.32,0.17,0.46,0.59
0.908,0.51,0.44,-0.36,0.76
0.918,0.11,0.35,-0.08,0.38
0.928,-0.23,0.01,0.16,0.28
0.938,-0.40,-0.14,0.10,0.43
0.948,-0.54,0.25,0.17,0.62
0.958,-0.25,0.69,-0.26,0.78
0.968,0.24,-0.05,0.24,0.34
0.978,0.16,-0.50,-0.34,0.62
0.988,0.23,-0.45,-0.27,0.58
0.998,0.15,-0.15,0.09,0.22
1.009,-0.03,0.12,-0.16,0.20
1.019,0.16,0.13,-0.11,0.23
1.029,0.28,0.21,0.25,0.43
1.039,0.47,0.33,-0.34,0.67
1.049,0.13,0.30,0.02,0.32
1.059,-0.14,-0.18,0.05,0.23
1.069,-0.35,-0.09,0.17,0.40
1.079,-0.68,0.39,0.10,0.79
1.089,-0.17,0.57,-0.22,0.63
1.099,0.07,0.03,0.03,0.08
1.110,0.34,-0.49,-0.20,0.63
1.120,0.15,-0.44,-0.19,0.51
1.129,0.23,-0.15,-0.11,0.30
1.140,-0.01,0.14,-0.03,0.14
1.150,0.29,0.13,-0.04,0.32
1.160,0.27,0.21,0.10,0.36
1.170,0.41,0.23,-0.20,0.51
1.180,0.04,0.25,-0.19,0.32
1.190,-0.18,-0.10,0.16,0.26
1.200,-0.37,-0.13,0.27,0.48
1.210,-0.55,0.31,-0.13,0.64
1.220,-0.07,0.45,-0.11,0.46
1.230,0.07,0.16,-0.01,0.18
1.241,0.24,-0.38,-0.24,0.51
1.251,0.16,-0.36,-0.20,0.45
1.261,0.21,-0.38,0.23,0.50
1.271,-0.14,0.10,-0.54,0.56
1.281,0.45,0.12,0.27,0.54
1.291,0.48,0.28,0.11,0.57
1.301,0.24,0.31,-0.41,0.57
1.311,0.05,0.04,0.01,0.06
1.321,-0.30,-0.03,-0.01,0.30
1.331,-0.32,-0.11,0.35,0.48
1.341,-0.63,0.31,-0.12,0.71
1.351,-0.09,0.41,-0.12,0.43
1.362,0.07,0.15,0.04,0.17
1.372,0.32,-0.30,-0.26,0.51
1.382,0.20,-0.51,-0.11,0.56
1.392,0.17,-0.26,-0.10,0.32
1.402,0.12,0.13,-0.14,0.22
1.412,0.26,0.31,0.25,0.48
1.422,0.46,0.29,-0.16,0.57
1.432,0.12,0.19,-0.13,0.26
1.442,-0.08,0.02,-0.13,0.15
1.452,-0.35,-0.05,0.03,0.35
1.462,-0.23,-0.06,0.31,0.39
1.472,-0.35,0.31,0.01,0.47
1.482,-0.09,0.46,-0.20,0.51
1.493,0.07,0.01,0.07,0.10
1.503,0.12,-0.20,-0.31,0.39
1.513,0.08,-0.38,-0.08,0.39
1.523,0.15,-0.28,-0.09,0.33
1.533,0.21,0.09,-0.17,0.28
1.543,0.32,0.38,0.18,0.53
1.553,0.40,0.29,-0.00,0.49
1.563,0.16,0.08,-0.29,0.34
1.573,-0.09,0.01,-0.07,0.11
1.584,-0.19,-0.10,0.13,0.25
1.593,-0.33,0.12,0.21,0.41
1.604,-0.32,0.25,0.08,0.41
1.614,-0.15,0.34,-0.20,0.43
1.624,0.05,0.05,-0.08,0.10
1.634,0.14,-0.17,-0.10,0.24
1.644,0.16,-0.32,-0.23,0.43
1.654,0.20,-0.36,-0.04,0.41
1.664,0.21,0.03,-0.06,0.22
1.674,0.29,0.32,0.12,0.45
1.684,0.37,0.47,-0.13,0.61
1.694,0.16,0.10,-0.01,0.19
