time,ax,ay,az,atotal
0.000,0.23,-0.07,0.06,0.25
0.010,0.30,0.30,-0.03,0.43
0.020,0.44,0.29,0.16,0.55
0.030,0.39,0.19,-0.49,0.65
0.040,0.12,-0.04,0.10,0.16
0.050,-0.38,-0.09,0.07,0.40
0.060,-0.36,0.07,0.13,0.39
0.071,-0.31,0.17,0.24,0.43
0.081,-0.24,0.25,-0.27,0.45
0.091,-0.01,-0.20,-0.12,0.23
0.101,0.30,-0.42,-0.18,0.55
0.111,0.16,-0.31,-0.13,0.37
0.121,0.27,-0.29,-0.14,0.42
0.131,0.23,-0.12,-0.04,0.26
0.141,0.34,0.30,-0.10,0.46
0.151,0.49,0.43,0.11,0.66
0.161,0.33,0.15,-0.19,0.41
0.171,-0.23,0.07,-0.18,0.30
0.182,-0.35,-0.15,0.22,0.44
0.192,-0.37,0.12,0.23,0.45
0.202,-0.35,0.29,-0.08,0.46
0.212,0.11,-0.06,-0.13,0.18
0.222,0.09,-0.47,0.03,0.48
0.232,0.22,-0.31,-0.33,0.50
0.242,0.15,-0.12,0.07,0.21
0.252,0.16,-0.18,-0.13,0.27
0.262,0.07,-0.04,-0.16,0.18
0.272,0.44,0.18,0.28,0.55
0.282,0.57,0.36,-0.18,0.70
0.292,0.25,0.16,-0.23,0.37
0.303,-0.06,-0.08,0.16,0.19
0.313,-0.48,0.04,-0.05,0.48
0.323,-0.43,0.21,0.37,0.60
0.333,-0.36,0.39,-0.15,0.56
0.343,0.02,-0.17,-0.15,0.23
0.353,0.17,-0.47,-0.06,0.51
0.363,0.21,-0.36,-0.17,0.45
0.373,0.12,-0.13,-0.12,0.21
0.383,0.21,-0.23,-0.08,0.32
0.393,0.17,-0.10,-0.16,0.25
0.403,0.40,0.18,0.22,0.49
0.414,0.57,0.39,-0.27,0.74
0.424,0.24,0.18,-0.03,0.30
0.434,-0.40,0.27,-0.05,0.48
0.444,-0.55,0.11,0.32,0.64
0.454,-0.50,0.12,-0.01,0.51
0.464,-0.11,0.13,-0.18,0.25
0.474,0.20,-0.39,0.06,0.44
0.484,0.23,-0.48,-0.36,0.64
0.494,0.20,-0.28,-0.10,0.36
0.504,0.11,-0.02,0.04,0.12
0.514,0.02,0.08,-0.29,0.31
0.524,0.24,-0.10,0.09,0.27
0.535,0.38,0.13,0.22,0.46
0.545,0.51,0.26,-0.28,0.64
0.555,0.29,0.23,-0.09,0.38
0.565,-0.29,-0.00,0.16,0.33
0.575,-0.48,-0.09,0.18,0.52
0.585,-0.49,0.13,0.11,0.52
0.595,-0.28,0.44,-0.39,0.65
0.605,0.22,-0.08,0.23,0.33
0.615,0.21,-0.50,-0.25,0.60
0.625,0.10,-0.46,-0.32,0.57
0.635,0.25,-0.22,0.08,0.35
0.645,0.12,0.05,-0.18,0.22
0.656,0.28,-0.01,0.00,0.28
0.666,0.43,0.19,0.18,0.50
0.676,0.39,0.26,-0.29,0.55
0.686,0.14,0.20,-0.05,0.25
0.696,-0.25,-0.03,0.13,0.28
0.706,-0.43,-0.13,0.14,0.47
0.716,-0.43,0.13,0.01,0.45
0.726,-0.16,0.32,-0.14,0.39
0.736,0.15,0.06,-0.11,0.19
0.746,0.29,-0.45,-0.08,0.54
0.756,0.11,-0.48,-0.28,0.57
0.767,0.16,-0.26,-0.00,0.31
0.777,0.08,0.06,-0.08,0.13
0.787,0.25,0.15,-0.05,0.30
0.797,0.45,0.11,0.28,0.54
0.807,0.45,0.18,-0.37,0.61
0.817,0.06,0.07,-0.09,0.13
0.827,-0.19,-0.05,0.09,0.22
0.837,-0.41,-0.17,0.38,0.59
0.847,-0.52,0.34,-0.27,0.68
0.857,-0.14,0.41,0.15,0.46
0.867,0.18,0.02,-0.06,0.19
0.877,0.04,-0.39,-0.30,0.49
0.888,0.24,-0.57,-0.12,0.64
0.898,0.28,-0.31,-0.04,0.41
0.908,0.22,0.06,-0.20,0.30
0.918,0.40,0.30,0.24,0.55
0.928,0.30,0.29,-0.07,0.42
0.938,0.48,0.07,-0.49,0.69
0.948,-0.20,-0.06,0.28,0.35
0.958,-0.16,0.02,-0.23,0.28
0.968,-0.42,-0.05,0.47,0.63
0.978,-0.21,0.21,-0.04,0.30
0.988,-0.21,0.30,-0.17,0.41
0.998,0.16,-0.02,-0.02,0.16
1.009,0.11,-0.26,-0.09,0.29
1.019,0.11,-0.45,-0.20,0.51
1.029,0.10,-0.26,-0.19,0.34
1.039,0.34,0.05,-0.03,0.34
1.049,0.44,0.30,0.03,0.53
1.059,0.43,0.26,-0.10,0.52
1.069,0.23,-0.15,-0.34,0.44
1.079,-0.20,-0.14,0.05,0.25
1.089,-0.09,-0.10,0.08,0.15
1.099,-0.37,0.24,0.11,0.46
1.109,-0.27,0.34,0.12,0.45
1.119,-0.16,0.30,-0.19,0.39
1.130,0.01,-0.06,-0.01,0.06
1.140,0.13,-0.22,-0.26,0.36
1.150,0.25,-0.48,0.01,0.55
1.160,0.24,-0.38,-0.19,0.49
1.170,0.19,-0.04,-0.05,0.20
1.180,0.48,0.25,0.12,0.55
1.190,0.36,0.40,-0.04,0.54
1.200,0.19,-0.05,-0.18,0.26
1.210,-0.11,-0.17,-0.18,0.27
1.220,-0.36,-0.03,0.13,0.38
1.230,-0.19,0.27,0.24,0.41
1.240,-0.30,0.40,0.03,0.50
1.251,-0.02,0.08,-0.13,0.16
1.261,0.03,-0.25,-0.18,0.31
1.271,0.19,-0.36,-0.12,0.42
1.281,0.12,-0.18,-0.15,0.26
1.291,0.16,-0.20,0.03,0.26
1.301,0.18,-0.05,-0.13,0.23
1.311,0.36,0.08,0.08,0.37
1.321,0.44,0.34,-0.07,0.56
1.331,0.30,0.13,-0.05,0.33
1.341,0.01,-0.26,-0.07,0.27
1.351,-0.32,-0.22,-0.04,0.39
1.361,-0.34,0.22,0.35,0.54
1.371,-0.35,0.57,0.04,0.67
1.382,-0.15,0.26,-0.07,0.31
1.392,-0.01,-0.21,-0.29,0.36
1.402,0.24,-0.39,0.03,0.46
1.412,0.26,-0.25,-0.20,0.41
1.422,0.14,-0.20,-0.17,0.30
1.432,0.26,-0.20,0.04,0.33
1.442,0.35,0.08,-0.04,0.36
1.452,0.48,0.28,0.06,0.56
1.462,0.36,0.23,-0.20,0.47
1.472,-0.13,0.05,-0.04,0.15
1.483,-0.39,-0.10,0.01,0.40
1.493,-0.40,-0.03,0.37,0.55
1.503,-0.35,0.47,-0.15,0.60
1.513,-0.08,0.33,-0.10,0.36
1.523,0.22,-0.41,0.04,0.47
1.533,0.10,-0.41,-0.50,0.65
1.543,0.32,-0.31,0.04,0.45
1.553,-0.00,-0.06,-0.16,0.17
1.563,0.18,-0.03,-0.25,0.31
1.573,0.25,-0.02,0.51,0.57
1.583,0.37,0.27,-0.38,0.60
1.593,0.43,0.24,-0.16,0.52
1.604,0.11,0.12,0.18,0.25
1.614,-0.28,-0.09,-0.11,0.31
1.624,-0.46,-0.11,0.29,0.56
1.634,-0.41,0.29,0.19,0.54
1.644,-0.18,0.47,-0.30,0.58
1.654,0.10,-0.21,0.03,0.24
1.664,0.21,-0.58,-0.26,0.67
1.674,0.21,-0.36,-0.22,0.47
1.684,0.25,-0.06,0.04,0.26
1.694,0.25,0.02,-0.17,0.30
1.704,0.33,-0.01,0.10,0.34
1.715,0.47,0.24,-0.17,0.56
1.725,0.25,0.19,0.04,0.31
1.735,0.02,0.13,-0.20,0.24
1.745,-0.43,-0.07,0.12,0.45
1.755,-0.35,-0.06,0.27,0.45
1.765,-0.29,0.18,-0.02,0.34
1.775,-0.07,0.29,-0.32,0.43
1.785,0.14,-0.08,0.08,0.18
1.795,0.27,-0.55,-0.14,0.63
1.805,0.03,-0.41,-0.27,0.49
1.815,0.22,-0.17,0.05,0.28
1.826,0.16,0.18,-0.19,0.31
1.835,0.39,0.11,0.10,0.42
1.845,0.51,0.08,0.09,0.53
1.856,0.29,0.07,-0.41,0.51
1.866,-0.06,0.10,0.01,0.11
1.876,-0.32,0.14,0.26,0.44
1.886,-0.38,0.04,0.23,0.45
1.896,-0.47,0.13,-0.09,0.50
1.906,-0.09,0.11,-0.20,0.24
1.916,0.09,-0.12,0.03,0.15
1.926,0.27,-0.42,-0.13,0.52
1.936,0.21,-0.36,-0.31,0.52
1.946,0.27,-0.11,0.02,0.29
1.957,0.25,0.08,-0.01,0.27
1.967,0.38,0.21,-0.12,0.45
1.977,0.41,0.12,0.19,0.47
1.987,0.17,0.10,-0.45,0.49
1.997,-0.28,0.03,0.06,0.29
2.007,-0.36,0.13,0.20,0.43
2.017,-0.36,0.10,0.16,0.41
2.027,-0.22,0.18,-0.10,0.30
2.037,0.01,-0.02,-0.03,0.04
2.047,0.19,-0.15,-0.27,0.36
2.057,0.23,-0.35,0.02,0.42
2.067,0.18,-0.43,-0.20,0.51
2.078,0.01,-0.16,-0.17,0.24
2.088,0.32,0.12,0.11,0.36
2.098,0.47,0.35,0.02,0.59
2.108,0.48,0.16,0.00,0.50
2.118,0.18,0.07,-0.28,0.34
2.128,-0.21,-0.01,-0.01,0.21
2.138,-0.35,0.09,0.33,0.49
2.148,-0.42,0.17,0.15,0.48
2.158,-0.34,0.20,-0.27,0.48
2.168,0.04,-0.13,-0.01,0.14
2.178,0.19,-0.32,-0.15,0.40
2.188,0.17,-0.18,-0.29,0.38
2.199,0.28,-0.31,0.09,0.43
2.209,0.20,-0.13,-0.37,0.44
2.219,0.39,0.08,0.14,0.43
2.229,0.43,0.32,0.12,0.55
2.239,0.41,0.14,-0.32,0.53
2.249,-0.26,0.04,-0.03,0.27
2.259,-0.17,-0.10,0.02,0.20
2.269,-0.39,0.13,0.25,0.48
2.279,-0.29,0.37,0.24,0.53
2.290,-0.01,0.07,-0.14,0.16
2.299,-0.01,-0.28,-0.33,0.44
2.309,0.24,-0.42,0.09,0.49
2.320,0.07,-0.08,-0.20,0.23
2.330,0.06,-0.17,-0.17,0.25
2.340,0.17,-0.19,-0.14,0.29
2.350,0.39,0.07,0.07,0.40
2.360,0.63,0.34,0.08,0.72
2.370,0.46,0.19,-0.24,0.56
2.380,-0.08,-0.03,-0.26,0.27
2.390,-0.45,-0.09,0.32,0.56
2.400,-0.40,0.09,0.18,0.45
2.410,-0.50,0.51,-0.07,0.72
2.421,-0.00,0.10,0.03,0.10
2.431,0.14,-0.35,-0.30,0.49
2.441,0.25,-0.43,-0.10,0.51
2.451,0.20,-0.19,0.01,0.27
2.461,0.14,-0.07,-0.24,0.29
2.471,0.23,-0.17,0.02,0.29
2.481,0.37,0.06,0.06,0.38
2.491,0.42,0.33,-0.03,0.53
2.501,0.33,0.24,-0.17,0.44
2.511,-0.25,0.06,0.03,0.26
2.521,-0.48,0.00,0.18,0.52
2.531,-0.44,0.14,0.16,0.49
2.542,-0.18,0.42,-0.21,0.50
2.552,0.16,0.01,0.17,0.23
2.562,0.08,-0.41,-0.28,0.50
2.572,0.16,-0.52,-0.18,0.57
2.582,0.11,-0.17,-0.05,0.21
2.592,0.11,0.04,-0.10,0.15
2.602,0.23,-0.12,-0.09,0.28
2.612,0.45,0.07,0.18,0.49
2.622,0.50,0.27,-0.14,0.59
2.632,0.30,0.20,-0.13,0.38
2.642,-0.15,0.06,-0.02,0.16
2.653,-0.44,-0.06,0.38,0.58
2.662,-0.70,0.30,-0.14,0.78
2.673,-0.09,0.38,0.13,0.41
2.683,-0.08,0.15,-0.11,0.20
2.693,0.27,-0.45,-0.25,0.58
2.703,0.26,-0.61,-0.16,0.68
2.713,0.22,-0.30,-0.12,0.39
2.723,0.05,0.09,-0.10,0.14
2.733,0.26,0.04,0.05,0.27
2.743,0.45,0.10,-0.05,0.46
2.753,0.44,0.20,-0.08,0.49
2.763,0.25,0.14,-0.11,0.31
2.773,-0.37,0.03,-0.04,0.38
2.784,-0.33,-0.15,0.30,0.47
2.794,-0.22,0.22,-0.25,0.40
2.804,-0.45,0.43,0.65,0.90
2.814,0.34,0.12,-0.42,0.55
2.824,-0.10,-0.35,-0.32,0.49
2.834,0.31,-0.58,0.13,0.67
2.844,0.16,-0.33,-0.17,0.40
2.854,0.13,-0.07,-0.12,0.19
2.864,0.18,0.15,0.13,0.27
2.874,0.65,0.21,-0.30,0.75
2.884,0.34,0.23,0.05,0.41
2.894,0.18,0.02,0.02,0.18
2.905,-0.21,0.03,-0.34,0.40
2.915,-0.40,-0.14,0.44,0.61
2.925,-0.37,0.15,0.12,0.42
2.935,-0.36,0.38,-0.19,0.56
2.945,0.20,0.13,-0.05,0.24
2.955,0.07,-0.29,-0.01,0.30
2.965,0.15,-0.51,-0.39,0.66
2.975,0.20,-0.38,0.05,0.43
2.985,0.33,-0.03,-0.12,0.36
2.995,0.22,0.28,-0.04,0.36
3.005,0.66,0.25,-0.09,0.71
3.016,0.21,0.17,-0.09,0.29
3.026,0.08,-0.01,-0.18,0.20
3.036,-0.19,-0.05,-0.02,0.20
3.046,-0.47,-0.05,0.36,0.60
3.056,-0.16,0.10,-0.02,0.19
3.066,-0.25,0.35,-0.15,0.45
3.076,-0.02,0.09,0.12,0.15
3.086,0.16,-0.14,-0.35,0.41
3.096,0.08,-0.41,0.06,0.43
3.106,0.18,-0.36,-0.25,0.47
3.116,0.17,-0.17,0.07,0.25
3.126,0.32,0.32,-0.08,0.46
3.137,0.55,0.38,-0.03,0.66
3.147,0.31,0.01,-0.26,0.40
3.157,0.05,-0.09,0.07,0.12
3.167,-0.18,-0.04,-0.14,0.23
3.177,-0.35,0.06,0.38,0.52
3.187,-0.18,0.25,0.04,0.31
3.197,-0.23,0.25,-0.06,0.35
3.207,-0.01,0.02,-0.12,0.12
3.217,0.08,-0.22,-0.08,0.24
3.227,0.18,-0.33,-0.16,0.41
3.237,0.26,-0.35,-0.04,0.44
3.247,0.18,-0.22,0.09,0.30
3.258,0.35,0.17,-0.19,0.43
3.268,0.61,0.48,-0.28,0.82
3.278,0.13,0.23,0.41,0.49
3.288,0.01,-0.17,-0.28,0.33
3.298,-0.36,-0.20,-0.21,0.46
3.308,-0.21,0.03,0.53,0.57
3.318,-0.17,0.32,-0.04,0.37
3.328,-0.15,0.26,-0.20,0.36
3.338,0.09,-0.08,0.01,0.12
3.348,0.17,-0.31,-0.22,0.41
3.358,0.08,-0.21,-0.20,0.30
3.368,0.16,-0.24,-0.04,0.29
3.379,0.16,-0.17,0.18,0.30
3.389,0.42,0.09,-0.40,0.59
3.399,0.50,0.40,-0.22,0.68
3.409,0.33,0.26,0.49,0.64
3.419,0.11,-0.09,-0.37,0.40
3.429,-0.40,-0.25,-0.28,0.55
3.439,-0.22,-0.19,0.70,0.75
3.449,-0.32,0.47,-0.13,0.58
3.459,-0.17,0.34,-0.06,0.39
3.469,0.01,-0.12,-0.06,0.13
3.479,-0.01,-0.34,-0.27,0.43
3.489,0.25,-0.19,-0.38,0.50
3.500,0.18,-0.18,0.40,0.47
3.510,0.15,-0.28,-0.21,0.38
3.520,0.42,0.04,-0.44,0.61
3.530,0.57,0.34,0.05,0.67
3.540,0.35,0.18,0.21,0.45
3.550,0.01,0.01,-0.37,0.37
3.560,-0.50,0.05,0.06,0.50
3.570,-0.46,0.38,0.31,0.67
3.580,-0.25,0.17,0.15,0.34
3.590,-0.13,0.22,-0.30,0.40
3.600,0.28,-0.41,0.23,0.55
3.611,0.18,-0.48,-0.33,0.61
3.621,0.13,-0.28,-0.23,0.38
3.631,0.10,0.01,0.13,0.17
3.641,-0.02,-0.07,0.13,0.15
3.651,0.33,0.01,-0.63,0.71
3.661,0.63,0.27,0.04,0.68
3.671,0.47,0.10,0.28,0.55
3.681,0.07,0.07,-0.35,0.37
3.691,-0.45,0.02,0.04,0.45
3.701,-0.60,0.33,0.43,0.81
3.711,-0.24,0.14,0.02,0.28
3.721,-0.10,0.09,-0.11,0.17
3.732,0.18,-0.09,-0.16,0.25
3.742,0.22,-0.48,-0.05,0.53
3.752,0.08,-0.33,-0.21,0.40
